FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207501804,0,213.3603,375.7467,461.3431,0.699231,-0.148342,0.109337,0.690736,1.563202,-0.331634,0.244435,0.215897,0.376106,0.451506,-2.882606,1.169945,0.014171
1,1770207501815,0.011111,213.3445,375.7265,461.3694,0.699234,-0.148338,0.109360,0.690730,1.563213,-0.331626,0.244487,0.215882,0.376086,0.451533,-2.882532,1.169872,0.014089
2,1770207501826,0.022234,213.3445,375.7265,461.3694,0.699244,-0.148332,0.109364,0.690721,1.563240,-0.331613,0.244495,0.215882,0.376086,0.451533,-2.882532,1.169872,0.014089
3,1770207501837,0.033552,213.3445,375.7265,461.3694,0.699237,-0.148307,0.109358,0.690734,1.563218,-0.331556,0.244481,0.215882,0.376086,0.451533,-2.882532,1.169872,0.014089
4,1770207501848,0.044663,213.3386,375.7295,461.3653,0.699250,-0.148291,0.109306,0.690732,1.563248,-0.331520,0.244366,0.215876,0.376089,0.451529,-2.882544,1.169878,0.014140
5,1770207501859,0.055774,213.3398,375.7396,461.3564,0.699315,-0.148352,0.109286,0.690657,1.563439,-0.331666,0.244327,0.215877,0.376099,0.451520,-2.882582,1.169894,0.014084
6,1770207501870,0.066886,213.3408,375.7366,461.3574,0.699294,-0.148339,0.109262,0.690685,1.563375,-0.331633,0.244272,0.215878,0.376096,0.451521,-2.882577,1.169851,0.014111
7,1770207501881,0.077997,213.3408,375.7366,461.3574,0.699265,-0.148338,0.109228,0.690720,1.563289,-0.331628,0.244191,0.215878,0.376096,0.451521,-2.882577,1.169851,0.014111
8,1770207501893,0.089108,213.3408,375.7366,461.3574,0.699275,-0.148397,0.109167,0.690706,1.563319,-0.331761,0.244057,0.215878,0.376096,0.451521,-2.882577,1.169851,0.014111
9,1770207501904,0.100220,213.3459,375.7397,461.3536,0.699288,-0.148398,0.109214,0.690686,1.563360,-0.331765,0.244163,0.215883,0.376099,0.451517,-2.882569,1.169888,0.014136
10,1770207501915,0.111331,213.3459,375.7397,461.3536,0.699324,-0.148409,0.109119,0.690662,1.563457,-0.331792,0.243953,0.215883,0.376099,0.451517,-2.882569,1.169888,0.014136
11,1770207501926,0.122442,213.3459,375.7397,461.3536,0.699326,-0.148380,0.109117,0.690667,1.563456,-0.331728,0.243948,0.215883,0.376099,0.451517,-2.882569,1.169888,0.014136
12,1770207501937,0.133553,213.3438,375.7356,461.3555,0.699351,-0.148370,0.109062,0.690652,1.563522,-0.331708,0.243826,0.215881,0.376095,0.451519,-2.882551,1.169921,0.014155
13,1770207501948,0.144665,213.3283,375.7365,461.3690,0.699337,-0.148363,0.109066,0.690667,1.563481,-0.331690,0.243834,0.215866,0.376096,0.451533,-2.882556,1.169863,0.014123
14,1770207501959,0.155776,213.3283,375.7365,461.3690,0.699356,-0.148334,0.109089,0.690650,1.563534,-0.331628,0.243889,0.215866,0.376096,0.451533,-2.882556,1.169863,0.014123
15,1770207501970,0.166887,213.3283,375.7365,461.3690,0.699348,-0.148338,0.109081,0.690659,1.563511,-0.331634,0.243868,0.215866,0.376096,0.451533,-2.882556,1.169863,0.014123
16,1770207501981,0.177999,213.3427,375.7367,461.3555,0.699319,-0.148354,0.109067,0.690687,1.563429,-0.331667,0.243836,0.215880,0.376096,0.451519,-2.882589,1.169897,0.014150
17,1770207501993,0.189110,213.3346,375.7456,461.3563,0.699337,-0.148351,0.109073,0.690668,1.563481,-0.331663,0.243851,0.215872,0.376105,0.451520,-2.882604,1.169843,0.014126
18,1770207502004,0.200221,213.3346,375.7456,461.3563,0.699351,-0.148442,0.109014,0.690644,1.563527,-0.331869,0.243721,0.215872,0.376105,0.451520,-2.882604,1.169843,0.014126
19,1770207502015,0.211332,213.3465,375.7287,461.3635,0.699330,-0.148430,0.109014,0.690668,1.563466,-0.331840,0.243719,0.215884,0.376088,0.451527,-2.882543,1.169898,0.014164
20,1770207502026,0.222444,213.3436,375.7467,461.3566,0.699371,-0.148478,0.108969,0.690624,1.563583,-0.331952,0.243623,0.215881,0.376106,0.451520,-2.882594,1.169899,0.014133
21,1770207502037,0.233555,213.3619,375.7459,461.3461,0.699354,-0.148465,0.108951,0.690646,1.563533,-0.331919,0.243579,0.215899,0.376105,0.451509,-2.882625,1.169953,0.014144
22,1770207502048,0.244667,213.3498,375.7419,461.3477,0.699367,-0.148459,0.108961,0.690633,1.563569,-0.331908,0.243604,0.215887,0.376101,0.451511,-2.882582,1.169935,0.014176
23,1770207502059,0.255778,213.3578,375.7449,461.3480,0.699351,-0.148503,0.108919,0.690646,1.563524,-0.332005,0.243507,0.215895,0.376104,0.451511,-2.882612,1.169968,0.014120
24,1770207502070,0.266889,213.3514,375.7278,461.3627,0.699355,-0.148500,0.108907,0.690645,1.563535,-0.331999,0.243481,0.215889,0.376087,0.451526,-2.882553,1.169902,0.014170
25,1770207502082,0.278001,213.3487,375.7459,461.3467,0.699339,-0.148513,0.108925,0.690655,1.563493,-0.332027,0.243522,0.215886,0.376105,0.451510,-2.882590,1.169938,0.014141
26,1770207502093,0.289112,213.3341,375.7378,461.3662,0.699299,-0.148539,0.108946,0.690687,1.563383,-0.332081,0.243563,0.215872,0.376097,0.451530,-2.882570,1.169869,0.014112
27,1770207502104,0.300223,213.3504,375.7409,461.3547,0.699289,-0.148502,0.108995,0.690697,1.563357,-0.331996,0.243673,0.215888,0.376100,0.451518,-2.882593,1.169899,0.014132
28,1770207502115,0.311334,213.3511,375.7239,461.3656,0.699314,-0.148506,0.108951,0.690678,1.563422,-0.332009,0.243577,0.215889,0.376083,0.451529,-2.882530,1.169892,0.014113
29,1770207502126,0.322445,213.3401,375.7299,461.3643,0.699286,-0.148529,0.108990,0.690695,1.563351,-0.332058,0.243662,0.215878,0.376089,0.451528,-2.882537,1.169915,0.014165
30,1770207502137,0.333557,213.3514,375.7440,461.3528,0.699306,-0.148535,0.108979,0.690675,1.563406,-0.332074,0.243641,0.215889,0.376103,0.451516,-2.882584,1.169895,0.014168
31,1770207502148,0.344668,213.3412,375.7419,461.3575,0.699313,-0.148550,0.109084,0.690648,1.563441,-0.332111,0.243877,0.215879,0.376101,0.451521,-2.882599,1.169881,0.014091
32,1770207502159,0.355780,213.3524,375.7431,461.3498,0.699319,-0.148580,0.109045,0.690642,1.563457,-0.332178,0.243790,0.215890,0.376102,0.451513,-2.882601,1.169943,0.014147
33,1770207502170,0.366891,213.3453,375.7350,461.3535,0.699343,-0.148534,0.109082,0.690622,1.563522,-0.332078,0.243875,0.215883,0.376094,0.451517,-2.882579,1.169872,0.014118
34,1770207502182,0.378002,213.3471,375.7350,461.3586,0.699338,-0.148509,0.109123,0.690625,1.563510,-0.332022,0.243966,0.215885,0.376094,0.451522,-2.882552,1.169901,0.014129
35,1770207502193,0.389113,213.3430,375.7360,461.3615,0.699368,-0.148535,0.109117,0.690591,1.563597,-0.332084,0.243957,0.215881,0.376095,0.451525,-2.882571,1.169869,0.014154
36,1770207502204,0.400224,213.3503,375.7431,461.3498,0.699362,-0.148502,0.109087,0.690609,1.563572,-0.332009,0.243887,0.215888,0.376102,0.451513,-2.882592,1.169939,0.014183
37,1770207502215,0.411336,213.3555,375.7482,461.3439,0.699349,-0.148510,0.109089,0.690620,1.563538,-0.332024,0.243891,0.215893,0.376107,0.451507,-2.882605,1.169904,0.014182
38,1770207502226,0.422447,213.3372,375.7330,461.3553,0.699368,-0.148495,0.109079,0.690605,1.563589,-0.331993,0.243869,0.215875,0.376092,0.451519,-2.882553,1.169861,0.014182
39,1770207502237,0.433558,213.3554,375.7503,461.3430,0.699388,-0.148535,0.109057,0.690580,1.563648,-0.332085,0.243824,0.215893,0.376109,0.451506,-2.882626,1.169893,0.014171
40,1770207502248,0.444669,213.3317,375.7380,461.3652,0.699406,-0.148510,0.109031,0.690572,1.563693,-0.332030,0.243766,0.215870,0.376097,0.451529,-2.882558,1.169884,0.014088
41,1770207502259,0.455780,213.3489,375.7392,461.3587,0.699405,-0.148535,0.109015,0.690570,1.563692,-0.332087,0.243731,0.215887,0.376098,0.451522,-2.882586,1.169916,0.014133
42,1770207502270,0.466892,213.3409,375.7381,461.3584,0.699437,-0.148491,0.108990,0.690551,1.563775,-0.331992,0.243677,0.215879,0.376097,0.451522,-2.882569,1.169868,0.014111
43,1770207502282,0.478003,213.3398,375.7351,461.3604,0.699437,-0.148479,0.108978,0.690555,1.563774,-0.331963,0.243649,0.215878,0.376094,0.451524,-2.882576,1.169871,0.014136
44,1770207502293,0.489114,213.3610,375.7363,461.3530,0.699427,-0.148514,0.108945,0.690563,1.563745,-0.332040,0.243574,0.215899,0.376095,0.451516,-2.882583,1.169935,0.014216
45,1770207502304,0.500225,213.3397,375.7332,461.3634,0.699408,-0.148515,0.109033,0.690567,1.563701,-0.332043,0.243771,0.215878,0.376092,0.451527,-2.882541,1.169917,0.014148
46,1770207502315,0.511337,213.3631,375.7444,461.3472,0.699409,-0.148508,0.109031,0.690568,1.563703,-0.332027,0.243766,0.215901,0.376103,0.451510,-2.882602,1.169923,0.014163
47,1770207502326,0.522448,213.3346,375.7412,461.3593,0.699383,-0.148507,0.109043,0.690593,1.563629,-0.332022,0.243790,0.215873,0.376100,0.451523,-2.882571,1.169910,0.014103
48,1770207502337,0.533559,213.3407,375.7323,461.3584,0.699393,-0.148464,0.109066,0.690589,1.563654,-0.331926,0.243842,0.215879,0.376091,0.451522,-2.882570,1.169828,0.014163
49,1770207502348,0.544671,213.3528,375.7314,461.3548,0.699393,-0.148464,0.109078,0.690587,1.563656,-0.331925,0.243870,0.215891,0.376090,0.451518,-2.882554,1.169943,0.014161
50,1770207502359,0.555782,213.3355,375.7292,461.3642,0.699419,-0.148443,0.109129,0.690557,1.563731,-0.331883,0.243986,0.215874,0.376088,0.451528,-2.882527,1.169891,0.014133
51,1770207502370,0.566893,213.3405,375.7433,461.3595,0.699422,-0.148460,0.109131,0.690550,1.563743,-0.331922,0.243992,0.215879,0.376102,0.451523,-2.882599,1.169881,0.014091
52,1770207502382,0.578004,213.3341,375.7302,461.3752,0.699399,-0.148493,0.109150,0.690563,1.563684,-0.331993,0.244032,0.215873,0.376089,0.451539,-2.882549,1.169880,0.014122
53,1770207502393,0.589115,213.3435,375.7294,461.3615,0.699393,-0.148485,0.109167,0.690568,1.563667,-0.331974,0.244069,0.215882,0.376088,0.451525,-2.882537,1.169895,0.014140
54,1770207502404,0.600226,213.3355,375.7384,461.3593,0.699395,-0.148479,0.109133,0.690573,1.563669,-0.331962,0.243994,0.215874,0.376097,0.451523,-2.882579,1.169832,0.014129
55,1770207502415,0.611337,213.3396,375.7454,461.3545,0.699396,-0.148477,0.109117,0.690574,1.563671,-0.331956,0.243958,0.215878,0.376104,0.451518,-2.882601,1.169842,0.014185
56,1770207502426,0.622449,213.3433,375.7434,461.3616,0.699381,-0.148478,0.109131,0.690588,1.563627,-0.331956,0.243987,0.215882,0.376102,0.451525,-2.882581,1.169914,0.014109
57,1770207502437,0.633560,213.3362,375.7344,461.3653,0.699397,-0.148478,0.109116,0.690573,1.563674,-0.331960,0.243956,0.215875,0.376093,0.451529,-2.882553,1.169882,0.014105
58,1770207502448,0.644671,213.3473,375.7294,461.3636,0.699388,-0.148472,0.109122,0.690583,1.563648,-0.331945,0.243967,0.215886,0.376088,0.451527,-2.882545,1.169918,0.014129
59,1770207502459,0.655782,213.3396,375.7425,461.3504,0.699348,-0.148472,0.109082,0.690630,1.563529,-0.331938,0.243875,0.215878,0.376101,0.451514,-2.882580,1.169893,0.014144
60,1770207502470,0.666893,213.3395,375.7385,461.3554,0.699330,-0.148467,0.109080,0.690650,1.563476,-0.331924,0.243869,0.215878,0.376097,0.451519,-2.882550,1.169881,0.014165
61,1770207502482,0.678005,213.3575,375.7446,461.3510,0.699339,-0.148451,0.109090,0.690643,1.563500,-0.331890,0.243890,0.215896,0.376103,0.451514,-2.882591,1.169939,0.014182
62,1770207502493,0.689116,213.3517,375.7477,461.3448,0.699337,-0.148448,0.109071,0.690648,1.563492,-0.331881,0.243848,0.215890,0.376106,0.451508,-2.882613,1.169928,0.014172
63,1770207502504,0.700227,213.3166,375.7313,461.3797,0.699333,-0.148455,0.109069,0.690651,1.563483,-0.331898,0.243843,0.215856,0.376090,0.451544,-2.882568,1.169827,0.014081
64,1770207502515,0.711338,213.3671,375.7358,461.3593,0.699285,-0.148449,0.109117,0.690693,1.563349,-0.331879,0.243947,0.215906,0.376094,0.451522,-2.882591,1.169919,0.014155
65,1770207502526,0.722450,213.3253,375.7254,461.3839,0.699291,-0.148446,0.109129,0.690686,1.563368,-0.331872,0.243973,0.215865,0.376084,0.451548,-2.882544,1.169857,0.014073
66,1770207502537,0.733561,213.3180,375.7233,461.3927,0.699284,-0.148440,0.109104,0.690698,1.563344,-0.331857,0.243917,0.215858,0.376082,0.451557,-2.882552,1.169861,0.014038
67,1770207502548,0.744672,213.3461,375.7175,461.3905,0.699166,-0.148435,0.109129,0.690814,1.563010,-0.331832,0.243961,0.215886,0.376076,0.451554,-2.882569,1.170011,0.014063
68,1770207502559,0.755784,213.3461,375.7426,461.3827,0.699237,-0.148377,0.109257,0.690735,1.563215,-0.331713,0.244256,0.215886,0.376101,0.451546,-2.882685,1.169959,0.014019
69,1770207502570,0.766895,213.3299,375.7083,461.4270,0.699156,-0.148483,0.109122,0.690815,1.562987,-0.331939,0.243946,0.215871,0.376067,0.451591,-2.882570,1.170052,0.013952
70,1770207502582,0.778006,213.3343,375.6882,461.4480,0.699187,-0.148483,0.109138,0.690782,1.563075,-0.331942,0.243985,0.215876,0.376047,0.451612,-2.882530,1.170055,0.013888
71,1770207502593,0.789134,213.3213,375.6820,461.4796,0.699157,-0.148349,0.109298,0.690815,1.562989,-0.331640,0.244339,0.215864,0.376041,0.451644,-2.882545,1.170143,0.013714
