FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207614292,0,215.852,376.113,451.519,0.699498,-0.148707,0.108947,0.690449,1.563975,-0.332488,0.24359,0.215852,0.376113,0.451519,-2.882612,1.169765,0.014113
1,1770207614303,0.011111,215.852,376.113,451.519,0.699504,-0.148678,0.108984,0.690443,1.563993,-0.332424,0.243673,0.215852,0.376113,0.451519,-2.882612,1.169765,0.014113
2,1770207614314,0.022223,215.852,376.105,451.527,0.69952,-0.148666,0.108968,0.690432,1.564034,-0.332398,0.243637,0.215852,0.376105,0.451527,-2.882568,1.169786,0.014092
3,1770207614325,0.033334,215.838,376.105,451.537,0.699493,-0.148708,0.108995,0.690446,1.563964,-0.33249,0.243697,0.215838,0.376105,0.451537,-2.882568,1.169726,0.014078
4,1770207614336,0.044445,215.838,376.105,451.537,0.699509,-0.1487,0.108951,0.690438,1.564005,-0.332473,0.2436,0.215838,0.376105,0.451537,-2.882568,1.169726,0.014078
5,1770207614347,0.055557,215.851,376.122,451.521,0.69946,-0.148695,0.108968,0.690486,1.563868,-0.332454,0.243633,0.215851,0.376122,0.451521,-2.882621,1.169749,0.014156
6,1770207614358,0.066668,215.853,376.119,451.519,0.699488,-0.148696,0.108977,0.690457,1.563946,-0.332462,0.243656,0.215853,0.376119,0.451519,-2.882605,1.169802,0.014138
7,1770207614369,0.077779,215.841,376.096,451.541,0.699465,-0.14869,0.109042,0.690471,1.563887,-0.332446,0.243799,0.215841,0.376096,0.451541,-2.882538,1.169753,0.014046
8,1770207614380,0.088891,215.841,376.096,451.541,0.69942,-0.148705,0.108988,0.690522,1.563756,-0.332472,0.243675,0.215841,0.376096,0.451541,-2.882538,1.169753,0.014046
9,1770207614392,0.100002,215.863,376.106,451.525,0.699364,-0.148703,0.109033,0.690572,1.5636,-0.332461,0.243769,0.215863,0.376106,0.451525,-2.882562,1.169865,0.014149
10,1770207614403,0.11113,215.856,376.116,451.512,0.699388,-0.148717,0.109018,0.690546,1.56367,-0.332496,0.243739,0.215856,0.376116,0.451512,-2.882628,1.169791,0.014068
11,1770207614414,0.122241,215.856,376.116,451.512,0.699364,-0.148746,0.109009,0.690566,1.563603,-0.332559,0.243717,0.215856,0.376116,0.451512,-2.882628,1.169791,0.014068
12,1770207614425,0.133352,215.843,376.106,451.532,0.699341,-0.148693,0.10901,0.690601,1.563532,-0.332435,0.243717,0.215843,0.376106,0.451532,-2.882599,1.169718,0.014074
13,1770207614436,0.144463,215.844,376.105,451.532,0.69936,-0.148705,0.108991,0.690582,1.563583,-0.332466,0.243676,0.215844,0.376105,0.451532,-2.882568,1.169786,0.014092
14,1770207614447,0.155574,215.838,376.114,451.529,0.69935,-0.148712,0.109019,0.690586,1.56356,-0.33248,0.243738,0.215838,0.376114,0.451529,-2.882587,1.169754,0.014076
15,1770207614458,0.166685,215.842,376.099,451.536,0.699354,-0.148727,0.109005,0.690581,1.563573,-0.332515,0.243706,0.215842,0.376099,0.451536,-2.882513,1.169782,0.0141
16,1770207614469,0.177797,215.853,376.118,451.52,0.69932,-0.148711,0.10899,0.690621,1.563472,-0.332474,0.243668,0.215853,0.376118,0.45152,-2.882624,1.16979,0.014086
17,1770207614480,0.188908,215.841,376.111,451.529,0.699362,-0.148681,0.109047,0.690577,1.563591,-0.332411,0.2438,0.215841,0.376111,0.451529,-2.882587,1.169714,0.014128
18,1770207614492,0.200019,215.86,376.119,451.517,0.699384,-0.148677,0.109031,0.690557,1.563655,-0.332406,0.243767,0.21586,0.376119,0.451517,-2.882601,1.169841,0.014146
19,1770207614503,0.21113,215.835,376.112,451.53,0.699358,-0.148664,0.109025,0.690588,1.563576,-0.332373,0.243751,0.215835,0.376112,0.45153,-2.882581,1.169731,0.014128
20,1770207614514,0.222241,215.858,376.107,451.527,0.69935,-0.148667,0.108985,0.690602,1.56355,-0.332377,0.243661,0.215858,0.376107,0.451527,-2.882582,1.169792,0.014081
21,1770207614525,0.233353,215.856,376.11,451.522,0.699343,-0.148618,0.109073,0.690605,1.563532,-0.332267,0.243855,0.215856,0.37611,0.451522,-2.882582,1.169772,0.014159
22,1770207614536,0.244464,215.859,376.115,451.513,0.699341,-0.148606,0.109023,0.690618,1.56352,-0.33224,0.243743,0.215859,0.376115,0.451513,-2.88259,1.169796,0.014149
23,1770207614547,0.255575,215.865,376.122,451.508,0.699304,-0.148612,0.108981,0.69066,1.563412,-0.332248,0.243646,0.215865,0.376122,0.451508,-2.88264,1.169757,0.014169
24,1770207614558,0.266686,215.848,376.116,451.525,0.699305,-0.148595,0.108967,0.690666,1.56341,-0.332209,0.243614,0.215848,0.376116,0.451525,-2.882595,1.169778,0.014107
25,1770207614569,0.277798,215.848,376.099,451.534,0.699305,-0.148602,0.108937,0.690668,1.563409,-0.332224,0.243547,0.215848,0.376099,0.451534,-2.882537,1.169793,0.014095
