FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207614292,0,-115.7332,431.2212,-831.2828,0.699498,-0.148707,0.108947,0.690449,1.563975,-0.332488,0.243590,0.215852,0.376113,0.451519,-2.882612,1.169765,0.014113
1,1770207614303,0.011111,-115.7267,431.1963,-831.2472,0.699504,-0.148678,0.108984,0.690443,1.563993,-0.332424,0.243673,0.215852,0.376113,0.451519,-2.882612,1.169765,0.014113
2,1770207614314,0.022223,-115.7951,431.1930,-831.2107,0.699520,-0.148666,0.108968,0.690432,1.564034,-0.332398,0.243637,0.215852,0.376105,0.451527,-2.882568,1.169786,0.014092
3,1770207614325,0.033334,-115.7234,431.1542,-831.1846,0.699493,-0.148708,0.108995,0.690446,1.563964,-0.332490,0.243697,0.215838,0.376105,0.451537,-2.882568,1.169726,0.014078
4,1770207614336,0.044445,-115.6796,431.0435,-831.1389,0.699509,-0.148700,0.108951,0.690438,1.564005,-0.332473,0.243600,0.215838,0.376105,0.451537,-2.882568,1.169726,0.014078
5,1770207614347,0.055557,-115.6798,431.0944,-831.0844,0.699460,-0.148695,0.108968,0.690486,1.563868,-0.332454,0.243633,0.215851,0.376122,0.451521,-2.882621,1.169749,0.014156
6,1770207614358,0.066668,-115.6626,431.2642,-831.1479,0.699488,-0.148696,0.108977,0.690457,1.563946,-0.332462,0.243656,0.215853,0.376119,0.451519,-2.882605,1.169802,0.014138
7,1770207614369,0.077779,-115.7823,431.1262,-831.1182,0.699465,-0.148690,0.109042,0.690471,1.563887,-0.332446,0.243799,0.215841,0.376096,0.451541,-2.882538,1.169753,0.014046
8,1770207614380,0.088891,-115.8342,431.1278,-831.0544,0.699420,-0.148705,0.108988,0.690522,1.563756,-0.332472,0.243675,0.215841,0.376096,0.451541,-2.882538,1.169753,0.014046
9,1770207614392,0.100002,-115.8140,431.0306,-831.2603,0.699364,-0.148703,0.109033,0.690572,1.563600,-0.332461,0.243769,0.215863,0.376106,0.451525,-2.882562,1.169865,0.014149
10,1770207614403,0.111130,-115.8523,430.9580,-831.2515,0.699388,-0.148717,0.109018,0.690546,1.563670,-0.332496,0.243739,0.215856,0.376116,0.451512,-2.882628,1.169791,0.014068
11,1770207614414,0.122241,-115.6551,431.0703,-831.1998,0.699364,-0.148746,0.109009,0.690566,1.563603,-0.332559,0.243717,0.215856,0.376116,0.451512,-2.882628,1.169791,0.014068
12,1770207614425,0.133352,-115.6551,431.0764,-831.1800,0.699341,-0.148693,0.109010,0.690601,1.563532,-0.332435,0.243717,0.215843,0.376106,0.451532,-2.882599,1.169718,0.014074
