FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207581164,0.0,-821.0748003092897,451.3153,145.54353997595135,0.699375,-0.148562,0.109312,0.690546,1.563641,-0.332151,0.244397,0.21587,0.376108,0.451521,-2.882618,1.169788,0.014203
1,1770207581175,0.011111,-821.1023082010969,451.4394,145.58373457618978,0.699379,-0.148531,0.109295,0.690552,1.563646,-0.332079,0.244359,0.215858,0.376102,0.451529,-2.882556,1.169802,0.014109
2,1770207581186,0.022223,-820.9847330387026,451.3875,145.7102576617828,0.699405,-0.14852,0.109346,0.69052,1.563723,-0.332061,0.244475,0.215855,0.37611,0.451519,-2.882592,1.169777,0.014166
3,1770207581197,0.033334,-820.9723389680108,451.4388,145.74046009565302,0.699407,-0.148537,0.109327,0.690518,1.563728,-0.332098,0.244433,0.215873,0.376106,0.45151,-2.882575,1.16985,0.014172
4,1770207581208,0.044445,-821.0341356096316,451.5339,145.7233479629867,0.699402,-0.148548,0.109337,0.690518,1.563718,-0.332123,0.244455,0.215866,0.376111,0.451515,-2.882608,1.169783,0.014196
5,1770207581219,0.055557,-821.0411399875842,451.5723,145.74564658826938,0.699417,-0.14855,0.109345,0.690502,1.56376,-0.332129,0.244474,0.215861,0.376092,0.451529,-2.88254,1.169835,0.014168
6,1770207581230,0.066668,-821.1009860161942,451.6464,145.47073483359236,0.699401,-0.148575,0.10929,0.690521,1.563713,-0.332183,0.244349,0.215881,0.376105,0.451514,-2.88258,1.169853,0.014196
7,1770207581241,0.077779,-821.1513900595548,451.6963,145.49132493832496,0.699408,-0.148571,0.109254,0.690521,1.563728,-0.332174,0.244269,0.215863,0.376096,0.451527,-2.882531,1.169811,0.014137
8,1770207581252,0.08889,-821.1690913549705,451.7379,145.49792146321352,0.699418,-0.14857,0.109255,0.69051,1.563758,-0.332173,0.244272,0.215858,0.3761,0.451521,-2.882545,1.169817,0.014127
9,1770207581264,0.100002,-821.0580984837724,451.5029,145.534243254788,0.699414,-0.148545,0.109248,0.690521,1.563742,-0.332115,0.244255,0.21588,0.376103,0.451516,-2.882562,1.169906,0.014137
10,1770207581275,0.111113,-821.0627069846338,451.4049,145.5775423508503,0.699404,-0.148531,0.109277,0.690529,1.563716,-0.332083,0.24432,0.215858,0.376101,0.451522,-2.88255,1.169799,0.014186
11,1770207581286,0.122224,-821.0652078680563,451.4253,145.58204185994657,0.699411,-0.148517,0.109275,0.690526,1.563734,-0.332053,0.244317,0.215873,0.376106,0.451519,-2.882595,1.169798,0.014171
12,1770207581297,0.133335,-821.0649200206906,451.3602,145.6439419176517,0.699415,-0.148498,0.10925,0.69053,1.563739,-0.33201,0.24426,0.215864,0.376111,0.451513,-2.882582,1.169833,0.014173
13,1770207581308,0.144447,-821.1428050394549,451.4457,145.56762662526492,0.699433,-0.148566,0.109208,0.690504,1.563796,-0.332165,0.244168,0.215855,0.376095,0.45153,-2.882531,1.169811,0.014137
