FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770206940135,0.000000,-115.6996,431.1250,-830.9886,0.699275,-0.148301,0.109490,0.690676,1.563338,-0.331550,0.244782,0.215863,0.376101,0.451524,-2.882547,1.169818,0.014169
1,1770206940146,0.011111,-115.7121,430.9746,-830.9145,0.699283,-0.148304,0.109405,0.690681,1.563352,-0.331556,0.244591,0.215860,0.376112,0.451519,-2.882602,1.169801,0.014198
2,1770206940157,0.022223,-115.6721,431.0001,-830.8359,0.699300,-0.148296,0.109433,0.690660,1.563404,-0.331540,0.244657,0.215847,0.376097,0.451534,-2.882503,1.169799,0.014159
3,1770206940168,0.033334,-115.7312,431.0086,-830.7507,0.699341,-0.148307,0.109443,0.690615,1.563523,-0.331570,0.244682,0.215850,0.376109,0.451524,-2.882542,1.169836,0.014171
4,1770206940179,0.044445,-115.7371,431.1038,-830.8564,0.699351,-0.148318,0.109456,0.690601,1.563552,-0.331598,0.244713,0.215858,0.376101,0.451528,-2.882537,1.169834,0.014187
5,1770206940190,0.055557,-115.6841,431.0201,-830.9360,0.699328,-0.148315,0.109462,0.690624,1.563488,-0.331587,0.244725,0.215852,0.376109,0.451530,-2.882556,1.169822,0.014135
6,1770206940201,0.066668,-115.5936,431.2172,-830.9891,0.699341,-0.148343,0.109463,0.690604,1.563530,-0.331652,0.244727,0.215838,0.376099,0.451539,-2.882555,1.169720,0.014130
7,1770206940212,0.077779,-115.6487,431.0607,-830.9081,0.699340,-0.148322,0.109521,0.690601,1.563527,-0.331607,0.244858,0.215851,0.376099,0.451534,-2.882512,1.169824,0.014190
8,1770206940223,0.088890,-115.6446,431.0623,-830.9135,0.699347,-0.148308,0.109501,0.690600,1.563544,-0.331575,0.244814,0.215854,0.376107,0.451524,-2.882568,1.169766,0.014169
9,1770206940235,0.100002,-115.5731,431.0281,-830.8555,0.699362,-0.148323,0.109436,0.690591,1.563585,-0.331611,0.244669,0.215856,0.376104,0.451519,-2.882526,1.169788,0.014190
10,1770206940246,0.111113,-115.5501,431.0288,-830.8412,0.699356,-0.148335,0.109441,0.690594,1.563568,-0.331637,0.244681,0.215849,0.376098,0.451528,-2.882502,1.169839,0.014107
11,1770206940257,0.122224,-115.6712,431.0868,-830.9320,0.699324,-0.148291,0.109473,0.690631,1.563475,-0.331533,0.244748,0.215842,0.376099,0.451536,-2.882513,1.169782,0.014100
12,1770206940268,0.133335,-115.6704,431.0906,-830.9407,0.699339,-0.148289,0.109480,0.690615,1.563519,-0.331532,0.244764,0.215859,0.376104,0.451524,-2.882548,1.169818,0.014169
13,1770206940279,0.144447,-115.7815,431.0880,-830.8691,0.699341,-0.148262,0.109503,0.690616,1.563521,-0.331470,0.244817,0.215840,0.376109,0.451529,-2.882581,1.169711,0.014204
14,1770206940290,0.155558,-115.7171,431.0157,-830.7824,0.699360,-0.148278,0.109487,0.690595,1.563578,-0.331509,0.244783,0.215857,0.376100,0.451530,-2.882500,1.169838,0.014166
