FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207061960,0,215.871,376.144,451.509,0.699363,-0.148478,0.109332,0.690574,1.563595,-0.331959,0.244438,0.215871,0.376144,0.451509,-2.882662,1.169847,0.014123
1,1770207061971,0.011112,215.866,376.135,451.521,0.699367,-0.14849,0.109353,0.690564,1.563612,-0.331987,0.244486,0.215866,0.376135,0.451521,-2.882659,1.169785,0.014065
2,1770207061982,0.022223,215.903,376.133,451.5,0.699411,-0.148418,0.109344,0.690537,1.563725,-0.33183,0.244468,0.215903,0.376133,0.4515,-2.882613,1.169968,0.014121
3,1770207061993,0.033334,215.89,376.147,451.499,0.699404,-0.148418,0.109349,0.690542,1.563709,-0.33183,0.244479,0.21589,0.376147,0.451499,-2.882698,1.169863,0.014167
4,1770207062004,0.044446,215.879,376.13,451.514,0.699391,-0.148374,0.109401,0.690557,1.563669,-0.331728,0.244594,0.215879,0.37613,0.451514,-2.882637,1.169816,0.014099
5,1770207062015,0.055557,215.874,376.129,451.513,0.699377,-0.148394,0.109415,0.690565,1.563632,-0.331771,0.244626,0.215874,0.376129,0.451513,-2.882605,1.169863,0.014051
6,1770207062026,0.066668,215.884,376.13,451.515,0.699392,-0.148344,0.109401,0.690563,1.563667,-0.33166,0.244593,0.215884,0.37613,0.451515,-2.882641,1.169879,0.014096
7,1770207062037,0.07778,215.877,376.121,451.519,0.699352,-0.148377,0.109421,0.690593,1.563559,-0.331731,0.244635,0.215877,0.376121,0.451519,-2.882582,1.169833,0.014071
8,1770207062048,0.088891,215.873,376.133,451.517,0.699343,-0.148383,0.109392,0.690605,1.563533,-0.331741,0.24457,0.215873,0.376133,0.451517,-2.882641,1.169818,0.014082
9,1770207062060,0.100002,215.893,376.132,451.506,0.699337,-0.148411,0.109381,0.690607,1.563517,-0.331805,0.244545,0.215893,0.376132,0.451506,-2.882644,1.1699,0.014103
10,1770207062071,0.111113,215.869,376.128,451.522,0.699327,-0.148413,0.109388,0.690615,1.563491,-0.331809,0.244561,0.215869,0.376128,0.451522,-2.88262,1.169849,0.014016
11,1770207062082,0.122224,215.897,376.132,451.504,0.699337,-0.148362,0.109343,0.690623,1.563508,-0.331692,0.244459,0.215897,0.376132,0.451504,-2.882653,1.169884,0.014145
12,1770207062093,0.133336,215.89,376.125,451.513,0.699324,-0.148386,0.10936,0.690629,1.563475,-0.331745,0.244495,0.21589,0.376125,0.451513,-2.882599,1.169901,0.014117
13,1770207062104,0.144447,215.876,376.129,451.515,0.699335,-0.148359,0.10933,0.690629,1.563499,-0.331686,0.244428,0.215876,0.376129,0.451515,-2.882621,1.16987,0.014083
14,1770207062115,0.155558,215.881,376.126,451.525,0.69932,-0.148345,0.109318,0.690648,1.563456,-0.331653,0.2444,0.215881,0.376126,0.451525,-2.882603,1.169923,0.014024
15,1770207062126,0.16667,215.878,376.122,451.527,0.699321,-0.148372,0.109282,0.690647,1.563457,-0.331713,0.24432,0.215878,0.376122,0.451527,-2.882602,1.169842,0.014085
16,1770207062137,0.177781,215.862,376.141,451.507,0.699331,-0.148386,0.109303,0.690631,1.56349,-0.331745,0.244369,0.215862,0.376141,0.451507,-2.882672,1.16973,0.0141
17,1770207062148,0.188892,215.88,376.133,451.512,0.699305,-0.148413,0.109291,0.690653,1.56342,-0.331803,0.244339,0.21588,0.376133,0.451512,-2.882662,1.169827,0.014096
18,1770207062160,0.200003,215.9,376.124,451.508,0.699291,-0.148414,0.109298,0.690666,1.563378,-0.331804,0.244355,0.2159,0.376124,0.451508,-2.882616,1.169909,0.014088
19,1770207062171,0.211114,215.891,376.13,451.51,0.699333,-0.148406,0.109221,0.690637,1.56349,-0.33179,0.244184,0.215891,0.37613,0.45151,-2.882637,1.169918,0.014103
20,1770207062182,0.222225,215.894,376.112,451.522,0.699308,-0.148371,0.10925,0.690666,1.563417,-0.331708,0.244247,0.215894,0.376112,0.451522,-2.882552,1.169921,0.014053
21,1770207062193,0.233337,215.882,376.124,451.513,0.699328,-0.148358,0.109243,0.690649,1.563472,-0.33168,0.244231,0.215882,0.376124,0.451513,-2.882592,1.169857,0.014103
22,1770207062204,0.244448,215.882,376.128,451.514,0.699344,-0.148347,0.109273,0.69063,1.563521,-0.33166,0.244301,0.215882,0.376128,0.451514,-2.882621,1.16987,0.014082
23,1770207062215,0.255559,215.884,376.128,451.507,0.699357,-0.148357,0.10926,0.690617,1.563557,-0.331682,0.244273,0.215884,0.376128,0.451507,-2.88262,1.16989,0.014107
24,1770207062226,0.26667,215.884,376.139,451.502,0.699335,-0.1483,0.109335,0.69064,1.563494,-0.331552,0.244439,0.215884,0.376139,0.451502,-2.882662,1.169867,0.014086
25,1770207062237,0.277782,215.87,376.136,451.517,0.699344,-0.148288,0.109319,0.690636,1.563515,-0.331527,0.244404,0.21587,0.376136,0.451517,-2.88264,1.169858,0.014031
26,1770207062248,0.288893,215.882,376.131,451.515,0.699359,-0.148296,0.109315,0.690619,1.563561,-0.331546,0.244397,0.215882,0.376131,0.451515,-2.882623,1.169871,0.014124
27,1770207062260,0.300004,215.891,376.14,451.505,0.699354,-0.148324,0.109297,0.690622,1.563547,-0.331609,0.244355,0.215891,0.37614,0.451505,-2.882683,1.169837,0.014152
28,1770207062271,0.311115,215.881,376.115,451.526,0.699372,-0.148307,0.109334,0.690601,1.5636,-0.331574,0.24444,0.215881,0.376115,0.451526,-2.882561,1.169905,0.014096
29,1770207062282,0.322226,215.874,376.137,451.512,0.69936,-0.148343,0.109306,0.69061,1.563567,-0.331653,0.244377,0.215874,0.376137,0.451512,-2.882649,1.169841,0.014072
30,1770207062293,0.333338,215.874,376.133,451.512,0.69936,-0.148342,0.109307,0.69061,1.563567,-0.331649,0.244378,0.215874,0.376133,0.451512,-2.882634,1.169875,0.014031
31,1770207062304,0.344449,215.888,376.117,451.512,0.699314,-0.148332,0.109328,0.690655,1.563438,-0.331623,0.244423,0.215888,0.376117,0.451512,-2.882579,1.169933,0.014093
