FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207061960,0.000000,-115.6087,431.1984,-830.9157,0.699363,-0.148478,0.109332,0.690574,1.563595,-0.331959,0.244438,0.215871,0.376144,0.451509,-2.882662,1.169847,0.014123
1,1770207061971,0.011112,-115.6516,431.2060,-830.8932,0.699367,-0.148490,0.109353,0.690564,1.563612,-0.331987,0.244486,0.215866,0.376135,0.451521,-2.882659,1.169785,0.014065
2,1770207061982,0.022223,-115.7098,431.2980,-830.8939,0.699411,-0.148418,0.109344,0.690537,1.563725,-0.331830,0.244468,0.215903,0.376133,0.451500,-2.882613,1.169968,0.014121
3,1770207061993,0.033334,-115.7272,431.3171,-830.8881,0.699404,-0.148418,0.109349,0.690542,1.563709,-0.331830,0.244479,0.215890,0.376147,0.451499,-2.882698,1.169863,0.014167
4,1770207062004,0.044446,-115.7184,431.2642,-830.9803,0.699391,-0.148374,0.109401,0.690557,1.563669,-0.331728,0.244594,0.215879,0.376130,0.451514,-2.882637,1.169816,0.014099
5,1770207062015,0.055557,-115.7164,431.2098,-830.9541,0.699377,-0.148394,0.109415,0.690565,1.563632,-0.331771,0.244626,0.215874,0.376129,0.451513,-2.882605,1.169863,0.014051
6,1770207062026,0.066668,-115.7618,431.2364,-830.9976,0.699392,-0.148344,0.109401,0.690563,1.563667,-0.331660,0.244593,0.215884,0.376130,0.451515,-2.882641,1.169879,0.014096
7,1770207062037,0.077780,-115.7917,431.1519,-830.8788,0.699352,-0.148377,0.109421,0.690593,1.563559,-0.331731,0.244635,0.215877,0.376121,0.451519,-2.882582,1.169833,0.014071
8,1770207062048,0.088891,-115.7796,431.1784,-830.8770,0.699343,-0.148383,0.109392,0.690605,1.563533,-0.331741,0.244570,0.215873,0.376133,0.451517,-2.882641,1.169818,0.014082
9,1770207062060,0.100002,-115.8290,431.1012,-830.8286,0.699337,-0.148411,0.109381,0.690607,1.563517,-0.331805,0.244545,0.215893,0.376132,0.451506,-2.882644,1.169900,0.014103
10,1770207062071,0.111113,-115.8623,431.1061,-830.8094,0.699327,-0.148413,0.109388,0.690615,1.563491,-0.331809,0.244561,0.215869,0.376128,0.451522,-2.882620,1.169849,0.014016
11,1770207062082,0.122224,-115.7951,431.2057,-830.8531,0.699337,-0.148362,0.109343,0.690623,1.563508,-0.331692,0.244459,0.215897,0.376132,0.451504,-2.882653,1.169884,0.014145
12,1770207062093,0.133336,-115.8988,431.2278,-830.8688,0.699324,-0.148386,0.109360,0.690629,1.563475,-0.331745,0.244495,0.215890,0.376125,0.451513,-2.882599,1.169901,0.014117
13,1770207062104,0.144447,-115.7712,431.2234,-830.9940,0.699335,-0.148359,0.109330,0.690629,1.563499,-0.331686,0.244428,0.215876,0.376129,0.451515,-2.882621,1.169870,0.014083
14,1770207062115,0.155558,-115.7075,431.1887,-831.0517,0.699320,-0.148345,0.109318,0.690648,1.563456,-0.331653,0.244400,0.215881,0.376126,0.451525,-2.882603,1.169923,0.014024
15,1770207062126,0.166670,-115.7066,431.2470,-831.0001,0.699321,-0.148372,0.109282,0.690647,1.563457,-0.331713,0.244320,0.215878,0.376122,0.451527,-2.882602,1.169842,0.014085
16,1770207062137,0.177781,-115.7359,431.2369,-830.9966,0.699331,-0.148386,0.109303,0.690631,1.563490,-0.331745,0.244369,0.215862,0.376141,0.451507,-2.882672,1.169730,0.014100
17,1770207062148,0.188892,-115.7618,431.2847,-830.9311,0.699305,-0.148413,0.109291,0.690653,1.563420,-0.331803,0.244339,0.215880,0.376133,0.451512,-2.882662,1.169827,0.014096
18,1770207062160,0.200003,-115.7803,431.2934,-830.9359,0.699291,-0.148414,0.109298,0.690666,1.563378,-0.331804,0.244355,0.215900,0.376124,0.451508,-2.882616,1.169909,0.014088
19,1770207062171,0.211114,-115.6017,431.1600,-830.9566,0.699333,-0.148406,0.109221,0.690637,1.563490,-0.331790,0.244184,0.215891,0.376130,0.451510,-2.882637,1.169918,0.014103
