FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207300725,0.000000,-115.7936,431.4576,-830.9573,0.699230,-0.148572,0.109033,0.690735,1.563202,-0.332147,0.243754,0.215878,0.376119,0.451517,-2.882585,1.169915,0.014051
1,1770207300736,0.011111,-115.7150,431.5157,-831.0823,0.699228,-0.148601,0.109107,0.690720,1.563205,-0.332215,0.243921,0.215881,0.376127,0.451518,-2.882614,1.169887,0.014083
2,1770207300747,0.022222,-115.7371,431.5456,-831.1085,0.699223,-0.148597,0.109103,0.690726,1.563191,-0.332204,0.243911,0.215891,0.376136,0.451497,-2.882630,1.169975,0.014052
3,1770207300758,0.033334,-115.8025,431.4987,-831.1996,0.699234,-0.148586,0.109066,0.690723,1.563217,-0.332181,0.243828,0.215881,0.376131,0.451508,-2.882639,1.169878,0.014055
4,1770207300769,0.044445,-115.8502,431.5408,-831.2325,0.699230,-0.148613,0.109068,0.690722,1.563208,-0.332242,0.243834,0.215881,0.376129,0.451506,-2.882618,1.169889,0.014065
5,1770207300780,0.055556,-115.7580,431.3320,-831.2269,0.699244,-0.148655,0.109027,0.690704,1.563252,-0.332336,0.243745,0.215879,0.376122,0.451512,-2.882620,1.169829,0.014092
6,1770207300791,0.066668,-115.7003,431.3704,-831.0144,0.699270,-0.148559,0.109043,0.690696,1.563314,-0.332124,0.243781,0.215886,0.376119,0.451515,-2.882594,1.169919,0.014058
7,1770207300802,0.077779,-115.7348,431.4718,-830.9436,0.699272,-0.148572,0.109051,0.690691,1.563321,-0.332154,0.243799,0.215874,0.376117,0.451522,-2.882579,1.169872,0.014079
8,1770207300813,0.088890,-115.7195,431.5116,-830.8881,0.699313,-0.148570,0.109084,0.690644,1.563442,-0.332155,0.243878,0.215896,0.376130,0.451500,-2.882641,1.169919,0.014086
9,1770207300825,0.100002,-115.7455,431.5692,-830.8707,0.699304,-0.148564,0.109107,0.690651,1.563416,-0.332141,0.243927,0.215886,0.376125,0.451508,-2.882627,1.169852,0.014081
10,1770207300836,0.111113,-115.7386,431.6602,-830.9695,0.699293,-0.148535,0.109090,0.690671,1.563382,-0.332074,0.243887,0.215881,0.376121,0.451516,-2.882594,1.169858,0.014043
11,1770207300847,0.122224,-115.7672,431.7328,-830.9739,0.699298,-0.148535,0.109074,0.690669,1.563392,-0.332073,0.243853,0.215871,0.376126,0.451513,-2.882601,1.169841,0.014044
12,1770207300858,0.133335,-115.8306,431.5728,-830.9710,0.699330,-0.148535,0.109101,0.690631,1.563488,-0.332080,0.243917,0.215883,0.376132,0.451509,-2.882635,1.169876,0.014072
13,1770207300869,0.144447,-115.8580,431.6431,-830.9705,0.699305,-0.148500,0.109087,0.690667,1.563410,-0.331995,0.243881,0.215885,0.376138,0.451508,-2.882675,1.169853,0.014111
14,1770207300880,0.155558,-115.9148,431.6976,-830.9783,0.699303,-0.148519,0.109083,0.690665,1.563407,-0.332039,0.243873,0.215858,0.376115,0.451528,-2.882565,1.169825,0.013999
15,1770207300891,0.166669,-115.8134,431.3889,-831.0438,0.699321,-0.148532,0.109019,0.690655,1.563453,-0.332070,0.243730,0.215877,0.376129,0.451510,-2.882647,1.169840,0.014030
16,1770207300902,0.177780,-115.8616,431.4152,-831.0593,0.699329,-0.148532,0.109025,0.690646,1.563476,-0.332070,0.243744,0.215886,0.376127,0.451505,-2.882648,1.169841,0.014071
17,1770207300913,0.188891,-115.8561,431.3854,-830.9796,0.699326,-0.148518,0.109058,0.690646,1.563470,-0.332039,0.243818,0.215886,0.376132,0.451508,-2.882648,1.169861,0.014096
18,1770207300925,0.200002,-115.9140,431.4132,-830.9843,0.699335,-0.148519,0.109052,0.690638,1.563494,-0.332042,0.243806,0.215881,0.376136,0.451504,-2.882689,1.169798,0.014085
19,1770207300936,0.211114,-115.9046,431.3787,-831.0388,0.699363,-0.148496,0.109017,0.690619,1.563569,-0.331994,0.243731,0.215881,0.376124,0.451508,-2.882605,1.169903,0.014041
20,1770207300947,0.222225,-115.9591,431.4057,-831.0547,0.699371,-0.148499,0.109013,0.690612,1.563590,-0.332000,0.243721,0.215888,0.376123,0.451508,-2.882629,1.169853,0.014123
