FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207275379,0.000000,-115.6927,431.3462,-831.1212,0.699285,-0.148347,0.109343,0.690680,1.563356,-0.331651,0.244453,0.215899,0.376137,0.451497,-2.882637,1.169958,0.014052
1,1770207275390,0.011112,-115.7048,431.3369,-831.1486,0.699296,-0.148357,0.109328,0.690669,1.563388,-0.331675,0.244421,0.215877,0.376125,0.451515,-2.882571,1.169889,0.014037
2,1770207275401,0.022223,-115.6718,431.3334,-831.1172,0.699312,-0.148362,0.109282,0.690659,1.563430,-0.331689,0.244319,0.215880,0.376126,0.451504,-2.882618,1.169848,0.014075
3,1770207275412,0.033334,-115.6986,431.3208,-831.1339,0.699323,-0.148364,0.109289,0.690646,1.563463,-0.331695,0.244336,0.215868,0.376129,0.451514,-2.882614,1.169785,0.013977
4,1770207275423,0.044445,-115.7025,431.4738,-831.1801,0.699330,-0.148380,0.109226,0.690645,1.563479,-0.331731,0.244194,0.215877,0.376128,0.451508,-2.882589,1.169916,0.014035
5,1770207275434,0.055557,-115.7197,431.5404,-831.0372,0.699337,-0.148359,0.109193,0.690648,1.563493,-0.331684,0.244120,0.215888,0.376127,0.451504,-2.882597,1.169900,0.014075
6,1770207275445,0.066668,-115.7294,431.5748,-831.0381,0.699343,-0.148365,0.109204,0.690639,1.563512,-0.331697,0.244146,0.215881,0.376131,0.451505,-2.882629,1.169873,0.014048
7,1770207275456,0.077779,-115.6917,431.3902,-830.9384,0.699360,-0.148368,0.109220,0.690619,1.563562,-0.331706,0.244184,0.215892,0.376131,0.451507,-2.882627,1.169913,0.014096
8,1770207275467,0.088890,-115.7065,431.4046,-830.9415,0.699354,-0.148369,0.109230,0.690622,1.563547,-0.331709,0.244205,0.215867,0.376119,0.451527,-2.882553,1.169861,0.014041
9,1770207275479,0.100002,-115.7864,431.3401,-831.0207,0.699337,-0.148391,0.109251,0.690632,1.563503,-0.331756,0.244251,0.215885,0.376140,0.451498,-2.882693,1.169820,0.014093
10,1770207275490,0.111113,-115.8275,431.3298,-831.0306,0.699343,-0.148386,0.109249,0.690628,1.563518,-0.331746,0.244247,0.215884,0.376122,0.451512,-2.882606,1.169883,0.014016
11,1770207275501,0.122224,-115.8754,431.3202,-831.0469,0.699348,-0.148412,0.109250,0.690616,1.563537,-0.331805,0.244252,0.215889,0.376139,0.451492,-2.882667,1.169869,0.014069
12,1770207275512,0.133336,-115.8363,431.3519,-830.9830,0.699361,-0.148416,0.109263,0.690601,1.563575,-0.331816,0.244281,0.215893,0.376125,0.451506,-2.882603,1.169943,0.014089
13,1770207275523,0.144447,-115.7406,431.2981,-830.9948,0.699348,-0.148431,0.109251,0.690612,1.563539,-0.331848,0.244253,0.215884,0.376133,0.451504,-2.882635,1.169895,0.013996
14,1770207275534,0.155558,-115.7054,431.3380,-831.0002,0.699332,-0.148453,0.109192,0.690633,1.563491,-0.331895,0.244120,0.215876,0.376127,0.451513,-2.882610,1.169825,0.014085
15,1770207275545,0.166670,-115.7419,431.4333,-831.0838,0.699313,-0.148428,0.109230,0.690651,1.563438,-0.331838,0.244204,0.215886,0.376125,0.451503,-2.882617,1.169847,0.014074
16,1770207275556,0.177781,-115.6453,431.3889,-831.1620,0.699281,-0.148461,0.109192,0.690683,1.563348,-0.331906,0.244114,0.215892,0.376140,0.451487,-2.882669,1.169911,0.014101
17,1770207275567,0.188892,-115.6499,431.3343,-831.1722,0.699281,-0.148420,0.109200,0.690690,1.563343,-0.331815,0.244133,0.215888,0.376129,0.451500,-2.882605,1.169923,0.014065
18,1770207275579,0.200003,-115.7846,431.4225,-831.1346,0.699280,-0.148417,0.109184,0.690695,1.563337,-0.331807,0.244095,0.215883,0.376119,0.451513,-2.882581,1.169934,0.014034
19,1770207275590,0.211114,-115.7109,431.2836,-831.0524,0.699303,-0.148438,0.109202,0.690664,1.563406,-0.331857,0.244139,0.215870,0.376122,0.451522,-2.882576,1.169870,0.013995
20,1770207275601,0.222225,-115.7101,431.4930,-831.0268,0.699293,-0.148459,0.109172,0.690674,1.563378,-0.331903,0.244072,0.215890,0.376119,0.451513,-2.882588,1.169876,0.014084
21,1770207275612,0.233337,-115.6001,431.5174,-831.1300,0.699240,-0.148528,0.109167,0.690714,1.563236,-0.332052,0.244056,0.215885,0.376130,0.451505,-2.882630,1.169853,0.014023
22,1770207275623,0.244448,-115.5919,431.5373,-831.1484,0.699253,-0.148510,0.109180,0.690702,1.563273,-0.332014,0.244087,0.215885,0.376130,0.451505,-2.882640,1.169857,0.014030
23,1770207275634,0.255559,-115.6197,431.4576,-831.0809,0.699243,-0.148504,0.109145,0.690719,1.563240,-0.331998,0.244007,0.215872,0.376134,0.451517,-2.882659,1.169785,0.014064
24,1770207275645,0.266670,-115.6369,431.5597,-831.1000,0.699267,-0.148525,0.109144,0.690691,1.563311,-0.332048,0.244006,0.215888,0.376136,0.451503,-2.882645,1.169880,0.014079
25,1770207275656,0.277782,-115.6031,431.4905,-831.0237,0.699276,-0.148538,0.109098,0.690686,1.563335,-0.332079,0.243905,0.215880,0.376114,0.451517,-2.882570,1.169827,0.014021
26,1770207275667,0.288893,-115.6384,431.5047,-831.0062,0.699263,-0.148512,0.109109,0.690703,1.563293,-0.332018,0.243927,0.215885,0.376136,0.451497,-2.882657,1.169825,0.014113
27,1770207275679,0.300004,-115.6836,431.4842,-830.9805,0.699275,-0.148518,0.109068,0.690696,1.563325,-0.332033,0.243837,0.215890,0.376121,0.451514,-2.882598,1.169901,0.014015
28,1770207275690,0.311115,-115.6480,431.4227,-830.9523,0.699259,-0.148534,0.109095,0.690705,1.563284,-0.332068,0.243897,0.215885,0.376131,0.451500,-2.882641,1.169817,0.014081
29,1770207275701,0.322227,-115.6811,431.4141,-831.0875,0.699287,-0.148550,0.109061,0.690678,1.563362,-0.332107,0.243821,0.215884,0.376136,0.451502,-2.882654,1.169884,0.014044
30,1770207275712,0.333338,-115.7030,431.4138,-831.0964,0.699299,-0.148541,0.109051,0.690670,1.563395,-0.332088,0.243800,0.215882,0.376125,0.451514,-2.882608,1.169864,0.014033
31,1770207275723,0.344449,-115.8039,431.4097,-831.0407,0.699302,-0.148517,0.109053,0.690671,1.563402,-0.332032,0.243806,0.215873,0.376130,0.451508,-2.882609,1.169864,0.014034
32,1770207275734,0.355561,-115.8261,431.4741,-831.0722,0.699331,-0.148543,0.109036,0.690639,1.563485,-0.332095,0.243770,0.215877,0.376139,0.451508,-2.882646,1.169819,0.014065
33,1770207275745,0.366672,-115.7505,431.4132,-831.1219,0.699317,-0.148557,0.109052,0.690647,1.563450,-0.332126,0.243805,0.215880,0.376135,0.451505,-2.882659,1.169846,0.014079
34,1770207275756,0.377783,-115.6662,431.4353,-831.0983,0.699337,-0.148559,0.109074,0.690624,1.563507,-0.332134,0.243856,0.215884,0.376134,0.451499,-2.882636,1.169856,0.014047
35,1770207275767,0.388894,-115.7579,431.4053,-831.0411,0.699331,-0.148560,0.109145,0.690618,1.563499,-0.332136,0.244016,0.215886,0.376127,0.451505,-2.882611,1.169845,0.014050
36,1770207275779,0.400005,-115.7914,431.4713,-831.0491,0.699343,-0.148549,0.109076,0.690620,1.563523,-0.332112,0.243862,0.215899,0.376137,0.451500,-2.882650,1.169923,0.014051
37,1770207275790,0.411117,-115.7992,431.3692,-830.9928,0.699353,-0.148542,0.109126,0.690603,1.563555,-0.332098,0.243976,0.215885,0.376139,0.451496,-2.882655,1.169844,0.014097
38,1770207275801,0.422228,-115.7507,431.4780,-830.9681,0.699362,-0.148549,0.109000,0.690612,1.563572,-0.332113,0.243693,0.215891,0.376139,0.451497,-2.882672,1.169871,0.014093
39,1770207275812,0.433339,-115.7731,431.4919,-830.9467,0.699365,-0.148545,0.109006,0.690610,1.563578,-0.332104,0.243706,0.215884,0.376125,0.451510,-2.882601,1.169902,0.014058
40,1770207275823,0.444450,-115.7505,431.4407,-830.8857,0.699386,-0.148523,0.108986,0.690596,1.563634,-0.332056,0.243663,0.215888,0.376135,0.451498,-2.882648,1.169942,0.014035
41,1770207275834,0.455562,-115.7585,431.4389,-830.8606,0.699368,-0.148539,0.108991,0.690610,1.563584,-0.332090,0.243672,0.215880,0.376133,0.451501,-2.882638,1.169857,0.014090
42,1770207275845,0.466673,-115.7026,431.5330,-830.9229,0.699367,-0.148579,0.108976,0.690604,1.563588,-0.332181,0.243640,0.215881,0.376125,0.451510,-2.882596,1.169859,0.014085
43,1770207275856,0.477784,-115.6616,431.5089,-830.9619,0.699332,-0.148577,0.108943,0.690646,1.563483,-0.332171,0.243562,0.215895,0.376132,0.451499,-2.882640,1.169898,0.014120
44,1770207275867,0.488895,-115.6042,431.4637,-830.9297,0.699340,-0.148580,0.108991,0.690629,1.563512,-0.332179,0.243671,0.215885,0.376124,0.451512,-2.882597,1.169900,0.014075
45,1770207275879,0.500006,-115.5836,431.4633,-830.9954,0.699295,-0.148599,0.108983,0.690672,1.563384,-0.332217,0.243649,0.215888,0.376137,0.451499,-2.882642,1.169919,0.014087
46,1770207275890,0.511117,-115.5635,431.5983,-831.0978,0.699314,-0.148607,0.109037,0.690642,1.563446,-0.332239,0.243772,0.215893,0.376121,0.451509,-2.882568,1.169888,0.014095
47,1770207275901,0.522229,-115.5964,431.5763,-831.1496,0.699296,-0.148604,0.109012,0.690665,1.563391,-0.332229,0.243714,0.215882,0.376134,0.451504,-2.882633,1.169875,0.014030
48,1770207275912,0.533340,-115.5695,431.6009,-831.1624,0.699313,-0.148618,0.109007,0.690646,1.563440,-0.332263,0.243704,0.215883,0.376133,0.451503,-2.882650,1.169882,0.014062
49,1770207275923,0.544451,-115.6322,431.4507,-831.0448,0.699311,-0.148588,0.108986,0.690658,1.563428,-0.332195,0.243657,0.215898,0.376132,0.451499,-2.882644,1.169880,0.014078
50,1770207275934,0.555562,-115.6175,431.4660,-831.0278,0.699339,-0.148583,0.108972,0.690632,1.563508,-0.332187,0.243629,0.215882,0.376123,0.451511,-2.882601,1.169902,0.014058
51,1770207275945,0.566673,-115.6099,431.4227,-830.9265,0.699349,-0.148593,0.108915,0.690629,1.563531,-0.332208,0.243501,0.215885,0.376126,0.451506,-2.882624,1.169871,0.014064
52,1770207275956,0.577785,-115.5993,431.4178,-830.8995,0.699358,-0.148585,0.108933,0.690619,1.563557,-0.332192,0.243542,0.215890,0.376146,0.451494,-2.882687,1.169898,0.014108
53,1770207275967,0.588896,-115.5524,431.5338,-831.0604,0.699354,-0.148601,0.108929,0.690620,1.563549,-0.332228,0.243534,0.215875,0.376122,0.451517,-2.882588,1.169876,0.014044
54,1770207275979,0.600007,-115.5410,431.5282,-831.0593,0.699347,-0.148579,0.108930,0.690632,1.563525,-0.332176,0.243533,0.215868,0.376133,0.451506,-2.882628,1.169812,0.014094
55,1770207275990,0.611118,-115.5577,431.3401,-831.1013,0.699385,-0.148599,0.108902,0.690594,1.563632,-0.332226,0.243476,0.215894,0.376121,0.451506,-2.882610,1.169906,0.014064
56,1770207276001,0.622230,-115.6849,431.4545,-831.1077,0.699363,-0.148579,0.108978,0.690608,1.563577,-0.332180,0.243643,0.215892,0.376133,0.451497,-2.882645,1.169880,0.014079
57,1770207276012,0.633341,-115.6600,431.4089,-830.9865,0.699379,-0.148565,0.108961,0.690598,1.563617,-0.332149,0.243607,0.215882,0.376141,0.451503,-2.882644,1.169880,0.014038
