FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207242406,0,215.869,376.146,451.503,0.699254,-0.148307,0.109366,0.690715,1.563267,-0.331558,0.244501,0.215869,0.376146,0.451503,-2.882644,1.16992,0.014089
1,1770207242417,0.011112,215.869,376.146,451.503,0.699233,-0.148268,0.109416,0.690737,1.563207,-0.331469,0.24461,0.215869,0.376146,0.451503,-2.882644,1.16992,0.014089
2,1770207242428,0.022223,215.869,376.146,451.503,0.699258,-0.148247,0.109314,0.690733,1.563265,-0.331422,0.244382,0.215869,0.376146,0.451503,-2.882644,1.16992,0.014089
3,1770207242439,0.033334,215.867,376.147,451.5,0.699247,-0.148238,0.109283,0.690751,1.56323,-0.3314,0.244312,0.215867,0.376147,0.4515,-2.882633,1.169895,0.014117
4,1770207242450,0.044445,215.867,376.147,451.5,0.699226,-0.14825,0.109285,0.690769,1.563171,-0.331423,0.244314,0.215867,0.376147,0.4515,-2.882633,1.169895,0.014117
5,1770207242461,0.055557,215.867,376.147,451.5,0.699198,-0.148324,0.109281,0.690782,1.563102,-0.331587,0.244305,0.215867,0.376147,0.4515,-2.882633,1.169895,0.014117
6,1770207242472,0.066668,215.889,376.144,451.492,0.699239,-0.148307,0.10928,0.690745,1.563214,-0.331555,0.244306,0.215889,0.376144,0.451492,-2.882662,1.169928,0.014101
7,1770207242483,0.077779,215.889,376.144,451.492,0.699216,-0.148326,0.109235,0.690771,1.563147,-0.331593,0.244202,0.215889,0.376144,0.451492,-2.882662,1.169928,0.014101
8,1770207242494,0.08889,215.883,376.148,451.492,0.699234,-0.148362,0.109249,0.690742,1.563206,-0.331678,0.244236,0.215883,0.376148,0.451492,-2.882667,1.16993,0.014085
9,1770207242506,0.100002,215.883,376.148,451.492,0.699193,-0.148379,0.109244,0.690782,1.563089,-0.33171,0.244221,0.215883,0.376148,0.451492,-2.882667,1.16993,0.014085
10,1770207242517,0.111113,215.883,376.148,451.492,0.699195,-0.148345,0.109265,0.690783,1.563094,-0.331635,0.244268,0.215883,0.376148,0.451492,-2.882667,1.16993,0.014085
11,1770207242528,0.122224,215.873,376.14,451.5,0.699223,-0.148344,0.109231,0.69076,1.56317,-0.331634,0.244194,0.215873,0.37614,0.4515,-2.882625,1.169932,0.01404
12,1770207242539,0.133335,215.873,376.14,451.5,0.699228,-0.148338,0.10923,0.690757,1.563182,-0.331622,0.244193,0.215873,0.37614,0.4515,-2.882625,1.169932,0.01404
13,1770207242550,0.144447,215.873,376.14,451.5,0.699238,-0.148383,0.109161,0.690748,1.563211,-0.331723,0.244039,0.215873,0.37614,0.4515,-2.882625,1.169932,0.01404
14,1770207242561,0.155558,215.879,376.158,451.482,0.699213,-0.148389,0.109139,0.690776,1.563138,-0.331734,0.243988,0.215879,0.376158,0.451482,-2.882686,1.169979,0.014108
15,1770207242572,0.166669,215.879,376.158,451.482,0.699199,-0.148408,0.109148,0.690784,1.563103,-0.331774,0.244006,0.215879,0.376158,0.451482,-2.882686,1.169979,0.014108
16,1770207242583,0.17778,215.879,376.158,451.482,0.69919,-0.148401,0.109093,0.690804,1.563069,-0.331758,0.243883,0.215879,0.376158,0.451482,-2.882686,1.169979,0.014108
17,1770207242594,0.188891,215.877,376.141,451.498,0.699194,-0.148422,0.109109,0.690792,1.563086,-0.331804,0.243918,0.215877,0.376141,0.451498,-2.882647,1.169921,0.014071
18,1770207242606,0.200003,215.875,376.146,451.491,0.699181,-0.148411,0.109231,0.690789,1.563058,-0.331781,0.244192,0.215875,0.376146,0.451491,-2.88266,1.169926,0.014019
19,1770207242617,0.211114,215.872,376.134,451.505,0.699179,-0.148423,0.109239,0.690787,1.563054,-0.331808,0.244211,0.215872,0.376134,0.451505,-2.882589,1.169937,0.01406
20,1770207242628,0.222225,215.881,376.136,451.499,0.699188,-0.14839,0.109261,0.690781,1.56308,-0.331736,0.244261,0.215881,0.376136,0.451499,-2.882629,1.169954,0.014088
