FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207207127,0.000000,-115.7046,431.3934,-830.8865,0.699330,-0.148293,0.109254,0.690660,1.563469,-0.331534,0.244257,0.215858,0.376136,0.451516,-2.882641,1.169798,0.014119
1,1770207207138,0.011111,-115.5961,431.2743,-830.8839,0.699343,-0.148290,0.109284,0.690642,1.563510,-0.331531,0.244324,0.215879,0.376134,0.451503,-2.882622,1.169911,0.014073
2,1770207207149,0.022223,-115.5923,431.2503,-830.8793,0.699342,-0.148293,0.109265,0.690646,1.563505,-0.331536,0.244281,0.215870,0.376136,0.451507,-2.882648,1.169821,0.014107
3,1770207207160,0.033334,-115.6620,431.1597,-830.7593,0.699371,-0.148310,0.109282,0.690609,1.563594,-0.331578,0.244324,0.215853,0.376142,0.451510,-2.882650,1.169801,0.014085
4,1770207207171,0.044445,-115.6401,431.1862,-830.8648,0.699348,-0.148319,0.109273,0.690633,1.563526,-0.331596,0.244300,0.215863,0.376128,0.451517,-2.882611,1.169825,0.014087
5,1770207207182,0.055556,-115.6296,431.1697,-830.8546,0.699333,-0.148289,0.109281,0.690653,1.563482,-0.331526,0.244316,0.215875,0.376148,0.451499,-2.882709,1.169847,0.014150
6,1770207207193,0.066667,-115.6506,431.3767,-831.0098,0.699296,-0.148316,0.109293,0.690682,1.563381,-0.331581,0.244341,0.215874,0.376137,0.451508,-2.882654,1.169823,0.014132
7,1770207207204,0.077778,-115.6484,431.3832,-831.0303,0.699294,-0.148312,0.109287,0.690686,1.563375,-0.331573,0.244328,0.215867,0.376137,0.451504,-2.882631,1.169854,0.014126
8,1770207207215,0.088890,-115.6105,431.3185,-831.1931,0.699322,-0.148342,0.109221,0.690662,1.563452,-0.331643,0.244182,0.215866,0.376141,0.451508,-2.882667,1.169809,0.014157
9,1770207207227,0.100001,-115.6136,431.3158,-831.2340,0.699325,-0.148347,0.109211,0.690659,1.563460,-0.331655,0.244159,0.215866,0.376129,0.451506,-2.882607,1.169823,0.014104
10,1770207207238,0.111112,-115.7202,431.4157,-831.1889,0.699338,-0.148358,0.109237,0.690640,1.563499,-0.331681,0.244221,0.215868,0.376140,0.451502,-2.882642,1.169899,0.014123
11,1770207207249,0.122224,-115.7694,431.4756,-831.0834,0.699342,-0.148348,0.109224,0.690641,1.563508,-0.331660,0.244191,0.215870,0.376145,0.451502,-2.882693,1.169840,0.014119
12,1770207207260,0.133335,-115.7261,431.4579,-831.0859,0.699348,-0.148359,0.109230,0.690631,1.563528,-0.331686,0.244205,0.215887,0.376143,0.451498,-2.882671,1.169932,0.014168
13,1770207207271,0.144446,-115.7984,431.4492,-830.9492,0.699395,-0.148379,0.109111,0.690598,1.563653,-0.331735,0.243943,0.215892,0.376139,0.451502,-2.882663,1.169909,0.014177
14,1770207207282,0.155557,-115.8221,431.4493,-830.9373,0.699407,-0.148382,0.109109,0.690585,1.563689,-0.331742,0.243939,0.215888,0.376152,0.451488,-2.882715,1.169930,0.014113
15,1770207207293,0.166669,-115.8156,431.4341,-830.8533,0.699433,-0.148367,0.109118,0.690561,1.563761,-0.331712,0.243961,0.215878,0.376138,0.451507,-2.882646,1.169901,0.014105
16,1770207207304,0.177780,-115.8369,431.4275,-830.8254,0.699442,-0.148351,0.109112,0.690556,1.563785,-0.331677,0.243947,0.215871,0.376144,0.451502,-2.882675,1.169873,0.014137
17,1770207207315,0.188891,-115.8125,431.4970,-830.9640,0.699425,-0.148378,0.109107,0.690569,1.563738,-0.331737,0.243936,0.215869,0.376147,0.451492,-2.882712,1.169767,0.014153
18,1770207207327,0.200002,-115.8108,431.3047,-831.0407,0.699427,-0.148352,0.109011,0.690587,1.563732,-0.331676,0.243721,0.215873,0.376152,0.451495,-2.882699,1.169843,0.014144
19,1770207207338,0.211113,-115.6725,431.2073,-831.0370,0.699409,-0.148375,0.109081,0.690590,1.563689,-0.331726,0.243876,0.215871,0.376131,0.451510,-2.882615,1.169887,0.014084
20,1770207207349,0.222224,-115.6346,431.2179,-831.0825,0.699441,-0.148377,0.109054,0.690560,1.563780,-0.331734,0.243817,0.215866,0.376146,0.451506,-2.882679,1.169835,0.014130
21,1770207207360,0.233336,-115.6816,431.2166,-831.1031,0.699397,-0.148366,0.109122,0.690597,1.563657,-0.331704,0.243965,0.215865,0.376144,0.451504,-2.882675,1.169812,0.014122
22,1770207207371,0.244447,-115.6296,431.2531,-831.0454,0.699417,-0.148378,0.109102,0.690577,1.563716,-0.331735,0.243924,0.215863,0.376136,0.451506,-2.882639,1.169877,0.014116
23,1770207207382,0.255558,-115.6597,431.3974,-831.1022,0.699389,-0.148423,0.109074,0.690601,1.563637,-0.331832,0.243860,0.215881,0.376137,0.451497,-2.882637,1.169897,0.014140
24,1770207207393,0.266670,-115.7586,431.5341,-831.1058,0.699373,-0.148350,0.109151,0.690620,1.563590,-0.331667,0.244029,0.215877,0.376149,0.451496,-2.882692,1.169900,0.014092
25,1770207207404,0.277781,-115.8065,431.4243,-831.0432,0.699419,-0.148368,0.109113,0.690576,1.563720,-0.331713,0.243948,0.215860,0.376135,0.451511,-2.882656,1.169783,0.014083
26,1770207207415,0.288892,-115.8354,431.4585,-831.1087,0.699390,-0.148388,0.109165,0.690592,1.563646,-0.331756,0.244064,0.215877,0.376150,0.451488,-2.882706,1.169886,0.014158
