FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207167085,0.000000,-115.8064,431.0623,-830.8524,0.699272,-0.148326,0.109222,0.690716,1.563307,-0.331600,0.244179,0.215902,0.376130,0.451501,-2.882639,1.169918,0.014144
1,1770207167096,0.011111,-115.8026,430.8792,-830.9257,0.699226,-0.148335,0.109219,0.690761,1.563177,-0.331614,0.244169,0.215898,0.376116,0.451515,-2.882570,1.169930,0.014127
2,1770207167107,0.022223,-115.7393,431.1697,-830.9366,0.699226,-0.148347,0.109257,0.690753,1.563180,-0.331642,0.244253,0.215909,0.376116,0.451519,-2.882567,1.169948,0.014108
3,1770207167118,0.033334,-115.7257,431.0998,-830.8239,0.699233,-0.148385,0.109229,0.690742,1.563203,-0.331729,0.244192,0.215897,0.376103,0.451531,-2.882519,1.169948,0.014080
4,1770207167129,0.044445,-115.6378,431.0991,-830.7202,0.699236,-0.148347,0.109296,0.690737,1.563213,-0.331644,0.244342,0.215899,0.376117,0.451514,-2.882593,1.169899,0.014133
5,1770207167140,0.055557,-115.6891,431.0662,-830.9081,0.699253,-0.148361,0.109276,0.690719,1.563263,-0.331679,0.244300,0.215906,0.376111,0.451511,-2.882567,1.169928,0.014185
6,1770207167151,0.066668,-115.7524,431.1072,-830.8982,0.699241,-0.148351,0.109315,0.690728,1.563229,-0.331654,0.244386,0.215911,0.376118,0.451504,-2.882601,1.169983,0.014137
7,1770207167162,0.077779,-115.7946,431.1788,-830.8641,0.699311,-0.148319,0.109308,0.690665,1.563424,-0.331592,0.244376,0.215885,0.376110,0.451527,-2.882550,1.169921,0.014113
8,1770207167173,0.088891,-115.6907,431.2664,-830.9280,0.699281,-0.148331,0.109317,0.690691,1.563342,-0.331615,0.244395,0.215895,0.376121,0.451516,-2.882604,1.169904,0.014140
9,1770207167185,0.100002,-115.7442,431.2975,-830.9435,0.699290,-0.148350,0.109334,0.690675,1.563372,-0.331660,0.244432,0.215903,0.376122,0.451510,-2.882604,1.169964,0.014155
10,1770207167196,0.111113,-115.6178,431.1949,-830.9015,0.699299,-0.148391,0.109303,0.690662,1.563401,-0.331753,0.244365,0.215898,0.376119,0.451516,-2.882585,1.169997,0.014131
11,1770207167207,0.122224,-115.6803,431.2239,-830.9014,0.699283,-0.148393,0.109332,0.690673,1.563357,-0.331755,0.244428,0.215909,0.376123,0.451511,-2.882608,1.169926,0.014189
12,1770207167218,0.133336,-115.6486,431.0868,-830.9172,0.699268,-0.148400,0.109356,0.690683,1.563317,-0.331771,0.244482,0.215904,0.376125,0.451505,-2.882599,1.169983,0.014198
13,1770207167229,0.144447,-115.6165,431.0380,-830.9241,0.699269,-0.148400,0.109374,0.690679,1.563322,-0.331772,0.244523,0.215884,0.376110,0.451528,-2.882516,1.169947,0.014099
14,1770207167240,0.155558,-115.6923,430.9949,-830.8935,0.699297,-0.148438,0.109353,0.690646,1.563405,-0.331861,0.244479,0.215909,0.376136,0.451503,-2.882641,1.169980,0.014100
15,1770207167251,0.166669,-115.7152,430.9979,-830.8843,0.699292,-0.148411,0.109393,0.690651,1.563391,-0.331800,0.244566,0.215902,0.376121,0.451508,-2.882607,1.169925,0.014148
16,1770207167262,0.177781,-115.7371,430.9523,-830.9058,0.699304,-0.148423,0.109337,0.690644,1.563422,-0.331826,0.244443,0.215905,0.376124,0.451515,-2.882611,1.169947,0.014155
17,1770207167273,0.188892,-115.6751,431.1039,-830.8654,0.699315,-0.148413,0.109334,0.690636,1.563451,-0.331804,0.244438,0.215902,0.376121,0.451508,-2.882594,1.169960,0.014148
18,1770207167285,0.200003,-115.6827,431.0941,-830.8630,0.699304,-0.148399,0.109322,0.690652,1.563416,-0.331771,0.244408,0.215904,0.376118,0.451509,-2.882598,1.169962,0.014130
19,1770207167296,0.211114,-115.7025,431.1402,-830.9996,0.699329,-0.148380,0.109351,0.690627,1.563488,-0.331732,0.244477,0.215900,0.376119,0.451507,-2.882580,1.169934,0.014134
20,1770207167307,0.222225,-115.7299,431.1544,-831.0143,0.699326,-0.148341,0.109425,0.690626,1.563483,-0.331646,0.244640,0.215899,0.376127,0.451509,-2.882600,1.169922,0.014184
21,1770207167318,0.233337,-115.7395,431.1992,-830.9390,0.699374,-0.148377,0.109377,0.690577,1.563619,-0.331733,0.244538,0.215909,0.376118,0.451511,-2.882573,1.169971,0.014158
22,1770207167329,0.244448,-115.7126,431.2266,-830.9464,0.699358,-0.148372,0.109424,0.690587,1.563577,-0.331721,0.244643,0.215913,0.376120,0.451503,-2.882597,1.169961,0.014130
23,1770207167340,0.255559,-115.6726,431.1505,-831.0149,0.699386,-0.148441,0.109357,0.690554,1.563661,-0.331879,0.244497,0.215889,0.376107,0.451529,-2.882525,1.169930,0.014039
24,1770207167351,0.266670,-115.6761,431.1624,-831.0148,0.699405,-0.148425,0.109350,0.690540,1.563710,-0.331844,0.244482,0.215904,0.376129,0.451504,-2.882618,1.169930,0.014155
25,1770207167362,0.277782,-115.7940,431.2568,-830.9229,0.699413,-0.148395,0.109372,0.690535,1.563732,-0.331778,0.244532,0.215911,0.376117,0.451508,-2.882581,1.169974,0.014123
26,1770207167373,0.288893,-115.7976,431.2869,-830.9091,0.699391,-0.148427,0.109385,0.690548,1.563676,-0.331849,0.244558,0.215907,0.376119,0.451508,-2.882597,1.169921,0.014140
27,1770207167385,0.300004,-115.6892,431.3468,-830.7833,0.699361,-0.148397,0.109349,0.690590,1.563583,-0.331774,0.244475,0.215917,0.376126,0.451499,-2.882635,1.169937,0.014126
