FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770207134984,0.000000,-115.5924,431.3837,-831.1454,0.699341,-0.148170,0.109360,0.690658,1.563495,-0.331258,0.244493,0.215875,0.376137,0.451509,-2.882652,1.169802,0.014065
1,1770207134999,0.015794,-115.5831,431.3998,-831.1690,0.699346,-0.148216,0.109338,0.690646,1.563515,-0.331363,0.244445,0.215862,0.376143,0.451510,-2.882669,1.169789,0.014032
2,1770207135010,0.026905,-115.5305,431.4353,-831.0839,0.699339,-0.148234,0.109294,0.690657,1.563492,-0.331401,0.244346,0.215865,0.376125,0.451524,-2.882604,1.169761,0.014047
3,1770207135022,0.038016,-115.5152,431.4427,-831.0934,0.699333,-0.148225,0.109305,0.690663,1.563474,-0.331381,0.244370,0.215876,0.376143,0.451506,-2.882685,1.169836,0.014052
4,1770207135033,0.049128,-115.5631,431.4871,-831.1347,0.699321,-0.148229,0.109345,0.690668,1.563444,-0.331390,0.244459,0.215878,0.376131,0.451505,-2.882614,1.169826,0.014068
5,1770207135044,0.060239,-115.6043,431.5721,-831.0286,0.699303,-0.148202,0.109426,0.690679,1.563398,-0.331328,0.244638,0.215881,0.376129,0.451508,-2.882628,1.169832,0.014057
6,1770207135055,0.071350,-115.6828,431.4485,-830.9480,0.699322,-0.148201,0.109376,0.690668,1.563447,-0.331326,0.244527,0.215881,0.376141,0.451500,-2.882648,1.169800,0.014083
7,1770207135066,0.082461,-115.7274,431.3686,-830.8817,0.699342,-0.148189,0.109323,0.690659,1.563497,-0.331302,0.244410,0.215870,0.376125,0.451514,-2.882605,1.169802,0.014036
8,1770207135077,0.093573,-115.7377,431.3564,-830.8624,0.699375,-0.148173,0.109342,0.690626,1.563592,-0.331270,0.244455,0.215871,0.376141,0.451509,-2.882649,1.169780,0.014058
9,1770207135088,0.104684,-115.8424,431.4362,-831.0366,0.699352,-0.148186,0.109347,0.690645,1.563529,-0.331297,0.244465,0.215874,0.376129,0.451511,-2.882638,1.169776,0.014050
