FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770131933416,0,332.467,117.578,505.286,0.621884,-0.371193,0.397992,0.563098,1.463922,-0.873793,0.936878,0.332467,0.117578,0.505286,-2.210713,2.155582,-0.134579
1,1770131933427,0.011111,332.467,117.578,505.286,0.621868,-0.371198,0.397998,0.563108,1.463878,-0.873801,0.936888,0.332467,0.117578,0.505286,-2.210713,2.155582,-0.134579
2,1770131933438,0.022222,332.467,117.578,505.286,0.621879,-0.371202,0.398025,0.563074,1.463925,-0.873822,0.936966,0.332467,0.117578,0.505286,-2.210713,2.155582,-0.134579
3,1770131933449,0.033334,332.468,117.585,505.278,0.621871,-0.371201,0.398041,0.563073,1.463907,-0.873821,0.937003,0.332468,0.117585,0.505278,-2.21075,2.155567,-0.134605
4,1770131933460,0.044445,332.468,117.585,505.278,0.621848,-0.371238,0.398033,0.563079,1.46385,-0.873906,0.936981,0.332468,0.117585,0.505278,-2.21075,2.155567,-0.134605
5,1770131933471,0.055556,332.468,117.585,505.278,0.62186,-0.371218,0.398043,0.563071,1.463884,-0.873863,0.937008,0.332468,0.117585,0.505278,-2.21075,2.155567,-0.134605
6,1770131933482,0.066667,332.46,117.592,505.291,0.62187,-0.371195,0.398052,0.563069,1.463909,-0.873808,0.93703,0.33246,0.117592,0.505291,-2.210739,2.15556,-0.134669
7,1770131933493,0.077779,332.46,117.592,505.291,0.621881,-0.371195,0.39805,0.563058,1.46394,-0.873812,0.93703,0.33246,0.117592,0.505291,-2.210739,2.15556,-0.134669
8,1770131933504,0.08889,332.46,117.592,505.291,0.621902,-0.371179,0.398022,0.563066,1.463984,-0.873772,0.936963,0.33246,0.117592,0.505291,-2.210739,2.15556,-0.134669
9,1770131933516,0.100001,332.444,117.577,505.308,0.621914,-0.371184,0.398022,0.563048,1.464024,-0.873791,0.93697,0.332444,0.117577,0.505308,-2.210674,2.155519,-0.13468
10,1770131933527,0.111112,332.444,117.577,505.308,0.621938,-0.371143,0.397985,0.563076,1.464062,-0.873684,0.93687,0.332444,0.117577,0.505308,-2.210674,2.155519,-0.13468
11,1770131933538,0.122224,332.444,117.577,505.308,0.621921,-0.37118,0.397929,0.56311,1.464001,-0.873759,0.936725,0.332444,0.117577,0.505308,-2.210674,2.155519,-0.13468
12,1770131933549,0.133335,332.441,117.59,505.303,0.62191,-0.371182,0.397935,0.563116,1.463973,-0.873761,0.936736,0.332441,0.11759,0.505303,-2.210714,2.15551,-0.13472
13,1770131933560,0.144446,332.441,117.59,505.303,0.621939,-0.371232,0.397905,0.563072,1.464069,-0.873894,0.936683,0.332441,0.11759,0.505303,-2.210714,2.15551,-0.13472
14,1770131933571,0.155557,332.462,117.576,505.283,0.621945,-0.37123,0.397902,0.563069,1.464085,-0.873891,0.936678,0.332462,0.117576,0.505283,-2.210702,2.15557,-0.134577
15,1770131933582,0.166701,332.462,117.576,505.283,0.621932,-0.371233,0.397871,0.563103,1.464032,-0.873886,0.936592,0.332462,0.117576,0.505283,-2.210702,2.15557,-0.134577
16,1770131933593,0.177812,332.453,117.581,505.307,0.621956,-0.37123,0.397865,0.563083,1.464102,-0.873885,0.936586,0.332453,0.117581,0.505307,-2.210684,2.155532,-0.134707
17,1770131933604,0.188923,332.45,117.582,505.303,0.621956,-0.371244,0.397885,0.56306,1.464116,-0.873927,0.936642,0.33245,0.117582,0.505303,-2.210719,2.155511,-0.134643
18,1770131933616,0.200035,332.443,117.588,505.311,0.621954,-0.371227,0.397878,0.563078,1.4641,-0.87388,0.936619,0.332443,0.117588,0.505311,-2.210715,2.155485,-0.13472
19,1770131933627,0.211146,332.453,117.583,505.301,0.621955,-0.371258,0.397889,0.563049,1.46412,-0.873963,0.936654,0.332453,0.117583,0.505301,-2.210675,2.155493,-0.134652
20,1770131933638,0.222257,332.451,117.577,505.299,0.62198,-0.371291,0.397869,0.563013,1.464202,-0.874056,0.936623,0.332451,0.117577,0.505299,-2.210711,2.155531,-0.134684
21,1770131933649,0.233368,332.452,117.583,505.291,0.621949,-0.37128,0.397856,0.563064,1.464097,-0.874011,0.936572,0.332452,0.117583,0.505291,-2.210711,2.155556,-0.134629
22,1770131933660,0.24448,332.448,117.582,505.299,0.621875,-0.371349,0.397812,0.563132,1.463882,-0.874148,0.93644,0.332448,0.117582,0.505299,-2.210699,2.155518,-0.134655
23,1770131933671,0.255591,332.441,117.582,505.31,0.62194,-0.371302,0.397782,0.563112,1.464045,-0.874045,0.936379,0.332441,0.117582,0.50531,-2.210636,2.155564,-0.134744
24,1770131933682,0.266702,332.461,117.583,505.292,0.621924,-0.371301,0.397785,0.563128,1.463999,-0.874036,0.936379,0.332461,0.117583,0.505292,-2.210728,2.155492,-0.134602
25,1770131933693,0.277814,332.444,117.586,505.305,0.621938,-0.371298,0.397792,0.56311,1.464043,-0.874036,0.936403,0.332444,0.117586,0.505305,-2.210747,2.155491,-0.134709
26,1770131933704,0.288925,332.459,117.577,505.29,0.621951,-0.371306,0.397788,0.563092,1.464085,-0.874062,0.936401,0.332459,0.117577,0.50529,-2.210685,2.155583,-0.134656
27,1770131933716,0.300036,332.445,117.585,505.302,0.621968,-0.371319,0.397785,0.563069,1.464138,-0.8741,0.936401,0.332445,0.117585,0.505302,-2.210705,2.155498,-0.134667
28,1770131933727,0.311147,332.441,117.587,505.307,0.621956,-0.371343,0.397812,0.563047,1.464123,-0.874166,0.936474,0.332441,0.117587,0.505307,-2.21069,2.155486,-0.134718
29,1770131933738,0.322259,332.451,117.575,505.298,0.621953,-0.371304,0.397846,0.563051,1.464114,-0.874072,0.936553,0.332451,0.117575,0.505298,-2.210696,2.155513,-0.134616
30,1770131933749,0.33337,332.447,117.574,505.31,0.621906,-0.371339,0.397875,0.56306,1.463997,-0.874151,0.936618,0.332447,0.117574,0.50531,-2.210602,2.155554,-0.134717
31,1770131933760,0.344481,332.457,117.577,505.3,0.621903,-0.371334,0.397867,0.563072,1.463984,-0.874134,0.936594,0.332457,0.117577,0.5053,-2.210724,2.155518,-0.134684
32,1770131933771,0.355592,332.455,117.574,505.293,0.621905,-0.371337,0.397879,0.563059,1.463997,-0.874147,0.936628,0.332455,0.117574,0.505293,-2.210668,2.15559,-0.134616
33,1770131933782,0.366704,332.447,117.578,505.309,0.62194,-0.371306,0.397923,0.56301,1.46411,-0.874091,0.936751,0.332447,0.117578,0.505309,-2.210683,2.155532,-0.134734
34,1770131933793,0.377815,332.451,117.585,505.301,0.621904,-0.371263,0.397984,0.563035,1.464008,-0.87398,0.936884,0.332451,0.117585,0.505301,-2.210719,2.155542,-0.134736
35,1770131933804,0.388927,332.453,117.583,505.3,0.621948,-0.371233,0.398015,0.562984,1.464143,-0.87393,0.936978,0.332453,0.117583,0.5053,-2.210737,2.155504,-0.134657
36,1770131933816,0.400038,332.441,117.581,505.309,0.621972,-0.37124,0.397965,0.562988,1.464198,-0.873944,0.936857,0.332441,0.117581,0.505309,-2.210666,2.155513,-0.134692
37,1770131933827,0.411149,332.45,117.579,505.306,0.622046,-0.371184,0.397977,0.562935,1.464404,-0.873831,0.936908,0.33245,0.117579,0.505306,-2.210718,2.155511,-0.13467
38,1770131933838,0.422261,332.449,117.581,505.302,0.622041,-0.371182,0.397971,0.562946,1.464386,-0.873823,0.93689,0.332449,0.117581,0.505302,-2.210697,2.155518,-0.134708
39,1770131933849,0.433372,332.438,117.589,505.309,0.622038,-0.371157,0.398002,0.562943,1.464381,-0.873766,0.936963,0.332438,0.117589,0.505309,-2.210718,2.155459,-0.134692
40,1770131933860,0.444483,332.46,117.574,505.296,0.622017,-0.371159,0.39798,0.562981,1.464309,-0.873756,0.936896,0.33246,0.117574,0.505296,-2.210697,2.15557,-0.134684
41,1770131933871,0.455594,332.449,117.575,505.31,0.622018,-0.371154,0.397999,0.562971,1.464316,-0.873747,0.936944,0.332449,0.117575,0.50531,-2.210683,2.1555,-0.134641
42,1770131933882,0.466705,332.455,117.58,505.293,0.62199,-0.371161,0.397961,0.563024,1.464218,-0.873745,0.936835,0.332455,0.11758,0.505293,-2.210714,2.15553,-0.134603
43,1770131933893,0.477817,332.462,117.582,505.297,0.621968,-0.371128,0.397994,0.563046,1.464153,-0.87366,0.936903,0.332462,0.117582,0.505297,-2.210719,2.155536,-0.134617
44,1770131933904,0.488928,332.438,117.575,505.314,0.622,-0.3711,0.397974,0.563043,1.46423,-0.873594,0.936858,0.332438,0.117575,0.505314,-2.210633,2.155533,-0.134732
45,1770131933916,0.500039,332.438,117.571,505.315,0.621988,-0.371115,0.397973,0.563047,1.4642,-0.873628,0.936855,0.332438,0.117571,0.505315,-2.210666,2.155488,-0.134748
46,1770131933927,0.51115,332.439,117.586,505.304,0.621991,-0.371091,0.397986,0.563051,1.464203,-0.873569,0.936883,0.332439,0.117586,0.505304,-2.21074,2.155484,-0.134723
47,1770131933938,0.522262,332.44,117.587,505.312,0.621981,-0.371096,0.397984,0.56306,1.464174,-0.873578,0.936875,0.33244,0.117587,0.505312,-2.210723,2.155466,-0.134707
48,1770131933949,0.533373,332.454,117.582,505.3,0.621967,-0.371081,0.397957,0.563105,1.464113,-0.873526,0.936794,0.332454,0.117582,0.5053,-2.210726,2.155492,-0.134656
49,1770131933960,0.544484,332.448,117.587,505.296,0.62196,-0.371078,0.397968,0.563106,1.464097,-0.873518,0.936818,0.332448,0.117587,0.505296,-2.21072,2.155542,-0.134709
50,1770131933971,0.555596,332.45,117.587,505.301,0.621952,-0.371052,0.397956,0.56314,1.464058,-0.873446,0.936776,0.33245,0.117587,0.505301,-2.210739,2.15551,-0.134722
51,1770131933982,0.566707,332.461,117.578,505.291,0.621995,-0.371051,0.397964,0.563088,1.464191,-0.873463,0.936815,0.332461,0.117578,0.505291,-2.210713,2.155556,-0.134604
52,1770131933993,0.577818,332.447,117.578,505.308,0.621968,-0.371067,0.397972,0.563102,1.464119,-0.873495,0.936831,0.332447,0.117578,0.505308,-2.21066,2.155532,-0.13468
53,1770131934004,0.588929,332.453,117.578,505.303,0.621941,-0.371067,0.397975,0.56313,1.464038,-0.873484,0.936826,0.332453,0.117578,0.505303,-2.210739,2.155479,-0.134658
54,1770131934016,0.600041,332.457,117.574,505.291,0.621957,-0.371057,0.397965,0.563125,1.464077,-0.873463,0.936804,0.332457,0.117574,0.505291,-2.210674,2.15557,-0.13463
55,1770131934027,0.611152,332.451,117.58,505.295,0.621963,-0.3711,0.397937,0.56311,1.464102,-0.873571,0.936744,0.332451,0.11758,0.505295,-2.210704,2.15555,-0.134669
