FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769521641370,0,-0.442151,-0.183047,0.186901,0.699922,0.290098,-0.267625,0.595256,1.625754,0.673828,-0.621628,-0.383387,0.096886,0.181395,2.034432,-2.359628,0.136105
1,1769521641381,0.011112,-0.442118,-0.182907,0.186895,0.699949,0.290078,-0.267633,0.59523,1.625833,0.67379,-0.621654,-0.383384,0.09689,0.181375,2.034474,-2.359628,0.136171
2,1769521641392,0.022223,-0.442065,-0.182654,0.186906,0.699922,0.290062,-0.267631,0.59527,1.625745,0.673742,-0.62164,-0.383386,0.096894,0.181395,2.034445,-2.35965,0.136094
3,1769521641403,0.033334,-0.442016,-0.182522,0.18687,0.699912,0.290046,-0.267653,0.595281,1.625713,0.673701,-0.621689,-0.383389,0.096894,0.181402,2.034474,-2.359625,0.136042
4,1769521641414,0.044446,-0.441995,-0.182387,0.186897,0.699874,0.290103,-0.267651,0.595298,1.625613,0.673829,-0.621678,-0.38339,0.096897,0.181391,2.034445,-2.359651,0.136094
5,1769521641425,0.055557,-0.441928,-0.182129,0.186861,0.699902,0.290098,-0.267622,0.59528,1.625691,0.673822,-0.621617,-0.383389,0.096888,0.181384,2.034474,-2.359621,0.136143
6,1769521641436,0.066668,-0.441882,-0.182,0.186877,0.699894,0.290119,-0.26763,0.595276,1.625674,0.673872,-0.621636,-0.383393,0.096887,0.181392,2.034417,-2.35962,0.136134
7,1769521641447,0.07778,-0.441822,-0.181722,0.186851,0.699909,0.290128,-0.267645,0.595248,1.625728,0.673901,-0.621677,-0.383386,0.096881,0.181366,2.034433,-2.359617,0.136236
8,1769521641458,0.088891,-0.441808,-0.18155,0.186838,0.699888,0.290171,-0.267658,0.595245,1.625681,0.674002,-0.621709,-0.383379,0.096899,0.18138,2.034373,-2.359685,0.136204
9,1769521641470,0.100002,-0.44177,-0.181424,0.186819,0.699901,0.29015,-0.267646,0.595246,1.625711,0.673952,-0.621682,-0.383381,0.096895,0.18137,2.034387,-2.359674,0.136242
10,1769521641481,0.111113,-0.441687,-0.181136,0.186765,0.699964,0.290131,-0.267606,0.595199,1.625889,0.673921,-0.6216,-0.383384,0.096878,0.181379,2.034461,-2.359614,0.136209
11,1769521641492,0.122225,-0.441648,-0.181026,0.186737,0.699921,0.290175,-0.267605,0.595228,1.62577,0.674016,-0.62159,-0.383385,0.096868,0.181364,2.034489,-2.35959,0.136209
12,1769521641503,0.133336,-0.441564,-0.180696,0.18667,0.699913,0.290182,-0.26757,0.59525,1.625737,0.674026,-0.621503,-0.383381,0.096892,0.181371,2.034429,-2.359672,0.136194
13,1769521641514,0.144447,-0.441533,-0.180548,0.186667,0.699901,0.290172,-0.267572,0.595268,1.625696,0.673997,-0.621504,-0.383384,0.096876,0.181384,2.034433,-2.359602,0.136219
14,1769521641525,0.155558,-0.441493,-0.180362,0.186651,0.699905,0.290201,-0.267554,0.595258,1.625712,0.674068,-0.621464,-0.383386,0.096889,0.181388,2.034431,-2.359643,0.136141
15,1769521641536,0.166669,-0.441409,-0.180037,0.186635,0.699905,0.290192,-0.267543,0.595266,1.625708,0.674045,-0.621437,-0.383382,0.096895,0.181393,2.034416,-2.359667,0.136102
16,1769521641547,0.177781,-0.44137,-0.179874,0.186634,0.69992,0.290178,-0.267528,0.595263,1.625744,0.674013,-0.621402,-0.383386,0.096887,0.181387,2.034475,-2.359613,0.136135
17,1769521641558,0.188892,-0.441329,-0.179706,0.186624,0.699911,0.290219,-0.267532,0.595251,1.625731,0.674111,-0.621414,-0.383386,0.096897,0.181383,2.034476,-2.359612,0.136119
18,1769521641570,0.200003,-0.441265,-0.179372,0.186576,0.699884,0.290217,-0.267549,0.595276,1.625652,0.6741,-0.621448,-0.383387,0.096892,0.181398,2.034474,-2.359625,0.13606
19,1769521641581,0.211114,-0.441216,-0.179213,0.186566,0.699891,0.290227,-0.267544,0.595266,1.625675,0.674126,-0.621439,-0.383378,0.09689,0.181364,2.034413,-2.3597,0.136246
20,1769521641592,0.222225,-0.441145,-0.178925,0.186558,0.69991,0.290246,-0.267534,0.595238,1.625737,0.674177,-0.621423,-0.383385,0.096891,0.181385,2.034389,-2.359644,0.13617
21,1769521641603,0.233337,-0.44109,-0.178775,0.186543,0.699885,0.290253,-0.267539,0.595262,1.625664,0.674188,-0.621427,-0.383385,0.096881,0.181385,2.034473,-2.359628,0.13615
