FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769516037409,0.000001,9.3408,450.3757,-271.9246,0.679987,0.272487,-0.236888,0.638163,1.552135,0.621978,-0.54072,-0.444174,-0.192243,0.187481,1.91634,-2.39425,0.0079
1,1769516037420,0.011112,9.3451,450.3632,-271.9189,0.67998,0.272488,-0.236892,0.638169,1.552115,0.621978,-0.540728,-0.444176,-0.192252,0.187474,1.916304,-2.394263,0.007942
2,1769516037431,0.022224,9.3893,450.3677,-271.9225,0.679987,0.272479,-0.236921,0.638154,1.552141,0.621962,-0.540796,-0.44416,-0.192238,0.187445,1.916357,-2.394338,0.007963
3,1769516037442,0.033335,9.4018,450.3546,-271.9131,0.679987,0.272464,-0.236901,0.638168,1.552132,0.621924,-0.540749,-0.444163,-0.192255,0.187466,1.916337,-2.394269,0.00799
4,1769516037453,0.044446,9.4624,450.3994,-271.8775,0.679978,0.272503,-0.236937,0.638148,1.552124,0.622017,-0.540835,-0.444163,-0.192255,0.187466,1.916337,-2.394269,0.00799
5,1769516037464,0.055557,9.5036,450.4185,-271.8588,0.680015,0.272481,-0.236951,0.638113,1.552229,0.621976,-0.540873,-0.444175,-0.192233,0.187463,1.91631,-2.394325,0.00792
6,1769516037475,0.066668,9.5239,450.4309,-271.8368,0.680004,0.272482,-0.236941,0.638128,1.552195,0.621974,-0.540848,-0.444168,-0.192252,0.187451,1.916373,-2.394298,0.00795
7,1769516037486,0.077779,9.5084,450.4942,-271.868,0.679957,0.27248,-0.236948,0.638177,1.552057,0.621957,-0.540852,-0.444168,-0.192252,0.187451,1.916373,-2.394298,0.00795
8,1769516037497,0.088891,9.4863,450.4589,-271.9162,0.679926,0.272466,-0.236943,0.638218,1.551961,0.621916,-0.540833,-0.444172,-0.192241,0.187457,1.916338,-2.394312,0.007941
9,1769516037509,0.100002,9.3976,450.4457,-271.9692,0.679915,0.27252,-0.236925,0.638212,1.551941,0.62204,-0.540793,-0.44417,-0.192251,0.187465,1.916324,-2.39429,0.007964
