FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1774596694702,5.611252,644.471794,287.995332,-652.689475,0.227669,0.669677,-0.67444,0.211731,0.632437,1.860284,-1.873516,0.278869,-0.171195,0.466761,-2.187955,-2.15845,-0.017275
1,1774596694713,5.622364,644.616956,287.987772,-652.879320,0.22763,0.669721,-0.674408,0.211737,0.632327,1.860399,-1.873419,0.279333,-0.171196,0.466756,-2.187973,-2.158496,-0.01729
2,1774596694724,5.633475,644.802655,287.978837,-653.122922,0.22777,0.669577,-0.674539,0.211622,0.632756,1.860114,-1.873898,0.279846,-0.171197,0.466749,-2.187938,-2.15843,-0.017266
3,1774596694735,5.644587,645.023317,287.970624,-653.416268,0.227741,0.669628,-0.674501,0.211616,0.632675,1.860262,-1.873798,0.280865,-0.171197,0.466726,-2.187873,-2.158384,-0.017243
4,1774596694746,5.655698,645.286349,287.963734,-653.769539,0.227777,0.669529,-0.674572,0.211664,0.63276,1.859938,-1.873947,0.281391,-0.171202,0.466728,-2.187892,-2.158323,-0.017196
5,1774596694757,5.666809,645.569256,287.959792,-654.154546,0.227668,0.669653,-0.674492,0.211645,0.632465,1.860301,-1.873744,0.281921,-0.171192,0.466731,-2.187929,-2.158336,-0.017194
6,1774596694768,5.67792,645.834275,287.959033,-654.519953,0.227682,0.669522,-0.674643,0.211563,0.632529,1.860018,-1.874244,0.283047,-0.171196,0.466699,-2.187696,-2.158352,-0.017108
7,1774596694780,5.689031,646.265575,287.962600,-655.123547,0.227633,0.669588,-0.674546,0.211713,0.632344,1.860055,-1.873826,0.283628,-0.171193,0.466698,-2.187689,-2.158397,-0.017095
8,1774596694791,5.700142,646.579499,287.968147,-655.568850,0.227742,0.669488,-0.67466,0.211548,0.632703,1.85994,-1.874309,0.284815,-0.171204,0.466704,-2.187671,-2.158377,-0.017051
9,1774596694802,5.711254,647.137554,287.978880,-656.368633,0.227679,0.669863,-0.674275,0.21166,0.63249,1.86087,-1.873126,0.285414,-0.171223,0.466712,-2.187758,-2.158334,-0.017156
10,1774596694813,5.722365,647.566520,287.985735,-656.986667,0.227806,0.669754,-0.674362,0.21159,0.632866,1.860638,-1.873438,0.286045,-0.171217,0.466722,-2.18771,-2.158336,-0.017143
11,1774596694824,5.733477,648.156200,287.988507,-657.834354,0.2278,0.669832,-0.674297,0.211557,0.632859,1.860884,-1.873291,0.287289,-0.171196,0.466801,-2.187798,-2.158538,-0.017383
12,1774596694835,5.744588,648.672859,287.981372,-658.569597,0.227691,0.669945,-0.674182,0.211684,0.632515,1.861073,-1.872843,0.287836,-0.171171,0.466938,-2.188045,-2.158802,-0.017752
13,1774596694846,5.755699,649.314225,287.959696,-659.470481,0.227938,0.669774,-0.674333,0.211478,0.633269,1.860803,-1.873468,0.289259,-0.1712,0.46687,-2.187886,-2.158549,-0.017546
14,1774596694857,5.766811,649.973725,287.925107,-660.384441,0.227999,0.669834,-0.674245,0.2115,0.633431,1.860949,-1.873203,0.289998,-0.171206,0.466826,-2.187789,-2.15839,-0.017344
15,1774596694868,5.777922,650.614114,287.884467,-661.263812,0.228034,0.669763,-0.674328,0.211424,0.633555,1.860826,-1.873509,0.290713,-0.171212,0.466813,-2.187715,-2.15839,-0.017308
16,1774596694880,5.789033,651.221969,287.842426,-662.093346,0.228202,0.669659,-0.674424,0.211267,0.634075,1.860692,-1.873931,0.292197,-0.171227,0.466774,-2.18762,-2.158205,-0.017149
17,1774596694891,5.800144,651.792093,287.803167,-662.868145,0.227977,0.669965,-0.674133,0.211468,0.633382,1.861343,-1.872923,0.292923,-0.17122,0.466822,-2.187693,-2.158311,-0.017235
18,1774596694902,5.811255,652.174956,287.776490,-663.382721,0.228082,0.669929,-0.674163,0.211373,0.633707,1.861338,-1.873101,0.294452,-0.171223,0.466877,-2.187701,-2.158452,-0.017403
19,1774596694913,5.822367,652.752197,287.736240,-664.150647,0.227931,0.670096,-0.674007,0.211506,0.633241,1.86167,-1.872535,0.295213,-0.171227,0.466916,-2.187806,-2.158459,-0.01746
20,1774596694924,5.833478,653.534571,287.678644,-665.170734,0.228118,0.669968,-0.67412,0.211347,0.633813,1.861471,-1.873008,0.295985,-0.171217,0.466968,-2.187821,-2.158583,-0.017602
21,1774596694935,5.844589,654.290948,287.620838,-666.137765,0.227972,0.66992,-0.67418,0.211466,0.633369,1.86122,-1.873055,0.297619,-0.171226,0.466965,-2.187842,-2.158497,-0.017556
22,1774596694946,5.855701,655.204155,287.553122,-667.294245,0.22803,0.669827,-0.674267,0.211421,0.633543,1.861007,-1.873342,0.298469,-0.17123,0.466934,-2.187769,-2.158418,-0.017383
23,1774596694957,5.866812,655.890366,287.508105,-668.167759,0.228164,0.669746,-0.674349,0.21127,0.633969,1.86093,-1.873722,0.299342,-0.171232,0.46688,-2.187661,-2.158327,-0.017216
24,1774596694968,5.877923,656.571457,287.471887,-669.055423,0.228224,0.669788,-0.674358,0.211045,0.634211,1.861271,-1.87397,0.301077,-0.171233,0.466904,-2.187611,-2.158383,-0.017217
25,1774596694980,5.889035,657.299247,287.442292,-670.039126,0.228035,0.670008,-0.674149,0.211217,0.633627,1.861712,-1.873219,0.301962,-0.171238,0.466928,-2.187645,-2.158393,-0.017282
26,1774596694991,5.900146,658.041872,287.419385,-671.093877,0.228143,0.669904,-0.674268,0.211048,0.633984,1.861592,-1.873719,0.3037,-0.171242,0.46705,-2.187862,-2.158574,-0.017633
