FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1774596871305,0,269.237,-171.022,466.61,-2187.717,-2158.441,-0.674766,0.211683,0.633127,1.859231,-1.874468,0.269237,-0.171022,0.46661,-2.187717,-2.158441,-0.017076
1,1774596871316,0.011112,269.247,-171.023,466.606,0.227934,0.669272,-0.674769,0.211678,0.633192,1.859209,-1.874482,0.269247,-0.171023,0.466606,-2.187707,-2.158376,-0.017063
2,1774596871327,0.022223,269.244,-171.025,466.605,0.227936,0.669294,-0.674753,0.211659,0.633204,1.85929,-1.874457,0.269244,-0.171025,0.466605,-2.187751,-2.15837,-0.01707
3,1774596871338,0.033334,269.234,-171.021,466.61,0.227926,0.66932,-0.674727,0.21167,0.633173,1.859352,-1.874371,0.269234,-0.171021,0.46661,-2.187704,-2.158426,-0.017055
4,1774596871349,0.044445,269.212,-171.044,466.62,0.227995,0.669322,-0.67472,0.211612,0.633383,1.859416,-1.874409,0.269212,-0.171044,0.46662,-2.18783,-2.158346,-0.017116
5,1774596871360,0.055557,269.241,-171.022,466.614,0.22798,0.669355,-0.674688,0.211623,0.633339,1.859496,-1.874311,0.269241,-0.171022,0.466614,-2.18774,-2.158385,-0.017094
6,1774596871371,0.066668,269.233,-171.026,466.615,0.227969,0.669364,-0.674683,0.211624,0.633307,1.85952,-1.874295,0.269233,-0.171026,0.466615,-2.187738,-2.15841,-0.017091
7,1774596871382,0.077779,269.238,-171.017,466.609,0.227966,0.669345,-0.674716,0.211582,0.633312,1.859509,-1.87443,0.269238,-0.171017,0.466609,-2.187741,-2.158412,-0.01705
8,1774596871393,0.08889,269.232,-171.022,466.615,0.227984,0.669343,-0.674713,0.21158,0.633365,1.859504,-1.874424,0.269232,-0.171022,0.466615,-2.187751,-2.158397,-0.01709
9,1774596871405,0.100002,269.233,-171.025,466.604,0.22804,0.669339,-0.674703,0.211563,0.633524,1.859512,-1.874412,0.269233,-0.171025,0.466604,-2.187749,-2.158367,-0.017044
10,1774596871416,0.111113,269.243,-171.034,466.594,0.227971,0.669381,-0.674673,0.211602,0.633321,1.859587,-1.874288,0.269243,-0.171034,0.466594,-2.187728,-2.158318,-0.016994
11,1774596871427,0.122224,269.232,-171.032,466.596,0.227975,0.669383,-0.674678,0.211576,0.633339,1.859619,-1.874329,0.269232,-0.171032,0.466596,-2.187741,-2.158332,-0.017015
12,1774596871438,0.133336,269.242,-171.04,466.594,0.227935,0.669344,-0.674725,0.211588,0.633226,1.859501,-1.87445,0.269242,-0.17104,0.466594,-2.18771,-2.158298,-0.017055
13,1774596871449,0.144447,269.227,-171.016,466.623,0.227947,0.669323,-0.674735,0.21161,0.633252,1.859421,-1.874456,0.269227,-0.171016,0.466623,-2.18773,-2.158427,-0.017075
14,1774596871460,0.155558,269.228,-171.032,466.604,0.227935,0.669333,-0.674738,0.211585,0.633225,1.859472,-1.874486,0.269228,-0.171032,0.466604,-2.187744,-2.158362,-0.017061
15,1774596871471,0.166669,269.23,-171.019,466.618,0.227919,0.669334,-0.67474,0.211592,0.633178,1.859468,-1.874485,0.26923,-0.171019,0.466618,-2.187748,-2.158419,-0.017061
16,1774596871482,0.177781,269.226,-171.028,466.614,0.227898,0.669326,-0.674758,0.211584,0.633122,1.859453,-1.874543,0.269226,-0.171028,0.466614,-2.187783,-2.15835,-0.017081
17,1774596871493,0.188892,269.236,-171.032,466.605,0.227929,0.669327,-0.674743,0.211593,0.633206,1.859448,-1.874492,0.269236,-0.171032,0.466605,-2.187726,-2.158342,-0.017055
18,1774596871505,0.200003,269.236,-171.023,466.613,0.227916,0.669351,-0.674713,0.211627,0.633159,1.859481,-1.874375,0.269236,-0.171023,0.466613,-2.187716,-2.158385,-0.017099
19,1774596871516,0.211131,269.244,-171.022,466.601,0.227908,0.669356,-0.674711,0.211628,0.633136,1.859493,-1.87437,0.269244,-0.171022,0.466601,-2.187708,-2.158404,-0.01702
20,1774596871527,0.222242,269.238,-171.034,466.593,0.227942,0.669356,-0.674704,0.211611,0.633236,1.85951,-1.874367,0.269238,-0.171034,0.466593,-2.187689,-2.158357,-0.01706
