FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1774596871305,0.000000,637.5990,287.9806,-643.3608,0.227912,0.669281,-0.674766,0.211683,0.633127,1.859231,-1.874468,0.269237,-0.171022,0.466610,-2.187717,-2.158441,-0.017076
1,1774596871316,0.011112,637.5890,287.9884,-643.3792,0.227934,0.669272,-0.674769,0.211678,0.633192,1.859209,-1.874482,0.269247,-0.171023,0.466606,-2.187707,-2.158376,-0.017063
2,1774596871327,0.022223,637.5543,288.0276,-643.3435,0.227936,0.669294,-0.674753,0.211659,0.633204,1.859290,-1.874457,0.269244,-0.171025,0.466605,-2.187751,-2.158370,-0.017070
3,1774596871338,0.033334,637.5691,288.0701,-643.3593,0.227926,0.669320,-0.674727,0.211670,0.633173,1.859352,-1.874371,0.269234,-0.171021,0.466610,-2.187704,-2.158426,-0.017055
4,1774596871349,0.044445,637.6238,287.9094,-643.3146,0.227995,0.669322,-0.674720,0.211612,0.633383,1.859416,-1.874409,0.269212,-0.171044,0.466620,-2.187830,-2.158346,-0.017116
5,1774596871360,0.055557,637.6002,287.9146,-643.3209,0.227980,0.669355,-0.674688,0.211623,0.633339,1.859496,-1.874311,0.269241,-0.171022,0.466614,-2.187740,-2.158385,-0.017094
6,1774596871371,0.066668,637.6004,287.9041,-643.3288,0.227969,0.669364,-0.674683,0.211624,0.633307,1.859520,-1.874295,0.269233,-0.171026,0.466615,-2.187738,-2.158410,-0.017091
7,1774596871382,0.077779,637.6199,287.7871,-643.3338,0.227966,0.669345,-0.674716,0.211582,0.633312,1.859509,-1.874430,0.269238,-0.171017,0.466609,-2.187741,-2.158412,-0.017050
8,1774596871393,0.088890,637.6254,287.7653,-643.3462,0.227984,0.669343,-0.674713,0.211580,0.633365,1.859504,-1.874424,0.269232,-0.171022,0.466615,-2.187751,-2.158397,-0.017090
9,1774596871405,0.100002,637.6520,287.7126,-643.3169,0.228040,0.669339,-0.674703,0.211563,0.633524,1.859512,-1.874412,0.269233,-0.171025,0.466604,-2.187749,-2.158367,-0.017044
