FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1774597079719,0,273.194,-162.687,456.12,0.206899,0.683705,-0.664035,0.220903,0.571951,1.890038,-1.835661,0.273194,-0.162687,0.45612,-2.205189,-2.215223,-0.035373
1,1774597079730,0.011111,273.192,-162.683,456.121,0.206877,0.683757,-0.663993,0.220888,0.571896,1.890197,-1.835561,0.273192,-0.162683,0.456121,-2.205225,-2.215206,-0.035343
2,1774597079741,0.022223,273.188,-162.695,456.115,0.206871,0.683722,-0.664001,0.220978,0.571853,1.890008,-1.835495,0.273188,-0.162695,0.456115,-2.205254,-2.215156,-0.035348
3,1774597079752,0.033334,273.198,-162.699,456.099,0.20682,0.683785,-0.663956,0.220965,0.571716,1.890197,-1.835384,0.273198,-0.162699,0.456099,-2.205206,-2.215131,-0.035267
4,1774597079763,0.044445,273.194,-162.693,456.108,0.20684,0.683794,-0.663949,0.220943,0.571778,1.890243,-1.835384,0.273194,-0.162693,0.456108,-2.205251,-2.215123,-0.035274
5,1774597079774,0.055557,273.184,-162.694,456.114,0.206757,0.683789,-0.66398,0.22094,0.57155,1.890233,-1.835473,0.273184,-0.162694,0.456114,-2.20522,-2.215175,-0.035336
6,1774597079785,0.066668,273.193,-162.697,456.112,0.206758,0.683776,-0.663993,0.22094,0.571552,1.890197,-1.835509,0.273193,-0.162697,0.456112,-2.205202,-2.215156,-0.03533
7,1774597079796,0.077779,273.185,-162.7,456.12,0.20675,0.68376,-0.664014,0.220937,0.57153,1.890155,-1.83557,0.273185,-0.1627,0.45612,-2.205226,-2.215207,-0.035342
8,1774597079807,0.08889,273.197,-162.699,456.101,0.206759,0.683792,-0.663969,0.220963,0.571549,1.890217,-1.835422,0.273197,-0.162699,0.456101,-2.205243,-2.215142,-0.035258
9,1774597079819,0.100002,273.191,-162.689,456.107,0.206758,0.683777,-0.663983,0.220969,0.571542,1.890169,-1.835454,0.273191,-0.162689,0.456107,-2.205204,-2.215183,-0.035284
10,1774597079830,0.111113,273.202,-162.682,456.101,0.206761,0.683797,-0.66398,0.220915,0.571567,1.890278,-1.835496,0.273202,-0.162682,0.456101,-2.205162,-2.215193,-0.035236
11,1774597079841,0.122224,273.193,-162.687,456.12,0.206802,0.683803,-0.663958,0.220922,0.571679,1.890291,-1.835429,0.273193,-0.162687,0.45612,-2.205225,-2.215206,-0.035342
12,1774597079852,0.133336,273.211,-162.687,456.087,0.206861,0.683752,-0.664001,0.220895,0.57185,1.890175,-1.835575,0.273211,-0.162687,0.456087,-2.205136,-2.215165,-0.035192
13,1774597079863,0.144447,273.186,-162.698,456.118,0.206847,0.683718,-0.664055,0.220853,0.571824,1.890122,-1.835765,0.273186,-0.162698,0.456118,-2.205234,-2.215189,-0.035358
14,1774597079874,0.155558,273.21,-162.688,456.096,0.206734,0.683696,-0.664107,0.22087,0.571508,1.890045,-1.835892,0.27321,-0.162688,0.456096,-2.205157,-2.215161,-0.035229
15,1774597079885,0.166669,273.19,-162.688,456.113,0.206652,0.683724,-0.664107,0.220858,0.571282,1.890136,-1.835904,0.27319,-0.162688,0.456113,-2.205187,-2.215166,-0.035304
16,1774597079896,0.17778,273.187,-162.697,456.125,0.206678,0.683714,-0.664102,0.220882,0.571347,1.890081,-1.835866,0.273187,-0.162697,0.456125,-2.205246,-2.215174,-0.035332
17,1774597079907,0.188892,273.205,-162.7,456.095,0.206709,0.683699,-0.66412,0.220842,0.571446,1.890082,-1.835956,0.273205,-0.1627,0.456095,-2.205173,-2.215151,-0.035255
18,1774597079919,0.200003,273.193,-162.686,456.118,0.206716,0.683699,-0.664116,0.220849,0.571464,1.890076,-1.835937,0.273193,-0.162686,0.456118,-2.205175,-2.215237,-0.035373
19,1774597079930,0.211114,273.191,-162.699,456.112,0.206746,0.683694,-0.664109,0.220857,0.571544,1.890054,-1.83591,0.273191,-0.162699,0.456112,-2.205274,-2.215095,-0.035316
20,1774597079941,0.222225,273.206,-162.698,456.103,0.206748,0.683692,-0.664107,0.220867,0.571544,1.890037,-1.835895,0.273206,-0.162698,0.456103,-2.205227,-2.215127,-0.035304
21,1774597079952,0.233337,273.19,-162.693,456.116,0.206717,0.683698,-0.664122,0.220834,0.571471,1.890086,-1.835968,0.27319,-0.162693,0.456116,-2.205254,-2.215181,-0.035275
22,1774597079963,0.244448,273.194,-162.691,456.115,0.206695,0.683708,-0.664116,0.220843,0.571408,1.890105,-1.835943,0.273194,-0.162691,0.456115,-2.205193,-2.215226,-0.035331
23,1774597079974,0.255559,273.198,-162.695,456.103,0.206671,0.683727,-0.664101,0.220849,0.571339,1.890152,-1.835897,0.273198,-0.162695,0.456103,-2.205206,-2.215158,-0.035288
24,1774597079985,0.266679,273.194,-162.686,456.115,0.206607,0.683743,-0.664105,0.220849,0.571163,1.890195,-1.835908,0.273194,-0.162686,0.456115,-2.205195,-2.215203,-0.035363
25,1774597079996,0.27779,273.186,-162.698,456.12,0.206654,0.683773,-0.664071,0.220814,0.571302,1.890313,-1.835848,0.273186,-0.162698,0.45612,-2.20524,-2.215141,-0.035326
26,1774597080007,0.288901,273.198,-162.689,456.114,0.206634,0.683801,-0.664051,0.220803,0.57125,1.890404,-1.835804,0.273198,-0.162689,0.456114,-2.205214,-2.215195,-0.035347
27,1774597080019,0.300012,273.201,-162.685,456.102,0.206642,0.683812,-0.664017,0.220865,0.571255,1.890372,-1.835648,0.273201,-0.162685,0.456102,-2.20513,-2.21524,-0.035246
28,1774597080030,0.311123,273.195,-162.689,456.107,0.206643,0.683819,-0.664008,0.220871,0.571255,1.890385,-1.835617,0.273195,-0.162689,0.456107,-2.205167,-2.2152,-0.035314
29,1774597080041,0.322235,273.205,-162.695,456.106,0.206699,0.683845,-0.663968,0.22086,0.571413,1.890467,-1.835517,0.273205,-0.162695,0.456106,-2.205162,-2.215195,-0.035329
30,1774597080052,0.333346,273.197,-162.692,456.108,0.206645,0.683836,-0.663983,0.220892,0.571253,1.890411,-1.835528,0.273197,-0.162692,0.456108,-2.205229,-2.215155,-0.035258
31,1774597080063,0.344457,273.185,-162.685,456.125,0.206602,0.683774,-0.664057,0.220902,0.571131,1.890229,-1.835722,0.273185,-0.162685,0.456125,-2.205252,-2.215208,-0.035365
32,1774597080074,0.355569,273.193,-162.697,456.104,0.206636,0.683805,-0.664013,0.220904,0.571227,1.890313,-1.835601,0.273193,-0.162697,0.456104,-2.205195,-2.215121,-0.035298
33,1774597080085,0.36668,273.193,-162.688,456.111,0.20663,0.683777,-0.664053,0.220877,0.571217,1.890262,-1.835736,0.273193,-0.162688,0.456111,-2.205168,-2.215228,-0.035335
34,1774597080096,0.377791,273.189,-162.69,456.119,0.206602,0.683736,-0.664098,0.220895,0.571134,1.890132,-1.835842,0.273189,-0.16269,0.456119,-2.205245,-2.2152,-0.035353
35,1774597080107,0.388903,273.196,-162.687,456.099,0.206607,0.683727,-0.664104,0.2209,0.571145,1.890102,-1.835856,0.273196,-0.162687,0.456099,-2.205226,-2.215152,-0.0353
36,1774597080119,0.400014,273.196,-162.692,456.106,0.206626,0.683745,-0.664083,0.220889,0.571203,1.890163,-1.835808,0.273196,-0.162692,0.456106,-2.2052,-2.215126,-0.035283
37,1774597080130,0.411125,273.193,-162.692,456.11,0.206633,0.683738,-0.664088,0.220889,0.571221,1.890143,-1.835822,0.273193,-0.162692,0.45611,-2.205174,-2.215207,-0.035324
38,1774597080141,0.422237,273.202,-162.701,456.107,0.206635,0.683686,-0.664146,0.220875,0.571231,1.890014,-1.835994,0.273202,-0.162701,0.456107,-2.205207,-2.215133,-0.035293
39,1774597080152,0.433348,273.217,-162.694,456.086,0.206624,0.683687,-0.664149,0.220873,0.5712,1.890018,-1.836005,0.273217,-0.162694,0.456086,-2.205136,-2.215113,-0.035244
40,1774597080163,0.444459,273.191,-162.685,456.115,0.20662,0.683689,-0.664149,0.220872,0.571192,1.890023,-1.836007,0.273191,-0.162685,0.456115,-2.205214,-2.215195,-0.035347
41,1774597080174,0.45557,273.197,-162.688,456.118,0.20666,0.683658,-0.66418,0.220836,0.571312,1.889975,-1.836127,0.273197,-0.162688,0.456118,-2.205192,-2.215199,-0.03531
42,1774597080185,0.466681,273.178,-162.693,456.125,0.20665,0.683655,-0.664181,0.220853,0.571278,1.889949,-1.836114,0.273178,-0.162693,0.456125,-2.20526,-2.21519,-0.03538
43,1774597080196,0.477792,273.198,-162.685,456.116,0.206656,0.683638,-0.664194,0.220859,0.571295,1.889896,-1.836142,0.273198,-0.162685,0.456116,-2.205222,-2.215202,-0.03529
44,1774597080207,0.488904,273.188,-162.696,456.113,0.206653,0.683638,-0.664186,0.220887,0.571276,1.889867,-1.836094,0.273188,-0.162696,0.456113,-2.205248,-2.215123,-0.035342
45,1774597080219,0.500015,273.189,-162.69,456.112,0.206641,0.683627,-0.664204,0.220877,0.571248,1.889847,-1.836155,0.273189,-0.16269,0.456112,-2.205199,-2.215178,-0.035299
46,1774597080230,0.511126,273.205,-162.696,456.094,0.206684,0.683632,-0.66419,0.220864,0.571371,1.889875,-1.836126,0.273205,-0.162696,0.456094,-2.205192,-2.215117,-0.035245
47,1774597080241,0.522238,273.2,-162.684,456.104,0.206558,0.683632,-0.664198,0.220956,0.570995,1.889783,-1.836062,0.2732,-0.162684,0.456104,-2.205146,-2.215231,-0.035299
48,1774597080252,0.533349,273.194,-162.681,456.109,0.206562,0.683612,-0.664217,0.220957,0.571003,1.889727,-1.836113,0.273194,-0.162681,0.456109,-2.205219,-2.215198,-0.035239
49,1774597080263,0.544461,273.207,-162.691,456.097,0.206558,0.683633,-0.664193,0.220972,0.570988,1.889769,-1.836031,0.273207,-0.162691,0.456097,-2.205151,-2.215182,-0.03524
50,1774597080274,0.555572,273.201,-162.696,456.097,0.206604,0.683662,-0.664162,0.220931,0.571128,1.88989,-1.835984,0.273201,-0.162696,0.456097,-2.205123,-2.215155,-0.03529
51,1774597080285,0.566683,273.194,-162.692,456.117,0.206598,0.683647,-0.664176,0.22094,0.57111,1.889839,-1.836015,0.273194,-0.162692,0.456117,-2.205214,-2.215195,-0.035347
52,1774597080296,0.577794,273.195,-162.685,456.113,0.206585,0.683647,-0.664176,0.220954,0.571068,1.889825,-1.836,0.273195,-0.162685,0.456113,-2.205161,-2.215193,-0.035303
53,1774597080307,0.588905,273.199,-162.688,456.109,0.206656,0.683663,-0.664144,0.220933,0.571272,1.88989,-1.835935,0.273199,-0.162688,0.456109,-2.205212,-2.215165,-0.0353
54,1774597080319,0.600017,273.199,-162.689,456.103,0.206612,0.683613,-0.664204,0.22095,0.571144,1.889735,-1.836082,0.273199,-0.162689,0.456103,-2.205161,-2.215193,-0.035303
