FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
972,1774597090519,10.800257,621.3261,278.2888,-660.1716,0.208069,0.683652,-0.664037,0.219958,0.575473,1.890836,-1.836585,0.273732,-0.147106,0.455658,-2.20463,-2.214461,-0.036325
973,1774597090530,10.811368,622.0518,278.3539,-659.6329,0.207892,0.683496,-0.664221,0.220058,0.574953,1.890303,-1.836994,0.273738,-0.147751,0.455665,-2.204609,-2.214562,-0.036295
974,1774597090541,10.822479,622.6914,277.8205,-659.2092,0.207824,0.683609,-0.664121,0.220071,0.574762,1.890604,-1.836708,0.27375,-0.148391,0.455651,-2.204685,-2.214495,-0.03628
975,1774597090552,10.833591,623.4092,277.6811,-658.733,0.207936,0.683472,-0.664253,0.219994,0.575095,1.8903,-1.837146,0.273764,-0.149656,0.455648,-2.204612,-2.214435,-0.036454
976,1774597090563,10.844702,623.9989,277.707,-658.3402,0.207936,0.683436,-0.664251,0.220112,0.57506,1.890083,-1.837026,0.273758,-0.150259,0.455648,-2.204766,-2.214369,-0.036416
977,1774597090574,10.855813,624.1705,277.8391,-657.7538,0.207865,0.683606,-0.664099,0.220108,0.574865,1.890557,-1.836611,0.273748,-0.151415,0.45567,-2.20485,-2.214438,-0.036488
978,1774597090585,10.866924,624.6254,277.8988,-657.3091,0.207849,0.683564,-0.664172,0.220034,0.574841,1.890516,-1.836882,0.273754,-0.151975,0.455689,-2.204855,-2.214543,-0.036565
979,1774597090597,10.878036,625.1386,277.9336,-656.9551,0.20792,0.683608,-0.664105,0.220032,0.575039,1.890639,-1.836701,0.273774,-0.152516,0.455688,-2.204732,-2.214625,-0.036611
980,1774597090608,10.889147,626.1631,278.0071,-656.5076,0.207864,0.683624,-0.664127,0.21997,0.574904,1.890747,-1.83682,0.273777,-0.153588,0.455688,-2.204732,-2.214688,-0.036565
981,1774597090619,10.900258,626.8552,277.7728,-655.9888,0.207871,0.683626,-0.664132,0.219941,0.574932,1.89078,-1.836862,0.273783,-0.154102,0.455676,-2.204709,-2.21471,-0.036554
982,1774597090630,10.911369,627.356,277.7639,-655.626,0.207823,0.683721,-0.664066,0.21989,0.574814,1.891095,-1.83673,0.273793,-0.15509,0.455684,-2.204714,-2.21478,-0.036575
983,1774597090641,10.922481,628.2395,278.1788,-655.1837,0.207965,0.683661,-0.664137,0.219729,0.575256,1.891089,-1.837084,0.273811,-0.155566,0.455662,-2.204589,-2.214726,-0.036514
984,1774597090652,10.933592,628.741,278.2667,-654.8618,0.207921,0.683687,-0.664134,0.219699,0.575144,1.89119,-1.837104,0.273805,-0.156014,0.455687,-2.204624,-2.214811,-0.036635
985,1774597090663,10.944703,629.3271,277.981,-654.612,0.207794,0.683824,-0.664009,0.21977,0.574771,1.891497,-1.836691,0.273801,-0.156871,0.455709,-2.204728,-2.214826,-0.036685
986,1774597090674,10.955814,629.6584,278.0009,-654.1677,0.207855,0.683807,-0.664012,0.219755,0.574944,1.891467,-1.836712,0.273811,-0.157274,0.455702,-2.204704,-2.214846,-0.036613
987,1774597090685,10.966925,630.0403,278.0383,-653.8639,0.207893,0.683767,-0.664053,0.21972,0.575059,1.89139,-1.83686,0.27384,-0.158042,0.455708,-2.204681,-2.214841,-0.036716
988,1774597090697,10.978037,630.4058,278.0539,-653.6199,0.207923,0.683816,-0.663999,0.219704,0.575147,1.891542,-1.836726,0.273849,-0.158416,0.455703,-2.204716,-2.214767,-0.036761
989,1774597090708,10.989148,630.7678,278.1012,-653.4126,0.207982,0.683706,-0.664097,0.219692,0.575315,1.89125,-1.837009,0.273865,-0.158774,0.455698,-2.2047,-2.214716,-0.03669
990,1774597090719,11.000259,631.0123,277.913,-653.1309,0.207982,0.683832,-0.663962,0.219712,0.57531,1.891578,-1.836614,0.273907,-0.159424,0.455707,-2.204721,-2.214782,-0.036711
991,1774597090730,11.01137,631.3607,277.9049,-652.9702,0.207954,0.6837,-0.664126,0.219649,0.575251,1.891276,-1.837131,0.273929,-0.159733,0.455716,-2.204715,-2.214744,-0.036666
992,1774597090741,11.022482,631.6577,277.9064,-652.8135,0.207964,0.683827,-0.663968,0.219722,0.575256,1.891556,-1.836624,0.273953,-0.160028,0.455709,-2.204735,-2.214759,-0.03666
993,1774597090760,11.041647,632.3451,278.0825,-652.4293,0.208091,0.683828,-0.663963,0.219614,0.57564,1.891666,-1.836714,0.274025,-0.160859,0.455707,-2.204768,-2.214676,-0.036741
994,1774597090771,11.052758,632.701,278.0482,-652.3808,0.20808,0.683751,-0.664034,0.219649,0.575599,1.891419,-1.836877,0.274025,-0.160859,0.455707,-2.204768,-2.214676,-0.036741
995,1774597090782,11.06387,632.9832,278.0633,-652.32,0.20795,0.683859,-0.663939,0.219725,0.575215,1.89164,-1.836539,0.274116,-0.161578,0.455717,-2.204706,-2.214789,-0.036723
996,1774597090793,11.074981,633.1827,278.1916,-652.0078,0.207946,0.683923,-0.663899,0.21965,0.575227,1.891894,-1.8365,0.274146,-0.161794,0.455725,-2.204721,-2.214854,-0.036738
997,1774597090805,11.086092,633.882,278.1242,-651.912,0.208053,0.683814,-0.66397,0.219671,0.575517,1.89157,-1.836678,0.274172,-0.162016,0.455735,-2.204761,-2.214813,-0.036783
998,1774597090816,11.097203,634.353,277.8445,-651.7874,0.208115,0.683754,-0.664028,0.219623,0.575704,1.891453,-1.836885,0.274224,-0.162409,0.455776,-2.20492,-2.214837,-0.036839
999,1774597090827,11.108314,634.6539,277.8267,-651.7298,0.20817,0.683657,-0.6641,0.219659,0.575845,1.891148,-1.837047,0.274281,-0.162608,0.455742,-2.204923,-2.214728,-0.036757
1000,1774597090838,11.119426,634.7941,277.8856,-651.3399,0.208156,0.683716,-0.66402,0.21973,0.575784,1.89124,-1.836757,0.274351,-0.162961,0.455748,-2.205001,-2.214722,-0.036729
1001,1774597090849,11.130537,635.0875,277.8788,-651.313,0.208145,0.683746,-0.664,0.219709,0.57576,1.891343,-1.836723,0.274404,-0.163127,0.455752,-2.204943,-2.21474,-0.036701
1002,1774597090860,11.141648,634.9299,277.748,-651.2119,0.207938,0.683772,-0.664018,0.219767,0.575169,1.891358,-1.836717,0.274434,-0.163287,0.45576,-2.204993,-2.214736,-0.036766
1003,1774597090871,11.152759,635.1301,277.7457,-651.1896,0.207932,0.683769,-0.664001,0.219836,0.575133,1.89128,-1.836602,0.274493,-0.16343,0.455754,-2.204931,-2.214803,-0.036729
1004,1774597090882,11.163871,635.3512,277.7769,-651.194,0.207925,0.683817,-0.66395,0.219848,0.57511,1.891401,-1.83645,0.274577,-0.163738,0.455775,-2.20506,-2.214745,-0.036798
1005,1774597090893,11.174982,635.5325,277.7719,-651.1715,0.20794,0.683807,-0.663968,0.219806,0.575162,1.891417,-1.836542,0.274701,-0.164017,0.455763,-2.205018,-2.214778,-0.036757
1006,1774597090905,11.186093,635.7352,277.7632,-651.1852,0.207909,0.683838,-0.663947,0.219803,0.575078,1.891506,-1.836486,0.274767,-0.164139,0.455774,-2.204951,-2.21487,-0.036784
1007,1774597090916,11.197205,635.9116,277.7247,-651.2433,0.207921,0.683783,-0.663984,0.219852,0.575097,1.891303,-1.836542,0.274834,-0.16427,0.455788,-2.205043,-2.214859,-0.036925
1008,1774597090927,11.208316,636.1342,277.7127,-651.3289,0.207951,0.68377,-0.663996,0.219828,0.575189,1.891291,-1.836597,0.275039,-0.16451,0.455741,-2.205039,-2.214682,-0.036641
1009,1774597090938,11.219427,636.3297,277.6811,-651.3971,0.207909,0.683789,-0.663978,0.219862,0.57506,1.89131,-1.836515,0.275039,-0.16451,0.455741,-2.205039,-2.214682,-0.036641
1010,1774597090949,11.230538,636.5413,277.7014,-651.4753,0.207957,0.683709,-0.664057,0.219827,0.575204,1.891123,-1.836767,0.27525,-0.164743,0.455717,-2.205038,-2.214596,-0.036592
1011,1774597090960,11.241649,636.8693,277.6942,-651.4075,0.207887,0.68376,-0.664025,0.219834,0.575009,1.891257,-1.836672,0.275452,-0.164948,0.455764,-2.205139,-2.2147,-0.036703
1012,1774597090971,11.25276,637.1028,277.6916,-651.5515,0.207879,0.683818,-0.663962,0.219853,0.57498,1.891398,-1.836478,0.275596,-0.165047,0.455748,-2.205163,-2.214669,-0.036685
1013,1774597090982,11.263872,637.3024,277.6606,-651.7725,0.207828,0.683788,-0.664019,0.219818,0.57485,1.891352,-1.836672,0.275924,-0.16524,0.455713,-2.205005,-2.214635,-0.036508
1014,1774597090993,11.274983,637.4825,277.5791,-651.8701,0.207812,0.683826,-0.66397,0.219866,0.574792,1.891408,-1.836488,0.276066,-0.165337,0.455708,-2.205038,-2.214641,-0.036549
1015,1774597091005,11.286095,637.8034,277.5915,-651.9753,0.207753,0.683873,-0.663917,0.219933,0.574607,1.891472,-1.836276,0.276243,-0.165431,0.455694,-2.205053,-2.214653,-0.036511
1016,1774597091016,11.297206,638.0037,277.6319,-652.1346,0.207717,0.683867,-0.663926,0.219959,0.5745,1.891429,-1.836276,0.276584,-0.165597,0.455717,-2.205141,-2.214689,-0.036516
1017,1774597091027,11.308317,638.1973,277.8428,-651.9254,0.207868,0.68376,-0.664011,0.219892,0.574939,1.891198,-1.836577,0.276762,-0.165685,0.455719,-2.205207,-2.214621,-0.036526
1018,1774597091038,11.319428,638.4037,277.9751,-652.0572,0.20773,0.683911,-0.663848,0.220043,0.574511,1.891468,-1.83598,0.277181,-0.16582,0.455732,-2.205259,-2.214697,-0.036396
1019,1774597091049,11.33054,638.7695,277.9567,-652.2703,0.20759,0.683919,-0.663877,0.220066,0.574116,1.891464,-1.836037,0.277404,-0.165901,0.45572,-2.205277,-2.214658,-0.036368
1020,1774597091060,11.341651,639.0511,278.0113,-652.489,0.207499,0.68396,-0.663842,0.22013,0.573845,1.891514,-1.835878,0.277615,-0.165965,0.455743,-2.205335,-2.214748,-0.036494
1021,1774597091071,11.352762,639.4299,277.912,-652.8092,0.207622,0.683823,-0.66395,0.220114,0.57419,1.891151,-1.836193,0.27813,-0.166074,0.455751,-2.205431,-2.214708,-0.036381
1022,1774597091082,11.363873,639.7575,277.9145,-653.1066,0.207573,0.683916,-0.66387,0.220112,0.574054,1.891411,-1.835972,0.278383,-0.166142,0.455763,-2.205481,-2.214783,-0.03635
1023,1774597091093,11.374985,640.0982,277.9195,-653.4637,0.207625,0.683731,-0.664055,0.22008,0.574208,1.890931,-1.836515,0.279005,-0.166242,0.455736,-2.205406,-2.214701,-0.036209
1024,1774597091105,11.386096,640.2281,277.8189,-653.7634,0.207586,0.683856,-0.663909,0.220167,0.574074,1.891191,-1.836027,0.279318,-0.166287,0.455729,-2.205369,-2.214799,-0.036244
1025,1774597091116,11.397207,640.6485,277.9483,-654.0533,0.207381,0.683978,-0.663783,0.220363,0.573447,1.891332,-1.835488,0.27965,-0.166331,0.455735,-2.205367,-2.21482,-0.03618
1026,1774597091127,11.408318,640.9976,277.9244,-654.3276,0.207411,0.684133,-0.663595,0.220417,0.573515,1.891707,-1.834917,0.280329,-0.166411,0.455764,-2.205504,-2.214881,-0.036199
1027,1774597091138,11.419429,641.3239,278.0984,-654.6966,0.207492,0.684029,-0.663709,0.220323,0.573767,1.891512,-1.835322,0.280702,-0.166482,0.45576,-2.205527,-2.214768,-0.036118
1028,1774597091149,11.430541,641.6403,278.1783,-655.11,0.207335,0.684363,-0.663355,0.2205,0.573279,1.89226,-1.834172,0.281002,-0.166511,0.455839,-2.205592,-2.215028,-0.036382
1029,1774597091160,11.441652,641.9326,278.0598,-655.6464,0.207435,0.683785,-0.663958,0.220384,0.573592,1.890776,-1.835952,0.28186,-0.166597,0.4558,-2.205515,-2.214889,-0.036077
1030,1774597091171,11.452763,642.2783,278.1043,-656.1233,0.207252,0.683736,-0.664043,0.220449,0.573066,1.890578,-1.836125,0.282283,-0.166607,0.455824,-2.205568,-2.214995,-0.036054
1031,1774597091182,11.463875,642.4141,278.1443,-656.4477,0.207365,0.683553,-0.664247,0.220297,0.573424,1.890223,-1.836836,0.283183,-0.166688,0.455801,-2.205366,-2.214974,-0.035949
1032,1774597091193,11.474986,642.9188,278.1018,-657.0213,0.207372,0.68382,-0.663927,0.220428,0.573404,1.890829,-1.835824,0.283633,-0.166711,0.455817,-2.205477,-2.214925,-0.035921
1033,1774597091205,11.486097,643.3792,277.7874,-657.5698,0.207465,0.683785,-0.663985,0.220271,0.573709,1.890891,-1.836137,0.284117,-0.16675,0.455795,-2.205305,-2.214961,-0.035778
1034,1774597091216,11.497208,643.8846,277.6602,-657.9851,0.207529,0.683684,-0.664104,0.220167,0.573917,1.890716,-1.836567,0.285075,-0.166793,0.45583,-2.205239,-2.215026,-0.03571
1035,1774597091227,11.50832,644.5503,277.7584,-658.6765,0.207294,0.68394,-0.663852,0.220354,0.57321,1.891235,-1.835688,0.285562,-0.1668,0.455864,-2.205296,-2.215113,-0.035744
1036,1774597091238,11.519431,645.2057,277.7318,-659.3632,0.207388,0.684089,-0.663716,0.220214,0.573513,1.891787,-1.835448,0.286586,-0.166816,0.455926,-2.205307,-2.215259,-0.035755
1037,1774597091249,11.530543,645.5654,277.8916,-660.0175,0.207358,0.683909,-0.663884,0.220292,0.573407,1.891213,-1.835837,0.287091,-0.166829,0.455972,-2.205423,-2.215328,-0.035889
1038,1774597091260,11.541654,646.0964,277.7731,-660.788,0.207287,0.684109,-0.663655,0.220432,0.573167,1.891624,-1.835067,0.287648,-0.166852,0.455973,-2.205394,-2.215298,-0.035786
1039,1774597091271,11.552765,646.5616,277.7716,-661.4979,0.207406,0.683891,-0.663911,0.220223,0.573562,1.891232,-1.835977,0.288768,-0.166879,0.456006,-2.205499,-2.21522,-0.035812
1040,1774597091282,11.563876,647.0678,277.5627,-662.0341,0.207304,0.683926,-0.663884,0.220294,0.573255,1.891257,-1.835833,0.289336,-0.166882,0.45604,-2.205465,-2.215293,-0.035878
1041,1774597091293,11.574988,647.6555,277.4036,-662.8036,0.207152,0.684094,-0.663724,0.220394,0.572807,1.891622,-1.835295,0.290534,-0.166873,0.456054,-2.20537,-2.215333,-0.035863
1042,1774597091305,11.586099,648.4761,277.4897,-663.5223,0.207435,0.683971,-0.663851,0.220128,0.573669,1.891546,-1.835905,0.291154,-0.166877,0.456048,-2.205298,-2.215341,-0.035801
1043,1774597091316,11.59721,649.1121,277.356,-664.2836,0.20745,0.683941,-0.663872,0.220142,0.573705,1.891451,-1.835949,0.291805,-0.166876,0.456025,-2.205171,-2.215262,-0.035699
1044,1774597091327,11.608321,649.7116,277.2311,-664.9445,0.207447,0.683895,-0.663965,0.220008,0.573739,1.891459,-1.836337,0.293099,-0.166873,0.456054,-2.205193,-2.215263,-0.035696
1045,1774597091338,11.619433,650.4075,277.2819,-665.7545,0.207403,0.68414,-0.663704,0.220074,0.573597,1.89207,-1.835551,0.293752,-0.166875,0.456082,-2.205182,-2.215258,-0.035881
1046,1774597091349,11.630544,651.0898,277.3589,-666.5928,0.207241,0.684214,-0.663623,0.220245,0.573096,1.892102,-1.835161,0.294412,-0.166869,0.456133,-2.20527,-2.215297,-0.035971
1047,1774597091360,11.641655,650.5033,278.1724,-666.9178,0.207257,0.684303,-0.663558,0.220147,0.573171,1.892446,-1.835077,0.295792,-0.166843,0.456252,-2.205374,-2.215631,-0.036316
1048,1774597091371,11.652767,651.1761,278.0099,-667.8287,0.207169,0.684427,-0.663456,0.22015,0.572926,1.892788,-1.834792,0.29654,-0.166853,0.456262,-2.205362,-2.215567,-0.036337
1049,1774597091382,11.663878,651.8414,277.805,-668.588,0.20732,0.68413,-0.663799,0.2199,0.573421,1.892215,-1.835982,0.298102,-0.166839,0.456207,-2.205005,-2.215498,-0.036184
1050,1774597091393,11.674989,652.6255,277.8393,-669.5636,0.207256,0.684257,-0.66363,0.220074,0.573191,1.892392,-1.835345,0.298883,-0.166843,0.456184,-2.20494,-2.215404,-0.036045
