FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770131681083,0.000000,74.5215,506.3878,-630.5456,0.607604,-0.386394,0.417573,0.554211,1.435664,-0.912982,0.986655,0.329752,0.116859,0.516378,-2.152215,2.226313,-0.142396
1,1770131681094,0.011112,74.6910,506.4002,-630.5716,0.607547,-0.386400,0.417577,0.554266,1.435497,-0.912977,0.986641,0.329756,0.116859,0.516372,-2.152262,2.226282,-0.142386
2,1770131681105,0.022223,74.7172,506.4290,-630.6035,0.607540,-0.386392,0.417574,0.554282,1.435469,-0.912950,0.986627,0.329757,0.116853,0.516374,-2.152283,2.226271,-0.142282
3,1770131681116,0.033334,74.5281,506.3620,-630.4490,0.607533,-0.386365,0.417589,0.554297,1.435446,-0.912881,0.986656,0.329764,0.116852,0.516362,-2.152226,2.226322,-0.142332
4,1770131681127,0.044445,74.5354,506.3826,-630.4599,0.607554,-0.386361,0.417568,0.554293,1.435496,-0.912874,0.986609,0.329745,0.116854,0.516389,-2.152221,2.226238,-0.142394
5,1770131681138,0.055557,74.5488,506.3732,-630.2944,0.607607,-0.386373,0.417547,0.554242,1.435654,-0.912920,0.986579,0.329751,0.116869,0.516366,-2.152298,2.226293,-0.142387
6,1770131681149,0.066668,74.5215,506.3835,-630.2957,0.607582,-0.386341,0.417584,0.554264,1.435579,-0.912837,0.986659,0.329762,0.116854,0.516367,-2.152234,2.226302,-0.142319
7,1770131681160,0.077779,74.5170,506.3125,-630.3108,0.607580,-0.386340,0.417591,0.554261,1.435578,-0.912836,0.986676,0.329751,0.116856,0.516375,-2.152266,2.226257,-0.142359
8,1770131681171,0.088890,74.5395,506.3654,-630.3298,0.607621,-0.386330,0.417562,0.554245,1.435684,-0.912819,0.986615,0.329755,0.116856,0.516371,-2.152254,2.226327,-0.142374
9,1770131681183,0.100002,74.5389,506.3715,-630.3246,0.607639,-0.386325,0.417547,0.554241,1.435730,-0.912808,0.986579,0.329760,0.116857,0.516375,-2.152257,2.226301,-0.142347
10,1770131681194,0.111113,74.6062,506.3437,-630.4297,0.607603,-0.386313,0.417573,0.554269,1.435628,-0.912769,0.986630,0.329759,0.116857,0.516370,-2.152244,2.226314,-0.142346
11,1770131681205,0.122224,74.6095,506.3578,-630.4373,0.607605,-0.386314,0.417578,0.554262,1.435636,-0.912775,0.986645,0.329752,0.116859,0.516374,-2.152296,2.226263,-0.142375
12,1770131681216,0.133336,74.6197,506.4055,-630.4211,0.607598,-0.386328,0.417570,0.554266,1.435617,-0.912807,0.986624,0.329755,0.116852,0.516375,-2.152213,2.226309,-0.142357
13,1770131681227,0.144447,74.5854,506.3087,-630.4075,0.607583,-0.386325,0.417569,0.554285,1.435570,-0.912792,0.986615,0.329749,0.116851,0.516382,-2.152202,2.226327,-0.142398
14,1770131681238,0.155558,74.4203,506.4716,-630.3929,0.607612,-0.386330,0.417569,0.554250,1.435660,-0.912816,0.986628,0.329763,0.116852,0.516360,-2.152246,2.226341,-0.142295
15,1770131681249,0.166669,74.3137,506.2928,-630.2813,0.607639,-0.386294,0.417556,0.554255,1.435721,-0.912731,0.986596,0.329757,0.116852,0.516369,-2.152246,2.226290,-0.142346
16,1770131681260,0.177781,74.3535,506.4128,-630.2794,0.607654,-0.386302,0.417571,0.554222,1.435777,-0.912761,0.986645,0.329756,0.116860,0.516366,-2.152259,2.226276,-0.142344
17,1770131681271,0.188892,74.3402,506.3109,-630.2021,0.607652,-0.386317,0.417574,0.554211,1.435779,-0.912801,0.986657,0.329760,0.116852,0.516367,-2.152233,2.226328,-0.142320
18,1770131681283,0.200003,74.3075,506.3141,-630.1829,0.607667,-0.386313,0.417553,0.554214,1.435811,-0.912791,0.986605,0.329755,0.116857,0.516374,-2.152224,2.226320,-0.142358
19,1770131681294,0.211114,74.3808,506.4082,-630.1865,0.607645,-0.386330,0.417558,0.554223,1.435754,-0.912827,0.986613,0.329767,0.116853,0.516365,-2.152284,2.226302,-0.142324
20,1770131681305,0.222226,74.3740,506.3689,-630.3477,0.607644,-0.386340,0.417598,0.554186,1.435775,-0.912866,0.986723,0.329762,0.116853,0.516364,-2.152238,2.226334,-0.142334
21,1770131681316,0.233337,74.3586,506.3744,-630.3555,0.607647,-0.386331,0.417606,0.554183,1.435783,-0.912846,0.986743,0.329755,0.116846,0.516377,-2.152228,2.226297,-0.142333
22,1770131681327,0.244448,74.4168,506.3238,-630.3953,0.607652,-0.386323,0.417584,0.554200,1.435784,-0.912820,0.986684,0.329754,0.116856,0.516375,-2.152226,2.226295,-0.142357
23,1770131681338,0.255560,74.4342,506.2901,-630.3712,0.607681,-0.386303,0.417568,0.554194,1.435857,-0.912775,0.986650,0.329762,0.116849,0.516371,-2.152218,2.226315,-0.142372
24,1770131681349,0.266671,74.4272,506.2803,-630.3822,0.607669,-0.386300,0.417582,0.554199,1.435824,-0.912765,0.986679,0.329761,0.116855,0.516366,-2.152276,2.226321,-0.142336
