FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1769589430781,0.000000,87.695500,527.653600,-390.146500,0.519227,0.482698,-0.417871,0.568147,1.219685,1.133875,-0.981595,-0.394417,-0.287851,0.256698,2.513194,-1.559540,-0.152755
1,1769589431036,0.255875,87.978524,527.630256,-390.256970,0.519200,0.482713,-0.417813,0.568201,1.219595,1.133886,-0.981437,-0.394414,-0.287848,0.256712,2.513191,-1.559517,-0.152828
2,1769589431221,0.441223,87.855094,527.562018,-390.125790,0.519271,0.482725,-0.417861,0.568090,1.219818,1.133967,-0.981596,-0.394454,-0.287797,0.256707,2.513120,-1.559695,-0.152849
3,1769589431435,0.655446,87.896080,527.664312,-390.119531,0.519376,0.482554,-0.417776,0.568202,1.220006,1.133513,-0.981351,-0.394512,-0.287727,0.256710,2.512951,-1.559843,-0.152904
4,1769589431641,0.860993,87.866035,527.600727,-390.007783,0.519440,0.482501,-0.417730,0.568223,1.220145,1.133378,-0.981232,-0.394578,-0.287632,0.256709,2.512815,-1.560178,-0.152883
5,1769589431836,1.055978,88.079824,527.510968,-389.830768,0.519523,0.482363,-0.417712,0.568277,1.220313,1.133029,-0.981169,-0.394661,-0.287518,0.256738,2.512543,-1.560535,-0.153001
6,1769589431978,1.197692,87.801749,527.552443,-389.470152,0.519602,0.482079,-0.417311,0.568741,1.220262,1.132142,-0.980036,-0.394853,-0.287265,0.256715,2.512090,-1.561289,-0.153080
7,1769589432052,1.271917,87.618733,527.969971,-390.031701,0.519599,0.482053,-0.417548,0.568591,1.220332,1.132151,-0.980655,-0.395025,-0.287023,0.256732,2.511620,-1.562065,-0.153129
8,1769589432093,1.313124,87.743131,527.610255,-389.060345,0.520200,0.481799,-0.417101,0.568585,1.221745,1.131558,-0.979606,-0.395141,-0.286863,0.256710,2.511401,-1.562637,-0.153181
9,1769589432135,1.355413,87.952827,527.728268,-388.732372,0.520044,0.481678,-0.417178,0.568773,1.221285,1.131185,-0.979710,-0.395312,-0.286615,0.256716,2.511025,-1.563155,-0.153239
10,1769589432188,1.407298,87.660671,527.556632,-388.425104,0.520453,0.481564,-0.416637,0.568893,1.222182,1.130859,-0.978391,-0.395550,-0.286299,0.256718,2.510435,-1.564246,-0.153322
11,1769589432279,1.498551,87.477262,527.575411,-387.539773,0.520646,0.481020,-0.416442,0.569319,1.222418,1.129380,-0.977758,-0.396054,-0.285591,0.256746,2.509020,-1.566551,-0.153622
12,1769589432384,1.604011,87.367070,527.527513,-386.513764,0.521225,0.480162,-0.415933,0.569885,1.223490,1.127099,-0.976334,-0.396715,-0.284682,0.256718,2.507321,-1.569548,-0.153899
13,1769589432505,1.724861,87.043683,527.543944,-385.209889,0.521696,0.479443,-0.415405,0.570444,1.224308,1.125149,-0.974867,-0.397488,-0.283601,0.256734,2.505194,-1.573142,-0.154308
14,1769589432620,1.840062,87.090123,527.460617,-384.320432,0.522221,0.478942,-0.414852,0.570787,1.225364,1.123812,-0.973430,-0.398028,-0.282851,0.256728,2.503815,-1.575529,-0.154566
15,1769589432732,1.951885,86.642552,527.406225,-383.735612,0.522617,0.478435,-0.414322,0.571235,1.226065,1.122412,-0.972002,-0.398393,-0.282332,0.256724,2.502817,-1.577229,-0.154816
16,1769589432851,2.071472,86.626906,527.424056,-383.475840,0.522541,0.478153,-0.414366,0.571509,1.225746,1.121623,-0.971995,-0.398688,-0.281904,0.256735,2.502016,-1.578613,-0.154895
17,1769589432960,2.180442,86.646606,527.434690,-382.818857,0.522774,0.477900,-0.413954,0.571806,1.226141,1.120890,-0.970909,-0.398982,-0.281499,0.256742,2.501205,-1.579911,-0.155106
18,1769589433107,2.326441,86.355784,527.492416,-381.823494,0.523256,0.477409,-0.413336,0.572222,1.227059,1.119544,-0.969290,-0.399548,-0.280671,0.256766,2.499691,-1.582438,-0.155373
19,1769589433188,2.407628,86.217190,527.442376,-380.739733,0.523333,0.476803,-0.413214,0.572743,1.226972,1.117880,-0.968795,-0.400020,-0.280006,0.256784,2.498542,-1.584258,-0.155615
20,1769589433273,2.492632,86.176668,527.353752,-379.643483,0.523980,0.475970,-0.412525,0.573342,1.228182,1.115650,-0.966937,-0.400692,-0.279046,0.256821,2.496571,-1.587396,-0.156039
21,1769589433344,2.563764,85.871791,527.383458,-378.360862,0.524406,0.475314,-0.411645,0.574129,1.228777,1.113746,-0.964559,-0.401468,-0.277933,0.256868,2.494474,-1.590846,-0.156476
22,1769589433416,2.635668,85.541131,527.397768,-377.028350,0.525208,0.474243,-0.411030,0.574722,1.230351,1.110963,-0.962879,-0.402360,-0.276631,0.256867,2.491906,-1.595189,-0.156943
23,1769589433467,2.686983,85.393575,527.352239,-375.651239,0.525639,0.473603,-0.410454,0.575267,1.231082,1.109211,-0.961311,-0.403116,-0.275542,0.256869,2.490369,-1.597724,-0.157211
24,1769589433517,2.737117,85.130431,527.299892,-374.278808,0.526274,0.472556,-0.409692,0.576089,1.232149,1.106380,-0.959198,-0.403940,-0.274350,0.256890,2.487792,-1.601872,-0.157716
25,1769589433559,2.778943,84.790775,527.182614,-372.939504,0.527207,0.471613,-0.408701,0.576713,1.234011,1.103885,-0.956629,-0.404806,-0.273048,0.256884,2.485131,-1.606409,-0.158206
26,1769589433595,2.814989,84.604693,527.204805,-371.549754,0.527746,0.470757,-0.408111,0.577337,1.234952,1.101596,-0.955001,-0.405518,-0.271987,0.256887,2.483229,-1.609552,-0.158525
27,1769589433627,2.846872,84.330621,527.232803,-370.177462,0.528300,0.469949,-0.407433,0.577966,1.235926,1.099418,-0.953163,-0.406196,-0.270977,0.256889,2.481235,-1.612764,-0.158872
28,1769589433658,2.878604,84.056822,527.148755,-368.805609,0.529119,0.468871,-0.406532,0.578727,1.237450,1.096548,-0.950755,-0.407009,-0.269754,0.256897,2.478904,-1.616600,-0.159313
29,1769589433687,2.906999,83.727923,527.104388,-367.468102,0.529581,0.468280,-0.406016,0.579145,1.238314,1.094975,-0.949385,-0.407787,-0.268580,0.256901,2.477017,-1.619753,-0.159646
30,1769589433716,2.935410,83.477141,526.882856,-366.126496,0.530382,0.467116,-0.405128,0.579973,1.239762,1.091878,-0.946983,-0.408620,-0.267295,0.256903,2.474412,-1.623947,-0.160102
31,1769589433743,2.963154,83.211905,526.992238,-364.772054,0.530870,0.466336,-0.404639,0.580496,1.240632,1.089819,-0.945633,-0.409416,-0.266081,0.256888,2.472272,-1.627448,-0.160455
32,1769589433765,2.985553,82.886439,526.902389,-363.415449,0.531284,0.465649,-0.404022,0.581098,1.241291,1.087941,-0.943956,-0.410181,-0.264898,0.256904,2.470227,-1.630777,-0.160786
33,1769589433783,3.003042,82.632758,526.871840,-362.036163,0.532273,0.464861,-0.402806,0.581668,1.243307,1.085843,-0.940892,-0.410751,-0.264006,0.256910,2.468374,-1.633717,-0.161174
34,1769589433807,3.027157,82.273253,526.967296,-360.688989,0.532586,0.463723,-0.402440,0.582542,1.243588,1.082793,-0.939696,-0.411690,-0.262530,0.256896,2.465840,-1.637972,-0.161541
35,1769589433829,3.049504,81.930606,526.871556,-359.370582,0.533273,0.462764,-0.401780,0.583131,1.244886,1.080290,-0.937926,-0.412406,-0.261429,0.256924,2.463407,-1.641681,-0.161996
36,1769589433850,3.070566,81.669911,526.773830,-357.995515,0.534120,0.461873,-0.400822,0.583722,1.246560,1.077944,-0.935460,-0.413277,-0.260033,0.256904,2.460653,-1.646186,-0.162454
37,1769589433873,3.093435,81.443028,526.701387,-356.614539,0.534706,0.461001,-0.400202,0.584299,1.247629,1.075652,-0.933791,-0.414144,-0.258656,0.256923,2.458118,-1.650212,-0.162963
38,1769589433892,3.111481,81.232671,526.686726,-355.227556,0.535436,0.460023,-0.399230,0.585067,1.248934,1.073028,-0.931227,-0.414644,-0.257841,0.256920,2.456274,-1.653186,-0.163239
39,1769589433912,3.132337,80.997097,526.716574,-353.846555,0.535913,0.459502,-0.398795,0.585336,1.249907,1.071694,-0.930107,-0.415550,-0.256400,0.256933,2.454504,-1.656065,-0.163555
40,1769589433928,3.148220,80.569668,526.656755,-352.516737,0.536722,0.458501,-0.397650,0.586158,1.251369,1.068996,-0.927121,-0.416387,-0.255024,0.256910,2.451313,-1.661126,-0.164033
41,1769589433944,3.164020,80.275613,526.647468,-351.144802,0.537178,0.457811,-0.397072,0.586671,1.252165,1.067161,-0.925579,-0.416916,-0.254160,0.256895,2.450112,-1.662959,-0.164309
42,1769589433965,3.185448,79.858813,526.509137,-349.819281,0.538043,0.456634,-0.396446,0.587218,1.253898,1.064177,-0.923910,-0.417928,-0.252499,0.256914,2.446760,-1.668190,-0.164885
43,1769589433984,3.203100,79.500986,526.420446,-348.465559,0.538577,0.455367,-0.395585,0.588292,1.254586,1.060752,-0.921495,-0.418564,-0.251426,0.256904,2.444651,-1.671630,-0.165169
44,1769589434005,3.224436,79.154790,526.275506,-347.131763,0.539343,0.454489,-0.394407,0.589060,1.255971,1.058370,-0.918458,-0.419542,-0.249788,0.256943,2.441337,-1.676721,-0.165827
45,1769589434017,3.237364,78.821739,526.381363,-345.780141,0.539939,0.453881,-0.393810,0.589383,1.257191,1.056815,-0.916946,-0.420217,-0.248660,0.256936,2.439105,-1.680190,-0.166173
46,1769589434032,3.252059,78.628204,526.376187,-344.394282,0.540141,0.453332,-0.393428,0.589874,1.257408,1.055323,-0.915870,-0.420671,-0.247901,0.256944,2.438074,-1.681798,-0.166316
47,1769589434049,3.268767,78.244906,526.372824,-343.045674,0.540985,0.451973,-0.392440,0.590802,1.258889,1.051756,-0.913221,-0.421575,-0.246353,0.256938,2.434533,-1.687246,-0.166901
48,1769589434061,3.281582,77.897330,526.375997,-341.689391,0.541325,0.451290,-0.392056,0.591267,1.259438,1.049963,-0.912151,-0.421995,-0.245630,0.256926,2.433417,-1.689111,-0.167100
49,1769589434082,3.301861,77.572016,526.298082,-340.333843,0.542361,0.450194,-0.390609,0.592111,1.261410,1.047050,-0.908468,-0.423016,-0.243872,0.256944,2.429792,-1.694561,-0.167709
50,1769589434098,3.317484,77.298712,526.116416,-338.971647,0.542783,0.449472,-0.390163,0.592566,1.262155,1.045175,-0.907261,-0.423731,-0.242618,0.256917,2.428601,-1.696445,-0.167870
51,1769589434110,3.329808,76.992719,526.081390,-337.603581,0.543236,0.448829,-0.389681,0.592955,1.263006,1.043512,-0.905994,-0.424334,-0.241574,0.256937,2.426216,-1.700224,-0.168148
52,1769589434123,3.342560,76.647366,526.015866,-336.245887,0.543528,0.448059,-0.389258,0.593548,1.263375,1.041468,-0.904790,-0.425179,-0.240081,0.256936,2.424744,-1.702269,-0.168519
53,1769589434131,3.351085,76.223964,526.159119,-334.919080,0.544367,0.447517,-0.387981,0.594023,1.265078,1.040004,-0.901645,-0.425579,-0.239361,0.256928,2.421852,-1.706756,-0.168913
54,1769589434150,3.370176,75.877170,526.040163,-333.678492,0.545020,0.445984,-0.387068,0.595172,1.265997,1.035951,-0.899099,-0.426400,-0.237893,0.256922,2.418999,-1.711189,-0.169454
55,1769589434168,3.388698,75.251658,525.969396,-332.450499,0.545603,0.445308,-0.386380,0.595591,1.267133,1.034203,-0.897346,-0.427264,-0.236348,0.256933,2.416513,-1.714984,-0.169859
56,1769589434179,3.398802,75.037262,525.872961,-331.066865,0.545875,0.444598,-0.386227,0.595971,1.267566,1.032393,-0.896849,-0.427611,-0.235701,0.256921,2.415200,-1.716846,-0.170046
57,1769589434192,3.411240,74.685166,525.799227,-329.710954,0.547078,0.443388,-0.384463,0.596910,1.269868,1.029184,-0.892410,-0.428460,-0.234164,0.256919,2.411079,-1.723136,-0.170672
58,1769589434214,3.433709,74.313549,525.775758,-328.360273,0.547978,0.441842,-0.383317,0.597966,1.271404,1.025152,-0.889363,-0.429585,-0.232079,0.256914,2.407154,-1.729076,-0.171305
59,1769589434225,3.444884,73.850944,525.831468,-327.036515,0.548289,0.441032,-0.383011,0.598475,1.271861,1.023057,-0.888468,-0.429962,-0.231383,0.256928,2.405842,-1.731026,-0.171602
60,1769589434238,3.458336,73.546965,525.805526,-325.668651,0.548756,0.440278,-0.382289,0.599063,1.272637,1.021063,-0.886579,-0.430522,-0.230354,0.256946,2.404406,-1.733039,-0.171750
61,1769589434253,3.473019,73.092824,525.786421,-324.340374,0.549239,0.439564,-0.381657,0.599548,1.273503,1.019203,-0.884935,-0.431329,-0.228843,0.256940,2.401658,-1.737206,-0.172249
62,1769589434269,3.488946,72.600307,525.929661,-323.037297,0.549897,0.438009,-0.380976,0.600516,1.274521,1.015193,-0.883005,-0.432211,-0.227162,0.256927,2.397630,-1.743186,-0.172831
63,1769589434280,3.499833,72.142248,525.838050,-321.713385,0.549897,0.438009,-0.380976,0.600516,1.274521,1.015193,-0.883005,-0.432561,-0.226489,0.256919,2.397630,-1.743186,-0.172831
64,1769589434295,3.514450,71.776886,525.697274,-320.372064,0.550991,0.436761,-0.379299,0.601482,1.276552,1.011900,-0.878771,-0.433172,-0.225328,0.256943,2.394875,-1.747172,-0.173310
65,1769589434311,3.530540,71.473831,525.664148,-319.030273,0.551623,0.436111,-0.378395,0.601944,1.277773,1.010204,-0.876510,-0.433977,-0.223777,0.256947,2.392112,-1.751306,-0.173706
66,1769589434323,3.542594,70.997328,525.710577,-317.712710,0.552053,0.435283,-0.378005,0.602394,1.278534,1.008100,-0.875444,-0.434729,-0.222310,0.256950,2.390749,-1.753264,-0.173996
67,1769589434336,3.556066,70.412145,525.582349,-316.446334,0.552769,0.433441,-0.377128,0.603614,1.279552,1.003331,-0.872978,-0.435302,-0.221180,0.256940,2.386195,-1.759944,-0.174644
68,1769589434345,3.565433,69.996766,525.535306,-315.106110,0.552769,0.433441,-0.377128,0.603614,1.279552,1.003331,-0.872978,-0.435693,-0.220402,0.256917,2.386195,-1.759944,-0.174644
69,1769589434357,3.577113,69.640372,525.439757,-313.751910,0.553976,0.432526,-0.375388,0.604248,1.282013,1.000954,-0.868725,-0.436582,-0.218626,0.256901,2.384422,-1.762601,-0.174847
70,1769589434373,3.593119,69.140225,525.506037,-312.447250,0.554759,0.431074,-0.374507,0.605113,1.283371,0.997241,-0.866379,-0.437188,-0.217427,0.256926,2.379405,-1.769880,-0.175676
71,1769589434386,3.606049,68.562059,525.584035,-311.173126,0.555264,0.430311,-0.374195,0.605387,1.284394,0.995362,-0.865559,-0.437817,-0.216165,0.256943,2.377986,-1.771890,-0.175916
72,1769589434399,3.619233,68.153579,525.448627,-309.839287,0.555587,0.429765,-0.373356,0.605995,1.284823,0.993853,-0.863404,-0.438429,-0.214908,0.256950,2.375062,-1.775993,-0.176381
73,1769589434412,3.631534,67.649275,525.330673,-308.537425,0.556135,0.428695,-0.372600,0.606716,1.285710,0.991087,-0.861403,-0.439194,-0.213356,0.256945,2.373567,-1.778198,-0.176619
74,1769589434424,3.644247,67.349405,525.236973,-307.173398,0.556859,0.428277,-0.371517,0.607010,1.287230,0.990002,-0.858796,-0.439675,-0.212349,0.256924,2.370478,-1.782644,-0.177142
75,1769589434437,3.657321,66.910314,525.262795,-305.841621,0.557354,0.426559,-0.371002,0.608081,1.287809,0.985597,-0.857228,-0.440143,-0.211389,0.256933,2.367646,-1.786724,-0.177496
76,1769589434451,3.671759,66.439404,525.143063,-304.527953,0.557936,0.425804,-0.370148,0.608596,1.288885,0.983645,-0.855075,-0.440904,-0.209794,0.256951,2.364769,-1.790741,-0.177955
77,1769589434466,3.685946,65.971384,525.030800,-303.214275,0.558635,0.425112,-0.369200,0.609015,1.290277,0.981880,-0.852741,-0.441627,-0.208260,0.256924,2.363271,-1.792910,-0.178263
78,1769589434484,3.703240,65.306455,525.037576,-301.994117,0.559271,0.423580,-0.368212,0.610095,1.291178,0.977911,-0.850084,-0.442254,-0.206931,0.256921,2.358994,-1.799068,-0.178793
79,1769589434501,3.720441,64.815884,524.961370,-300.683104,0.559825,0.423132,-0.367293,0.610452,1.292267,0.976735,-0.847838,-0.443058,-0.205196,0.256935,2.357592,-1.800990,-0.179064
80,1769589434511,3.731266,64.315263,524.912841,-299.372801,0.560276,0.422361,-0.366668,0.610948,1.293047,0.974757,-0.846223,-0.443461,-0.204318,0.256941,2.354744,-1.804999,-0.179488
81,1769589434522,3.741541,64.046685,524.814102,-298.004668,0.560598,0.421335,-0.366268,0.611601,1.293446,0.972129,-0.845075,-0.444113,-0.202901,0.256935,2.353189,-1.807134,-0.179694
82,1769589434530,3.749887,63.778807,524.936781,-296.640836,0.561236,0.420587,-0.365107,0.612224,1.294588,0.970157,-0.842183,-0.444509,-0.202032,0.256924,2.349871,-1.811835,-0.180170
83,1769589434546,3.765905,63.451452,525.004270,-295.304856,0.561782,0.419554,-0.364575,0.612749,1.295571,0.967567,-0.840776,-0.445035,-0.200862,0.256931,2.348234,-1.814215,-0.180426
84,1769589434561,3.780891,62.752938,525.067157,-294.099784,0.562794,0.418035,-0.363721,0.613365,1.297581,0.963823,-0.838597,-0.445829,-0.199101,0.256924,2.343759,-1.820408,-0.181052
85,1769589434573,3.792726,62.208238,524.977216,-292.818508,0.562969,0.417279,-0.363014,0.614137,1.297576,0.961777,-0.836704,-0.446198,-0.198290,0.256931,2.342267,-1.822349,-0.181309
86,1769589434590,3.810059,61.783059,524.709586,-291.532553,0.563638,0.416441,-0.362402,0.614454,1.298949,0.959722,-0.835186,-0.447038,-0.196366,0.256912,2.340728,-1.824534,-0.181508
87,1769589434606,3.825855,61.151149,524.775521,-290.293664,0.564511,0.415271,-0.360856,0.615354,1.300485,0.956675,-0.831317,-0.447628,-0.195005,0.256911,2.336298,-1.830769,-0.182165
88,1769589434619,3.838558,60.778128,524.836479,-288.950740,0.564794,0.414548,-0.360415,0.615840,1.300878,0.954821,-0.830138,-0.448198,-0.193706,0.256931,2.333552,-1.834476,-0.182564
89,1769589434630,3.850284,60.425625,524.751890,-287.600006,0.565071,0.413703,-0.359980,0.616408,1.301218,0.952655,-0.828944,-0.448555,-0.192879,0.256936,2.332033,-1.836466,-0.182845
90,1769589434642,3.861753,59.956738,524.628606,-286.282474,0.565671,0.413045,-0.358942,0.616905,1.302335,0.950947,-0.826386,-0.449142,-0.191523,0.256927,2.330472,-1.838654,-0.183057
91,1769589434650,3.870582,59.406068,524.686493,-285.005148,0.566301,0.412399,-0.357848,0.617393,1.303527,0.949272,-0.823705,-0.449615,-0.190412,0.256920,2.327015,-1.843314,-0.183546
92,1769589434657,3.877517,58.791820,524.889121,-283.759117,0.566301,0.412399,-0.357848,0.617393,1.303527,0.949272,-0.823705,-0.449855,-0.189812,0.256909,2.327015,-1.843314,-0.183546
93,1769589434673,3.892682,58.069323,524.805481,-282.621928,0.567330,0.410221,-0.356688,0.618571,1.305271,0.943805,-0.820641,-0.450695,-0.187821,0.256923,2.321854,-1.850413,-0.184316
94,1769589434689,3.908826,57.592671,524.517374,-281.585681,0.567621,0.409727,-0.356032,0.619008,1.305709,0.942503,-0.818988,-0.451152,-0.186704,0.256902,2.320272,-1.852512,-0.184523
95,1769589434703,3.923127,57.030297,524.492328,-280.351601,0.568276,0.408342,-0.354631,0.620126,1.306623,0.938892,-0.815393,-0.451887,-0.184914,0.256866,2.315831,-1.858646,-0.185005
