FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
0,1769589430781,0.000000,87.6955,527.6536,-390.1465,0.519227,0.482698,-0.417871,0.568147,1.219685,1.133875,-0.981595,-0.394417,-0.287851,0.256698,2.513194,-1.559540,-0.152755,87.685948,527.663162,-390.129243,0.519226,0.482705,-0.417874,0.568138
1,1769589430792,0.011111,87.6820,527.6665,-390.1297,0.519221,0.482717,-0.417880,0.568129,1.219680,1.133930,-0.981623,-0.394411,-0.287846,0.256692,2.513257,-1.559508,-0.152791,87.698290,527.656919,-390.142671,0.519226,0.482696,-0.417884,0.568139
2,1769589430803,0.022222,87.7444,527.6324,-390.1417,0.519231,0.482664,-0.417894,0.568154,1.219691,1.133793,-0.981646,-0.394418,-0.287859,0.256716,2.513200,-1.559478,-0.152799,87.735510,527.634595,-390.148790,0.519222,0.482686,-0.417892,0.568145
3,1769589430814,0.033334,87.7785,527.6103,-390.1795,0.519219,0.482666,-0.417915,0.568148,1.219666,1.133802,-0.981698,-0.394414,-0.287848,0.256698,2.513260,-1.559498,-0.152851,87.767729,527.604376,-390.156905,0.519214,0.482680,-0.417897,0.568153
4,1769589430825,0.044445,87.8210,527.5759,-390.1426,0.519200,0.482699,-0.417888,0.568157,1.219617,1.133874,-0.981632,-0.394413,-0.287854,0.256709,2.513214,-1.559488,-0.152810,87.824024,527.580071,-390.159562,0.519214,0.482667,-0.417904,0.568160
5,1769589430836,0.055556,87.8568,527.5583,-390.1652,0.519218,0.482651,-0.417904,0.568170,1.219651,1.133755,-0.981664,-0.394401,-0.287866,0.256696,2.513285,-1.559441,-0.152795,87.887876,527.575538,-390.149362,0.519225,0.482655,-0.417916,0.568151
6,1769589430847,0.066667,87.9725,527.5986,-390.1295,0.519242,0.482632,-0.417932,0.568144,1.219722,1.133722,-0.981740,-0.394412,-0.287863,0.256714,2.513244,-1.559421,-0.152862,87.953048,527.588771,-390.130352,0.519232,0.482647,-0.417912,0.568154
7,1769589430858,0.077778,88.0205,527.6107,-390.1349,0.519250,0.482626,-0.417929,0.568144,1.219739,1.133709,-0.981733,-0.394410,-0.287870,0.256732,2.513209,-1.559406,-0.152870,87.997867,527.605429,-390.149100,0.519231,0.482636,-0.417911,0.568165
8,1769589430869,0.088890,88.0107,527.6335,-390.1561,0.519203,0.482665,-0.417872,0.568195,1.219604,1.133777,-0.981578,-0.394402,-0.287870,0.256722,2.513234,-1.559440,-0.152853,88.025862,527.628110,-390.173986,0.519219,0.482638,-0.417910,0.568175
9,1769589430881,0.100001,87.9977,527.6238,-390.2534,0.519197,0.482632,-0.417904,0.568205,1.219584,1.133694,-0.981650,-0.394411,-0.287847,0.256678,2.513263,-1.559541,-0.152736,88.008343,527.643033,-390.226733,0.519204,0.482637,-0.417900,0.568197
10,1769589430892,0.111112,88.0045,527.6740,-390.2487,0.519205,0.482625,-0.417925,0.568188,1.219613,1.133686,-0.981705,-0.394411,-0.287853,0.256704,2.513222,-1.559493,-0.152799,87.979990,527.665933,-390.258952,0.519199,0.482634,-0.417900,0.568205
11,1769589430903,0.122223,87.9292,527.6762,-390.2865,0.519200,0.482632,-0.417882,0.568219,1.219583,1.133688,-0.981591,-0.394416,-0.287851,0.256717,2.513213,-1.559487,-0.152842,87.938057,527.674581,-390.259300,0.519203,0.482633,-0.417898,0.568204
12,1769589430914,0.133335,87.9020,527.6857,-390.2232,0.519210,0.482646,-0.417887,0.568194,1.219622,1.133731,-0.981613,-0.394403,-0.287862,0.256699,2.513248,-1.559468,-0.152785,87.896157,527.669152,-390.240519,0.519198,0.482650,-0.417877,0.568209
13,1769589430925,0.144446,87.8551,527.6348,-390.2052,0.519192,0.482668,-0.417858,0.568214,1.219568,1.133774,-0.981536,-0.394413,-0.287853,0.256717,2.513167,-1.559516,-0.152806,87.878376,527.649129,-390.224371,0.519202,0.482656,-0.417870,0.568206
14,1769589430936,0.155557,87.8906,527.6171,-390.2276,0.519197,0.482661,-0.417868,0.568207,1.219584,1.133761,-0.981562,-0.394420,-0.287854,0.256732,2.513195,-1.559454,-0.152905,87.892238,527.626019,-390.200333,0.519210,0.482653,-0.417877,0.568195
15,1769589430947,0.166668,87.9452,527.6197,-390.1919,0.519239,0.482636,-0.417902,0.568165,1.219703,1.133722,-0.981660,-0.394415,-0.287857,0.256717,2.513210,-1.559455,-0.152833,87.927619,527.599186,-390.194914,0.519219,0.482652,-0.417881,0.568184
16,1769589430958,0.177780,87.9548,527.5842,-390.1836,0.519226,0.482645,-0.417888,0.568180,1.219665,1.133737,-0.981621,-0.394407,-0.287864,0.256702,2.513278,-1.559446,-0.152856,87.964129,527.593895,-390.195857,0.519228,0.482651,-0.417891,0.568170
17,1769589430969,0.188891,88.0055,527.5788,-390.2081,0.519227,0.482671,-0.417886,0.568158,1.219679,1.133808,-0.981627,-0.394417,-0.287840,0.256716,2.513183,-1.559558,-0.152858,87.993400,527.597038,-390.212257,0.519231,0.482654,-0.417896,0.568162
18,1769589430981,0.200002,87.9933,527.6161,-390.2554,0.519222,0.482656,-0.417900,0.568166,1.219663,1.133768,-0.981655,-0.394429,-0.287841,0.256713,2.513192,-1.559531,-0.152855,88.009862,527.599586,-390.254314,0.519224,0.482657,-0.417901,0.568162
