FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132230079,0.000000,74.8471,506.6143,-630.4869,0.607652,-0.386173,0.417934,0.554040,1.435881,-0.912527,0.987578,0.329726,0.116865,0.516404,-2.152155,2.226281,-0.142454
1,1770132230090,0.011112,74.8504,506.6303,-630.4980,0.607657,-0.386178,0.417915,0.554045,1.435891,-0.912535,0.987532,0.329724,0.116866,0.516411,-2.152194,2.226216,-0.142508
2,1770132230101,0.022223,74.8593,506.6352,-630.5054,0.607648,-0.386202,0.417916,0.554039,1.435873,-0.912595,0.987535,0.329736,0.116864,0.516394,-2.152211,2.226230,-0.142430
3,1770132230112,0.033334,74.7409,506.7610,-630.4195,0.607675,-0.386173,0.417974,0.553985,1.435970,-0.912547,0.987696,0.329745,0.116858,0.516390,-2.152211,2.226339,-0.142425
4,1770132230123,0.044446,74.6714,506.7007,-630.5170,0.607670,-0.386153,0.417915,0.554049,1.435917,-0.912477,0.987529,0.329740,0.116852,0.516390,-2.152159,2.226308,-0.142406
5,1770132230134,0.055557,74.6577,506.7099,-630.5218,0.607689,-0.386130,0.417918,0.554042,1.435967,-0.912424,0.987540,0.329749,0.116860,0.516384,-2.152198,2.226295,-0.142380
6,1770132230145,0.066668,74.5738,506.3790,-630.2837,0.607690,-0.386137,0.417898,0.554052,1.435964,-0.912436,0.987487,0.329751,0.116857,0.516383,-2.152176,2.226352,-0.142368
7,1770132230156,0.077779,74.5503,506.3882,-630.2649,0.607698,-0.386156,0.417887,0.554037,1.435993,-0.912487,0.987468,0.329751,0.116859,0.516384,-2.152222,2.226294,-0.142409
8,1770132230167,0.088891,74.5289,506.3841,-630.2551,0.607685,-0.386157,0.417881,0.554055,1.435950,-0.912484,0.987447,0.329738,0.116865,0.516389,-2.152223,2.226268,-0.142407
9,1770132230179,0.100002,74.6567,506.4952,-630.3126,0.607624,-0.386164,0.417886,0.554114,1.435770,-0.912476,0.987434,0.329741,0.116863,0.516388,-2.152194,2.226319,-0.142407
10,1770132230190,0.111113,74.6600,506.5043,-630.3025,0.607611,-0.386184,0.417911,0.554096,1.435750,-0.912531,0.987501,0.329730,0.116863,0.516398,-2.152171,2.226268,-0.142428
11,1770132230201,0.122225,74.6574,506.5188,-630.2904,0.607597,-0.386175,0.417919,0.554111,1.435707,-0.912504,0.987514,0.329734,0.116854,0.516400,-2.152120,2.226295,-0.142427
12,1770132230212,0.133336,74.6444,506.5845,-630.2681,0.607586,-0.386171,0.417907,0.554136,1.435667,-0.912485,0.987474,0.329733,0.116870,0.516395,-2.152213,2.226286,-0.142419
13,1770132230223,0.144447,74.5629,506.5565,-630.3954,0.607573,-0.386174,0.417957,0.554108,1.435654,-0.912503,0.987604,0.329743,0.116852,0.516386,-2.152185,2.226308,-0.142382
14,1770132230234,0.155558,74.6551,506.5551,-630.5062,0.607526,-0.386178,0.418013,0.554116,1.435538,-0.912508,0.987732,0.329729,0.116863,0.516406,-2.152164,2.226262,-0.142441
15,1770132230245,0.166669,74.6524,506.5645,-630.5382,0.607521,-0.386175,0.418007,0.554128,1.435518,-0.912498,0.987713,0.329738,0.116870,0.516392,-2.152220,2.226267,-0.142432
16,1770132230256,0.177781,74.6375,506.5838,-630.5733,0.607529,-0.386177,0.418007,0.554117,1.435544,-0.912507,0.987719,0.329744,0.116867,0.516387,-2.152241,2.226287,-0.142396
17,1770132230267,0.188892,74.5478,506.5875,-630.4323,0.607612,-0.386136,0.417988,0.554069,1.435770,-0.912429,0.987692,0.329740,0.116861,0.516392,-2.152190,2.226288,-0.142419
18,1770132230279,0.200003,74.5286,506.5882,-630.4441,0.607587,-0.386152,0.418000,0.554077,1.435706,-0.912462,0.987719,0.329738,0.116861,0.516389,-2.152189,2.226313,-0.142393
19,1770132230290,0.211115,74.6040,506.5406,-630.3356,0.607629,-0.386129,0.417956,0.554080,1.435804,-0.912408,0.987612,0.329745,0.116860,0.516384,-2.152218,2.226288,-0.142369
20,1770132230301,0.222226,74.6706,506.4864,-630.3492,0.607640,-0.386156,0.417947,0.554055,1.435845,-0.912480,0.987602,0.329726,0.116855,0.516405,-2.152111,2.226314,-0.142440
21,1770132230312,0.233337,74.7051,506.4696,-630.3591,0.607625,-0.386133,0.417973,0.554068,1.435801,-0.912422,0.987657,0.329726,0.116855,0.516405,-2.152165,2.226263,-0.142443
22,1770132230323,0.244449,74.7199,506.4265,-630.3756,0.607570,-0.386155,0.417941,0.554138,1.435629,-0.912445,0.987553,0.329751,0.116863,0.516377,-2.152187,2.226364,-0.142369
23,1770132230334,0.255560,74.7408,506.4638,-630.3658,0.607568,-0.386165,0.417945,0.554130,1.435627,-0.912472,0.987567,0.329743,0.116863,0.516385,-2.152221,2.226294,-0.142409
24,1770132230345,0.266671,74.7485,506.4552,-630.3802,0.607545,-0.386166,0.417953,0.554148,1.435562,-0.912469,0.987579,0.329733,0.116853,0.516396,-2.152162,2.226283,-0.142378
25,1770132230356,0.277782,74.7572,506.4525,-630.3998,0.607532,-0.386172,0.417952,0.554160,1.435525,-0.912477,0.987570,0.329739,0.116866,0.516390,-2.152207,2.226280,-0.142432
26,1770132230367,0.288893,74.7227,506.4692,-630.4088,0.607538,-0.386194,0.417979,0.554117,1.435565,-0.912548,0.987652,0.329721,0.116862,0.516409,-2.152148,2.226274,-0.142493
27,1770132230379,0.300005,74.6828,506.3857,-630.4244,0.607604,-0.386168,0.417896,0.554126,1.435716,-0.912482,0.987451,0.329746,0.116860,0.516378,-2.152233,2.226332,-0.142385
28,1770132230390,0.311116,74.6270,506.3385,-630.4540,0.607611,-0.386171,0.417898,0.554114,1.435741,-0.912494,0.987461,0.329729,0.116874,0.516403,-2.152213,2.226234,-0.142468
29,1770132230401,0.322227,74.5972,506.4046,-630.5252,0.607615,-0.386195,0.417927,0.554071,1.435776,-0.912566,0.987548,0.329751,0.116872,0.516380,-2.152245,2.226292,-0.142408
