FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770131890491,0.000000,77.0783,495.3165,-632.1992,0.621775,-0.371065,0.397880,0.563381,1.463492,-0.873387,0.936504,0.332455,0.117583,0.505282,-2.210701,2.155543,-0.134576
1,1770131890502,0.011111,77.1002,495.3265,-632.1725,0.621781,-0.371063,0.397889,0.563369,1.463514,-0.873388,0.936528,0.332448,0.117579,0.505287,-2.210715,2.155505,-0.134603
2,1770131890513,0.022223,77.1591,495.3998,-632.1486,0.621778,-0.371101,0.397884,0.563352,1.463517,-0.873484,0.936524,0.332461,0.117578,0.505276,-2.210714,2.155607,-0.134552
3,1770131890524,0.033334,77.1701,495.4332,-632.1301,0.621758,-0.371114,0.397881,0.563366,1.463462,-0.873509,0.936512,0.332451,0.117579,0.505293,-2.210702,2.155493,-0.134629
4,1770131890535,0.044445,76.9573,495.3755,-632.2938,0.621761,-0.371038,0.397949,0.563366,1.463469,-0.873329,0.936671,0.332453,0.117585,0.505293,-2.210716,2.155504,-0.134574
5,1770131890546,0.055556,76.9349,495.3971,-632.2968,0.621751,-0.371056,0.397945,0.563368,1.463443,-0.873372,0.936661,0.332450,0.117590,0.505291,-2.210757,2.155496,-0.134616
6,1770131890557,0.066667,76.9917,495.3728,-632.3475,0.621739,-0.371041,0.397951,0.563387,1.463403,-0.873330,0.936667,0.332459,0.117579,0.505287,-2.210728,2.155492,-0.134604
7,1770131890568,0.077779,77.0108,495.3775,-632.3679,0.621742,-0.371055,0.397975,0.563358,1.463429,-0.873372,0.936736,0.332461,0.117588,0.505280,-2.210730,2.155491,-0.134548
8,1770131890579,0.088890,76.9990,495.3773,-632.3744,0.621748,-0.371042,0.397974,0.563359,1.463443,-0.873341,0.936734,0.332455,0.117578,0.505287,-2.210700,2.155569,-0.134604
9,1770131890591,0.100001,76.9970,495.4917,-632.4023,0.621744,-0.371047,0.397951,0.563377,1.463423,-0.873347,0.936672,0.332462,0.117579,0.505278,-2.210741,2.155504,-0.134578
10,1770131890602,0.111112,76.9853,495.5124,-632.4071,0.621747,-0.371049,0.397937,0.563382,1.463426,-0.873350,0.936637,0.332459,0.117580,0.505280,-2.210711,2.155524,-0.134535
11,1770131890613,0.122224,76.8708,495.3235,-632.2456,0.621766,-0.371021,0.397961,0.563363,1.463483,-0.873292,0.936700,0.332460,0.117576,0.505276,-2.210695,2.155563,-0.134590
12,1770131890624,0.133335,76.9396,495.2060,-632.1270,0.621812,-0.371005,0.397909,0.563360,1.463592,-0.873254,0.936580,0.332456,0.117591,0.505278,-2.210760,2.155496,-0.134563
13,1770131890635,0.144446,76.9336,495.1961,-632.1002,0.621818,-0.371004,0.397908,0.563354,1.463610,-0.873254,0.936579,0.332452,0.117588,0.505289,-2.210726,2.155491,-0.134627
14,1770131890646,0.155557,76.9290,495.1898,-632.0706,0.621811,-0.371004,0.397922,0.563352,1.463595,-0.873256,0.936614,0.332459,0.117583,0.505281,-2.210747,2.155485,-0.134591
15,1770131890657,0.166669,76.9423,495.3778,-632.1548,0.621776,-0.370982,0.397916,0.563410,1.463477,-0.873181,0.936576,0.332464,0.117573,0.505277,-2.210685,2.155577,-0.134537
16,1770131890668,0.177780,77.0604,495.3108,-632.2538,0.621757,-0.371003,0.397944,0.563397,1.463440,-0.873236,0.936648,0.332475,0.117578,0.505264,-2.210779,2.155567,-0.134529
17,1770131890679,0.188891,77.0700,495.3095,-632.2596,0.621773,-0.370998,0.397943,0.563383,1.463487,-0.873230,0.936650,0.332448,0.117588,0.505294,-2.210732,2.155497,-0.134615
18,1770131890691,0.200003,77.0717,495.3212,-632.2602,0.621764,-0.370994,0.397936,0.563401,1.463453,-0.873213,0.936626,0.332457,0.117579,0.505283,-2.210741,2.155530,-0.134552
19,1770131890702,0.211114,77.1880,495.3904,-632.4757,0.621721,-0.370983,0.397927,0.563461,1.463316,-0.873165,0.936582,0.332470,0.117579,0.505271,-2.210736,2.155575,-0.134513
20,1770131890713,0.222225,76.9327,495.4863,-632.4562,0.621745,-0.370997,0.397937,0.563419,1.463399,-0.873214,0.936623,0.332465,0.117587,0.505273,-2.210754,2.155515,-0.134551
21,1770131890724,0.233336,76.9164,495.5146,-632.4729,0.621760,-0.371006,0.397939,0.563395,1.463448,-0.873244,0.936636,0.332462,0.117595,0.505270,-2.210762,2.155553,-0.134576
22,1770131890735,0.244448,76.8946,495.6195,-632.4632,0.621757,-0.371026,0.397919,0.563399,1.463439,-0.873289,0.936589,0.332469,0.117586,0.505275,-2.210752,2.155542,-0.134578
23,1770131890746,0.255559,76.8374,495.4060,-632.2590,0.621757,-0.371080,0.397953,0.563339,1.463476,-0.873438,0.936692,0.332462,0.117585,0.505280,-2.210722,2.155510,-0.134562
24,1770131890757,0.266670,76.8127,495.3528,-632.2101,0.621710,-0.371109,0.397969,0.563361,1.463351,-0.873499,0.936721,0.332447,0.117590,0.505296,-2.210744,2.155509,-0.134616
25,1770131890768,0.277781,76.9152,495.3775,-632.0975,0.621723,-0.371102,0.397953,0.563363,1.463381,-0.873482,0.936683,0.332453,0.117584,0.505285,-2.210739,2.155504,-0.134604
26,1770131890779,0.288892,76.8582,495.2693,-632.0571,0.621736,-0.371115,0.397946,0.563345,1.463423,-0.873520,0.936673,0.332456,0.117586,0.505282,-2.210718,2.155536,-0.134616
27,1770131890791,0.300003,76.8339,495.2705,-632.0175,0.621742,-0.371107,0.397937,0.563349,1.463435,-0.873499,0.936651,0.332451,0.117585,0.505281,-2.210749,2.155510,-0.134536
28,1770131890802,0.311115,77.0157,495.2151,-632.0908,0.621712,-0.371156,0.397896,0.563380,1.463344,-0.873602,0.936541,0.332454,0.117583,0.505289,-2.210708,2.155499,-0.134614
29,1770131890813,0.322226,77.0561,495.1463,-632.0754,0.621700,-0.371133,0.397925,0.563388,1.463313,-0.873545,0.936606,0.332472,0.117570,0.505268,-2.210728,2.155621,-0.134529
30,1770131890824,0.333337,77.1438,495.2736,-632.2709,0.621647,-0.371198,0.397907,0.563415,1.463171,-0.873689,0.936554,0.332462,0.117579,0.505277,-2.210742,2.155530,-0.134552
31,1770131890835,0.344448,76.9157,495.1562,-632.2517,0.621686,-0.371164,0.397972,0.563349,1.463303,-0.873633,0.936732,0.332472,0.117578,0.505264,-2.210766,2.155555,-0.134555
