FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132796075,0.000000,63.1319,504.4141,-631.2048,0.615259,-0.377761,0.396856,0.566797,1.446083,-0.887878,0.932756,0.332445,0.117588,0.505302,-2.210719,2.155459,-0.134667
1,1770132796086,0.011112,63.1210,504.4491,-631.2063,0.615264,-0.377746,0.396841,0.566812,1.446087,-0.887836,0.932717,0.332438,0.117589,0.505308,-2.210730,2.155420,-0.134719
2,1770132796097,0.022223,63.1146,504.2021,-631.2587,0.615228,-0.377730,0.396906,0.566816,1.446000,-0.887796,0.932867,0.332444,0.117580,0.505311,-2.210661,2.155507,-0.134678
3,1770132796108,0.033334,63.1976,504.2379,-631.2175,0.615232,-0.377756,0.396818,0.566856,1.445984,-0.887842,0.932646,0.332444,0.117583,0.505304,-2.210737,2.155453,-0.134709
4,1770132796119,0.044446,63.1419,504.2367,-631.2441,0.615230,-0.377733,0.396808,0.566881,1.445964,-0.887779,0.932610,0.332452,0.117590,0.505288,-2.210744,2.155509,-0.134616
5,1770132796130,0.055557,63.0356,504.2513,-631.1782,0.615209,-0.377768,0.396746,0.566924,1.445890,-0.887845,0.932448,0.332446,0.117588,0.505303,-2.210716,2.155536,-0.134668
6,1770132796141,0.066668,63.0841,504.2909,-631.2465,0.615191,-0.377769,0.396768,0.566926,1.445846,-0.887848,0.932501,0.332449,0.117585,0.505300,-2.210664,2.155538,-0.134718
7,1770132796152,0.077779,63.0887,504.3291,-631.2880,0.615224,-0.377756,0.396740,0.566920,1.445927,-0.887818,0.932437,0.332431,0.117576,0.505317,-2.210635,2.155482,-0.134730
8,1770132796163,0.088891,63.2467,504.1467,-631.3038,0.615153,-0.377794,0.396720,0.566985,1.445722,-0.887884,0.932365,0.332446,0.117582,0.505301,-2.210666,2.155512,-0.134692
9,1770132796175,0.100002,63.3699,504.2808,-631.2822,0.615151,-0.377838,0.396653,0.567004,1.445705,-0.887981,0.932199,0.332451,0.117580,0.505293,-2.210707,2.155499,-0.134642
10,1770132796186,0.111113,63.4473,504.1976,-631.2661,0.615156,-0.377835,0.396660,0.566997,1.445720,-0.887976,0.932217,0.332445,0.117579,0.505309,-2.210672,2.155519,-0.134706
11,1770132796197,0.122224,63.5340,504.2415,-631.2670,0.615153,-0.377847,0.396648,0.567000,1.445711,-0.888004,0.932190,0.332460,0.117578,0.505296,-2.210681,2.155551,-0.134641
12,1770132796208,0.133336,63.5843,504.2682,-631.2676,0.615167,-0.377836,0.396638,0.566999,1.445746,-0.887978,0.932165,0.332449,0.117591,0.505295,-2.210775,2.155463,-0.134656
13,1770132796219,0.144447,63.3608,504.4406,-631.1689,0.615158,-0.377814,0.396686,0.566990,1.445731,-0.887931,0.932282,0.332441,0.117579,0.505309,-2.210652,2.155552,-0.134692
14,1770132796230,0.155558,63.2492,504.3589,-631.2332,0.615154,-0.377773,0.396700,0.567012,1.445708,-0.887825,0.932306,0.332444,0.117589,0.505302,-2.210718,2.155485,-0.134666
15,1770132796241,0.166669,63.2636,504.4149,-631.2373,0.615153,-0.377783,0.396723,0.566990,1.445718,-0.887856,0.932369,0.332437,0.117585,0.505319,-2.210666,2.155487,-0.134716
16,1770132796252,0.177781,63.2048,504.4386,-631.2532,0.615134,-0.377806,0.396703,0.567010,1.445660,-0.887904,0.932314,0.332441,0.117578,0.505316,-2.210618,2.155572,-0.134757
17,1770132796263,0.188892,63.2191,504.4904,-631.2294,0.615124,-0.377811,0.396718,0.567007,1.445638,-0.887916,0.932351,0.332447,0.117591,0.505304,-2.210684,2.155530,-0.134678
18,1770132796275,0.200003,63.1890,504.4489,-631.1888,0.615129,-0.377827,0.396708,0.566997,1.445657,-0.887958,0.932332,0.332430,0.117590,0.505318,-2.210700,2.155415,-0.134703
19,1770132796286,0.211115,63.1190,504.4285,-631.1797,0.615146,-0.377784,0.396714,0.567003,1.445694,-0.887854,0.932344,0.332451,0.117590,0.505295,-2.210698,2.155517,-0.134652
20,1770132796297,0.222226,63.1419,504.4196,-631.2344,0.615056,-0.377810,0.396756,0.567055,1.445451,-0.887896,0.932420,0.332434,0.117579,0.505317,-2.210646,2.155520,-0.134731
21,1770132796308,0.233337,63.0816,504.3307,-631.2639,0.615078,-0.377804,0.396792,0.567009,1.445530,-0.887899,0.932524,0.332431,0.117591,0.505320,-2.210677,2.155473,-0.134742
22,1770132796319,0.244448,63.0491,504.3394,-631.2642,0.615072,-0.377841,0.396742,0.567026,1.445506,-0.887981,0.932401,0.332458,0.117570,0.505295,-2.210649,2.155572,-0.134655
23,1770132796330,0.255559,63.0355,504.3582,-631.2760,0.615083,-0.377830,0.396751,0.567015,1.445539,-0.887959,0.932425,0.332456,0.117579,0.505295,-2.210646,2.155571,-0.134679
24,1770132796341,0.266670,63.1665,504.2753,-631.2033,0.615118,-0.377818,0.396729,0.567002,1.445628,-0.887934,0.932378,0.332445,0.117573,0.505301,-2.210648,2.155546,-0.134680
25,1770132796352,0.277782,63.1761,504.2835,-631.2073,0.615101,-0.377835,0.396728,0.567008,1.445586,-0.887972,0.932374,0.332445,0.117585,0.505302,-2.210731,2.155472,-0.134668
26,1770132796363,0.288893,63.2244,504.3763,-631.0928,0.615094,-0.377839,0.396708,0.567027,1.445558,-0.887974,0.932320,0.332440,0.117583,0.505313,-2.210665,2.155513,-0.134718
27,1770132796375,0.300004,63.2530,504.4118,-631.0844,0.615072,-0.377859,0.396700,0.567043,1.445496,-0.888015,0.932295,0.332438,0.117584,0.505314,-2.210689,2.155486,-0.134746
