FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1770132645678,0.000000,63.1809,504.1975,-631.3000,0.614996,-0.377655,0.396670,0.567283,1.445171,-0.887447,0.932130,0.332436,0.117592,0.505302,-2.210728,2.155522,-0.134667
1,1770132645689,0.011112,63.2572,504.1815,-631.1917,0.615030,-0.377687,0.396608,0.567268,1.445261,-0.887529,0.931990,0.332442,0.117587,0.505295,-2.210706,2.155555,-0.134708
2,1770132645700,0.022223,63.2789,504.1730,-631.1805,0.615020,-0.377677,0.396629,0.567270,1.445237,-0.887504,0.932039,0.332445,0.117592,0.505292,-2.210735,2.155528,-0.134654
3,1770132645711,0.033334,63.1792,504.0448,-631.1795,0.615041,-0.377655,0.396671,0.567234,1.445306,-0.887466,0.932151,0.332447,0.117572,0.505304,-2.210663,2.155558,-0.134629
4,1770132645722,0.044445,63.1679,504.0445,-631.1675,0.615028,-0.377662,0.396685,0.567232,1.445279,-0.887482,0.932185,0.332450,0.117586,0.505294,-2.210721,2.155568,-0.134656
5,1770132645733,0.055556,63.0696,504.1641,-631.1331,0.615071,-0.377644,0.396651,0.567222,1.445385,-0.887444,0.932109,0.332438,0.117588,0.505305,-2.210722,2.155517,-0.134681
6,1770132645744,0.066668,63.0406,504.1820,-631.1180,0.615082,-0.377625,0.396669,0.567211,1.445418,-0.887402,0.932155,0.332452,0.117584,0.505287,-2.210755,2.155548,-0.134619
7,1770132645755,0.077779,63.0697,504.2108,-631.2211,0.615065,-0.377637,0.396655,0.567231,1.445365,-0.887425,0.932116,0.332450,0.117587,0.505287,-2.210753,2.155573,-0.134645
8,1770132645766,0.088890,63.0499,504.2276,-631.2187,0.615064,-0.377660,0.396645,0.567223,1.445367,-0.887482,0.932096,0.332445,0.117590,0.505289,-2.210747,2.155541,-0.134656
9,1770132645778,0.100002,63.0422,504.3057,-631.2792,0.615105,-0.377650,0.396614,0.567207,1.445473,-0.887462,0.932029,0.332436,0.117590,0.505295,-2.210760,2.155502,-0.134683
10,1770132645789,0.111113,63.0204,504.3360,-631.2867,0.615111,-0.377628,0.396634,0.567201,1.445493,-0.887414,0.932078,0.332444,0.117586,0.505292,-2.210708,2.155581,-0.134655
11,1770132645800,0.122224,62.9947,504.3615,-631.2938,0.615108,-0.377633,0.396624,0.567209,1.445479,-0.887424,0.932051,0.332448,0.117594,0.505287,-2.210780,2.155546,-0.134617
12,1770132645811,0.133335,63.1971,504.3110,-631.2164,0.615056,-0.377693,0.396650,0.567207,1.445359,-0.887564,0.932113,0.332435,0.117593,0.505303,-2.210711,2.155561,-0.134720
13,1770132645822,0.144447,63.1093,504.3902,-631.1906,0.615041,-0.377703,0.396617,0.567239,1.445305,-0.887575,0.932022,0.332433,0.117579,0.505311,-2.210692,2.155512,-0.134694
14,1770132645833,0.155558,63.1009,504.4481,-631.1853,0.615038,-0.377722,0.396616,0.567230,1.445303,-0.887625,0.932024,0.332449,0.117583,0.505286,-2.210711,2.155556,-0.134629
