FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776230763166,11.122456,-529.6423,-21.7835,-396.7272,0.662298,-0.301172,0.307205,0.613418,1.526962,-0.694368,0.708278,-0.385589,0.048926,0.284112,-2.195253,2.157723,-0.101319
2,1776230763177,11.133568,-529.47,-21.4195,-396.9381,0.662178,-0.301294,0.307254,0.613463,1.526658,-0.694636,0.708378,-0.38573,0.04897,0.284102,-2.195216,2.158082,-0.101526
3,1776230763188,11.144679,-530.02,-21.2002,-397.2373,0.662093,-0.301148,0.307346,0.613581,1.526388,-0.694266,0.708555,-0.385794,0.048999,0.284095,-2.195227,2.158225,-0.101681
4,1776230763199,11.15579,-530.2322,-21.257,-397.1292,0.66214,-0.30094,0.307646,0.613482,1.526559,-0.693815,0.709276,-0.38587,0.049015,0.284082,-2.195203,2.158413,-0.101794
5,1776230763210,11.166902,-529.8601,-21.2329,-397.2161,0.662103,-0.300969,0.307546,0.613558,1.526426,-0.69386,0.709023,-0.386002,0.049049,0.284085,-2.195259,2.158816,-0.101916
6,1776230763222,11.178013,-530.446,-20.6806,-397.3582,0.661905,-0.301049,0.307622,0.613694,1.525886,-0.694008,0.709159,-0.38607,0.049051,0.284104,-2.195321,2.158908,-0.101909
7,1776230763233,11.189124,-530.9521,-20.8832,-397.3376,0.661831,-0.300859,0.307722,0.613817,1.52564,-0.693533,0.709354,-0.386134,0.049068,0.284089,-2.195364,2.159086,-0.101969
8,1776230763244,11.200235,-530.6473,-20.8729,-397.3323,0.661806,-0.300949,0.307659,0.613832,1.525571,-0.693736,0.709205,-0.386271,0.049082,0.284078,-2.195578,2.159281,-0.10198
9,1776230763255,11.211347,-530.3053,-20.7708,-397.4168,0.661681,-0.300887,0.307803,0.613925,1.525225,-0.693567,0.709509,-0.386343,0.049107,0.284049,-2.19553,2.159444,-0.102136
10,1776230763266,11.222458,-531.5992,-21.1257,-397.0781,0.661588,-0.300886,0.307838,0.614008,1.52496,-0.693541,0.709566,-0.38648,0.049108,0.284075,-2.195728,2.159622,-0.102132
11,1776230763277,11.233569,-531.6249,-21.0945,-397.0823,0.661476,-0.301082,0.307791,0.614055,1.524673,-0.693981,0.709444,-0.386549,0.049118,0.284047,-2.195849,2.159695,-0.102264
12,1776230763288,11.244681,-531.5368,-21.2879,-396.9711,0.661507,-0.301162,0.307569,0.614094,1.524719,-0.694154,0.708921,-0.386616,0.049113,0.284074,-2.195896,2.159825,-0.102145
