FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
701,1776157397657,7.78908,-454.44,58.219,420.217,-0.168235,0.748727,-0.588826,0.253752,-0.457164,2.034605,-1.600087,-0.45444,0.058219,0.420217,0.980188,2.357875,0.056937
702,1776157397668,7.800191,-454.437,58.238,420.175,-0.168173,0.748479,-0.589074,0.253949,-0.45695,2.033725,-1.6006,-0.454437,0.058238,0.420175,0.980597,2.357486,0.056227
703,1776157397679,7.811302,-454.433,58.237,420.215,-0.168053,0.74839,-0.589186,0.254029,-0.456607,2.033401,-1.600838,-0.454433,0.058237,0.420215,0.980876,2.357389,0.056012
704,1776157397690,7.822413,-454.429,58.235,420.203,-0.168272,0.748311,-0.589136,0.25423,-0.457153,2.032976,-1.600537,-0.454429,0.058235,0.420203,0.98103,2.357278,0.055721
705,1776157397701,7.833525,-454.437,58.248,420.167,-0.168268,0.748005,-0.589326,0.254696,-0.457034,2.031656,-1.600667,-0.454437,0.058248,0.420167,0.981331,2.356892,0.055195
706,1776157397712,7.844636,-454.438,58.271,420.17,-0.168044,0.748337,-0.58918,0.254205,-0.456539,2.033073,-1.600675,-0.454438,0.058271,0.42017,0.98149,2.356815,0.055018
707,1776157397736,7.868508,-454.43,58.334,420.15,-0.168157,0.747837,-0.589587,0.254657,-0.456742,2.031242,-1.601409,-0.45443,0.058334,0.42015,0.981974,2.356392,0.05416
708,1776157397747,7.879619,-454.419,58.355,420.172,-0.168143,0.74778,-0.589575,0.254864,-0.456652,2.030869,-1.601205,-0.454419,0.058355,0.420172,0.982327,2.356225,0.053707
709,1776157397758,7.89073,-454.419,58.37,420.152,-0.16817,0.747683,-0.589688,0.254867,-0.456726,2.030603,-1.60151,-0.454419,0.05837,0.420152,0.982346,2.356091,0.053423
710,1776157397769,7.901842,-454.425,58.397,420.12,-0.168124,0.747799,-0.589605,0.254747,-0.456631,2.031044,-1.601384,-0.454425,0.058397,0.42012,0.982472,2.35595,0.05317
711,1776157397780,7.912953,-454.414,58.411,420.149,-0.168217,0.747532,-0.589778,0.255071,-0.456806,2.02998,-1.601586,-0.454414,0.058411,0.420149,0.982746,2.355869,0.052651
712,1776157397792,7.924064,-454.415,58.452,420.131,-0.168215,0.747295,-0.590042,0.255157,-0.456779,2.029245,-1.602231,-0.454415,0.058452,0.420131,0.98277,2.355807,0.052343
713,1776157397803,7.935176,-454.41,58.464,420.108,-0.168248,0.747293,-0.589994,0.255251,-0.456848,2.029144,-1.602024,-0.45441,0.058464,0.420108,0.982863,2.355618,0.051833
714,1776157397814,7.946287,-454.41,58.464,420.108,-0.168268,0.747222,-0.590021,0.255382,-0.456871,2.028813,-1.601989,-0.45441,0.058464,0.420108,0.982863,2.355618,0.051833
715,1776157397825,7.957398,-454.413,58.515,420.099,-0.168292,0.747139,-0.590123,0.255374,-0.456938,2.028596,-1.602274,-0.454413,0.058515,0.420099,0.983126,2.355461,0.051297
716,1776157397836,7.968509,-454.396,58.519,420.124,-0.168301,0.746907,-0.590365,0.255489,-0.456934,2.027845,-1.602836,-0.454396,0.058519,0.420124,0.983245,2.355468,0.050803
717,1776157397847,7.97962,-454.402,58.553,420.108,-0.1683,0.746824,-0.590434,0.255572,-0.456913,2.027532,-1.602955,-0.454402,0.058553,0.420108,0.983273,2.355354,0.05049
718,1776157397858,7.990732,-454.396,58.592,420.096,-0.168229,0.746812,-0.59054,0.255408,-0.45676,2.027673,-1.603378,-0.454396,0.058592,0.420096,0.983457,2.355229,0.049926
719,1776157397869,8.001843,-454.392,58.609,420.084,-0.168232,0.746693,-0.590601,0.255613,-0.45672,2.027136,-1.603372,-0.454392,0.058609,0.420084,0.983551,2.355154,0.049607
720,1776157397880,8.012954,-454.386,58.631,420.085,-0.168397,0.746591,-0.59059,0.255827,-0.457116,2.026636,-1.603168,-0.454386,0.058631,0.420085,0.98365,2.355101,0.049333
721,1776157397892,8.024065,-454.401,58.681,420.031,-0.168402,0.746409,-0.590773,0.255935,-0.457106,2.026028,-1.603575,-0.454401,0.058681,0.420031,0.983739,2.354848,0.048726
722,1776157397903,8.035176,-454.383,58.677,420.049,-0.168477,0.746313,-0.590826,0.256043,-0.457283,2.025655,-1.603629,-0.454383,0.058677,0.420049,0.983801,2.354889,0.04845
723,1776157397914,8.046288,-454.388,58.75,420.033,-0.168386,0.74629,-0.590902,0.255994,-0.457047,2.025644,-1.603876,-0.454388,0.05875,0.420033,0.983999,2.354719,0.047717
724,1776157397925,8.057399,-454.37,58.771,420.032,-0.168417,0.746134,-0.591041,0.256107,-0.457104,2.025102,-1.60416,-0.45437,0.058771,0.420032,0.984131,2.354627,0.047367
725,1776157397936,8.06851,-454.37,58.8,420.018,-0.168386,0.746028,-0.591155,0.256171,-0.457006,2.02475,-1.604417,-0.45437,0.0588,0.420018,0.984206,2.354558,0.047038
726,1776157397947,8.079622,-454.365,58.83,420.022,-0.168326,0.745988,-0.591247,0.256116,-0.456857,2.024696,-1.604713,-0.454365,0.05883,0.420022,0.984333,2.354482,0.046494
727,1776157397958,8.090733,-454.355,58.857,420.033,-0.168437,0.745827,-0.591322,0.25634,-0.457106,2.024027,-1.60473,-0.454355,0.058857,0.420033,0.984423,2.354459,0.046089
728,1776157397969,8.101844,-454.354,58.902,420,-0.168408,0.745619,-0.591517,0.256515,-0.456985,2.02328,-1.605115,-0.454354,0.058902,0.42,0.98454,2.354256,0.045721
729,1776157397980,8.112956,-454.349,58.963,419.965,-0.168394,0.74545,-0.591683,0.256631,-0.456919,2.0227,-1.605471,-0.454349,0.058963,0.419965,0.984718,2.354094,0.044926
730,1776157397992,8.124067,-454.343,59.004,419.964,-0.168407,0.745359,-0.591769,0.256689,-0.45694,2.022393,-1.605656,-0.454343,0.059004,0.419964,0.984892,2.354036,0.044572
731,1776157398003,8.135178,-454.336,59.062,419.944,-0.168431,0.745243,-0.591831,0.256864,-0.456967,2.021899,-1.60568,-0.454336,0.059062,0.419944,0.98509,2.353813,0.043808
732,1776157398014,8.14629,-454.324,59.081,419.946,-0.168421,0.745132,-0.591978,0.256855,-0.456939,2.021606,-1.606087,-0.454324,0.059081,0.419946,0.985147,2.353803,0.043417
733,1776157398025,8.157401,-454.323,59.097,419.937,-0.168435,0.74496,-0.592132,0.256989,-0.456945,2.021,-1.606393,-0.454323,0.059097,0.419937,0.985255,2.353735,0.043036
734,1776157398036,8.168512,-454.323,59.157,419.897,-0.168479,0.744791,-0.592287,0.257092,-0.457043,2.020434,-1.606729,-0.454323,0.059157,0.419897,0.985326,2.353526,0.042232
735,1776157398047,8.179623,-454.313,59.2,419.902,-0.168448,0.744632,-0.592461,0.257173,-0.45694,2.01992,-1.607134,-0.454313,0.0592,0.419902,0.985467,2.353481,0.041833
736,1776157398058,8.190737,-454.296,59.267,419.887,-0.168449,0.744597,-0.592478,0.257235,-0.456928,2.01976,-1.607128,-0.454296,0.059267,0.419887,0.985698,2.353322,0.041033
737,1776157398069,8.201848,-454.301,59.291,419.872,-0.168463,0.744373,-0.59272,0.257315,-0.456947,2.019069,-1.60772,-0.454301,0.059291,0.419872,0.985755,2.353247,0.040627
738,1776157398080,8.21296,-454.287,59.336,419.876,-0.168498,0.74423,-0.592791,0.257545,-0.456986,2.018442,-1.60772,-0.454287,0.059336,0.419876,0.985877,2.353119,0.040142
739,1776157398092,8.224071,-454.277,59.403,419.856,-0.168502,0.744034,-0.593009,0.257607,-0.456984,2.017845,-1.608262,-0.454277,0.059403,0.419856,0.986078,2.352983,0.039307
740,1776157398103,8.235182,-454.27,59.438,419.837,-0.168536,0.743968,-0.59304,0.257701,-0.457054,2.01757,-1.608268,-0.45427,0.059438,0.419837,0.986159,2.352898,0.038897
741,1776157398114,8.246293,-454.264,59.509,419.81,-0.168608,0.743846,-0.593128,0.257808,-0.457223,2.017127,-1.608417,-0.454264,0.059509,0.41981,0.986365,2.352645,0.038104
742,1776157398125,8.257404,-454.244,59.552,419.841,-0.168563,0.743676,-0.593313,0.2579,-0.45708,2.016571,-1.608842,-0.454244,0.059552,0.419841,0.986507,2.352676,0.037603
743,1776157398136,8.268516,-454.241,59.593,419.829,-0.168514,0.743406,-0.593622,0.257999,-0.456924,2.015738,-1.609599,-0.454241,0.059593,0.419829,0.986619,2.35259,0.037194
744,1776157398147,8.279627,-454.224,59.646,419.806,-0.168616,0.743206,-0.593737,0.258244,-0.457142,2.014942,-1.609707,-0.454224,0.059646,0.419806,0.986807,2.352383,0.036343
745,1776157398158,8.290738,-454.224,59.698,419.768,-0.16867,0.74313,-0.593765,0.258364,-0.457262,2.014609,-1.609685,-0.454224,0.059698,0.419768,0.986882,2.352209,0.035833
746,1776157398169,8.30185,-454.227,59.739,419.763,-0.168522,0.743133,-0.59386,0.258234,-0.45689,2.014752,-1.610051,-0.454227,0.059739,0.419763,0.987023,2.352163,0.035404
747,1776157398180,8.312961,-454.201,59.8,419.773,-0.168528,0.742988,-0.593988,0.258353,-0.456878,2.014236,-1.610297,-0.454201,0.0598,0.419773,0.987192,2.352053,0.034456
748,1776157398192,8.324072,-454.191,59.852,419.749,-0.168552,0.742835,-0.594136,0.258436,-0.456925,2.013735,-1.610631,-0.454191,0.059852,0.419749,0.987329,2.351892,0.034028
