FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776220741535,0,-471.265,62.812,441.205,-0.208348,0.773175,-0.558156,0.217378,-0.577032,2.141359,-1.545848,-0.471265,0.062812,0.441205,0.838509,2.373716,0.14815
1,1776220741546,0.011112,-471.263,62.808,441.215,-0.208349,0.773191,-0.558134,0.217376,-0.577038,2.141406,-1.545791,-0.471263,0.062808,0.441215,0.838508,2.373702,0.148184
2,1776220741557,0.022223,-471.265,62.807,441.217,-0.208343,0.773177,-0.558152,0.217385,-0.577017,2.141356,-1.545832,-0.471265,0.062807,0.441217,0.838513,2.373724,0.148202
3,1776220741568,0.033334,-471.265,62.8,441.225,-0.20833,0.77317,-0.558156,0.217416,-0.576972,2.141301,-1.545817,-0.471265,0.0628,0.441225,0.838506,2.37378,0.148168
4,1776220741579,0.044445,-471.266,62.796,441.218,-0.20834,0.773188,-0.558142,0.217377,-0.577011,2.141394,-1.545811,-0.471266,0.062796,0.441218,0.838494,2.373757,0.148215
5,1776220741590,0.055556,-471.269,62.811,441.212,-0.208323,0.773187,-0.558152,0.217371,-0.576967,2.1414,-1.545843,-0.471269,0.062811,0.441212,0.838532,2.373718,0.148193
6,1776220741601,0.066668,-471.268,62.788,441.21,-0.208314,0.773178,-0.55816,0.217392,-0.576935,2.14135,-1.545848,-0.471268,0.062788,0.44121,0.838452,2.373749,0.148187
7,1776220741612,0.077779,-471.27,62.798,441.204,-0.20836,0.77315,-0.55815,0.21747,-0.577039,2.141186,-1.545757,-0.47127,0.062798,0.441204,0.838436,2.373738,0.148195
8,1776220741623,0.08889,-471.26,62.791,441.225,-0.208363,0.773169,-0.55813,0.217453,-0.577052,2.141256,-1.545717,-0.47126,0.062791,0.441225,0.838477,2.373765,0.148185
9,1776220741635,0.100001,-471.262,62.811,441.225,-0.208396,0.773166,-0.558127,0.217439,-0.577147,2.141265,-1.54572,-0.471262,0.062811,0.441225,0.83853,2.373759,0.148156
10,1776220741646,0.111113,-471.261,62.792,441.234,-0.208362,0.773191,-0.558116,0.217414,-0.577061,2.141361,-1.545708,-0.471261,0.062792,0.441234,0.838475,2.373798,0.148224
11,1776220741657,0.122224,-471.261,62.809,441.223,-0.208369,0.773194,-0.558117,0.217393,-0.577087,2.141394,-1.545728,-0.471261,0.062809,0.441223,0.838514,2.373738,0.148168
12,1776220741668,0.133335,-471.263,62.808,441.223,-0.20835,0.773199,-0.558129,0.217362,-0.577042,2.141442,-1.545787,-0.471263,0.062808,0.441223,0.838514,2.373749,0.148185
13,1776220741679,0.144446,-471.266,62.8,441.216,-0.208365,0.773202,-0.558119,0.217362,-0.577084,2.141451,-1.545758,-0.471266,0.0628,0.441216,0.838498,2.373741,0.148224
14,1776220741690,0.155558,-471.263,62.805,441.223,-0.208392,0.77321,-0.558095,0.217371,-0.577157,2.141463,-1.545685,-0.471263,0.062805,0.441223,0.838538,2.373744,0.148171
15,1776220741701,0.166669,-471.263,62.808,441.225,-0.208359,0.773201,-0.558113,0.217389,-0.57706,2.141417,-1.54572,-0.471263,0.062808,0.441225,0.838528,2.373744,0.14819
16,1776220741712,0.17778,-471.273,62.777,441.204,-0.208344,0.77318,-0.55813,0.217434,-0.577004,2.141307,-1.54573,-0.471273,0.062777,0.441204,0.838408,2.373738,0.148208
17,1776220741723,0.188891,-471.262,62.796,441.216,-0.208361,0.773181,-0.55812,0.217436,-0.577051,2.14131,-1.545702,-0.471262,0.062796,0.441216,0.838437,2.373726,0.148178
18,1776220741735,0.200002,-471.255,62.797,441.249,-0.208367,0.773182,-0.558125,0.217414,-0.577074,2.141337,-1.545735,-0.471255,0.062797,0.441249,0.83852,2.373846,0.148211
19,1776220741746,0.211114,-471.281,62.798,441.199,-0.208382,0.773169,-0.55814,0.217409,-0.577117,2.141307,-1.545778,-0.471281,0.062798,0.441199,0.838451,2.373722,0.148194
20,1776220741757,0.222225,-471.271,62.803,441.209,-0.20838,0.773183,-0.558127,0.217394,-0.577117,2.141363,-1.545755,-0.471271,0.062803,0.441209,0.838476,2.373716,0.148159
21,1776220741768,0.233336,-471.26,62.796,441.223,-0.208341,0.773195,-0.558126,0.217389,-0.57701,2.141403,-1.545758,-0.47126,0.062796,0.441223,0.838462,2.373769,0.148169
22,1776220741779,0.244447,-471.262,62.803,441.22,-0.208386,0.773188,-0.558124,0.217376,-0.57714,2.141397,-1.545762,-0.471262,0.062803,0.44122,0.838542,2.37373,0.148189
23,1776220741790,0.255559,-471.267,62.807,441.215,-0.208358,0.773202,-0.558124,0.217354,-0.577068,2.141462,-1.545781,-0.471267,0.062807,0.441215,0.838505,2.373742,0.148158
24,1776220741801,0.26667,-471.258,62.788,441.235,-0.208362,0.773207,-0.558117,0.217354,-0.577081,2.141474,-1.54576,-0.471258,0.062788,0.441235,0.838492,2.373809,0.148206
25,1776220741812,0.277781,-471.262,62.808,441.218,-0.208365,0.773175,-0.558152,0.217374,-0.577082,2.141362,-1.545841,-0.471262,0.062808,0.441218,0.838532,2.373718,0.148192
26,1776220741823,0.288892,-471.259,62.806,441.216,-0.208388,0.773165,-0.558156,0.217377,-0.577144,2.141333,-1.54585,-0.471259,0.062806,0.441216,0.838489,2.373695,0.148177
27,1776220741835,0.300003,-471.266,62.793,441.215,-0.20835,0.773191,-0.55814,0.21736,-0.577043,2.141424,-1.54582,-0.471266,0.062793,0.441215,0.838509,2.37373,0.148197
28,1776220741846,0.311115,-471.261,62.8,441.226,-0.208351,0.773189,-0.558141,0.217366,-0.577044,2.141409,-1.545818,-0.471261,0.0628,0.441226,0.838542,2.373752,0.148222
29,1776220741857,0.322226,-471.269,62.805,441.206,-0.208376,0.773173,-0.558147,0.217383,-0.577109,2.141348,-1.54582,-0.471269,0.062805,0.441206,0.838512,2.373713,0.148196
30,1776220741868,0.333337,-471.271,62.809,441.203,-0.208379,0.773162,-0.558152,0.217403,-0.577111,2.141295,-1.545819,-0.471271,0.062809,0.441203,0.838467,2.373731,0.148145
31,1776220741879,0.344449,-471.269,62.799,441.209,-0.208358,0.773161,-0.558157,0.217416,-0.57705,2.141276,-1.54582,-0.471269,0.062799,0.441209,0.838456,2.373732,0.148185
