,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1151,1776147900733,12.790207,-454.511,58.144,420.123,-0.167819,0.746369,-0.591275,0.255272,-0.455678,2.026612,-1.605484,-0.454511,0.058144,0.420123,0.983336,2.35491,0.052788
1152,1776147900744,12.801318,-454.487,58.209,420.125,-0.168281,0.746002,-0.591425,0.255693,-0.456834,2.025176,-1.605546,-0.454487,0.058209,0.420125,0.983446,2.354856,0.051978
1153,1776147900755,12.81243,-454.494,58.273,420.103,-0.167635,0.747561,-0.590378,0.253981,-0.45548,2.031197,-1.604115,-0.454494,0.058273,0.420103,0.983568,2.35478,0.051525
1154,1776147900766,12.823541,-454.482,58.346,420.072,-0.167678,0.747526,-0.590363,0.254089,-0.455572,2.030989,-1.603987,-0.454482,0.058346,0.420072,0.983743,2.35462,0.050674
1155,1776147900777,12.834652,-454.48,58.38,420.061,-0.168005,0.746963,-0.590874,0.254339,-0.456403,2.0292,-1.605167,-0.45448,0.05838,0.420061,0.983744,2.354595,0.050249
1156,1776147900788,12.845764,-454.465,58.409,420.052,-0.168216,0.746354,-0.591227,0.255167,-0.456781,2.026679,-1.605442,-0.454465,0.058409,0.420052,0.983725,2.354565,0.049778
1157,1776147900799,12.856875,-454.466,58.493,420.017,-0.167922,0.745626,-0.592058,0.255559,-0.455892,2.024296,-1.607375,-0.454466,0.058493,0.420017,0.983909,2.354414,0.048903
1158,1776147900810,12.867986,-454.443,58.546,420.028,-0.168041,0.745943,-0.591699,0.255387,-0.456253,2.025336,-1.606543,-0.454443,0.058546,0.420028,0.984051,2.354408,0.048387
1159,1776147900822,12.879097,-454.444,58.581,420.009,-0.168083,0.746326,-0.591412,0.254907,-0.456481,2.026876,-1.606159,-0.454444,0.058581,0.420009,0.984038,2.354389,0.047916
1160,1776147900833,12.890209,-454.428,58.675,419.989,-0.167934,0.746071,-0.591735,0.255001,-0.456054,2.026086,-1.60696,-0.454428,0.058675,0.419989,0.984283,2.354237,0.047048
1161,1776147900844,12.90132,-454.423,58.702,419.966,-0.168237,0.745787,-0.59187,0.25532,-0.456803,2.024981,-1.607061,-0.454423,0.058702,0.419966,0.984326,2.354156,0.046652
1162,1776147900855,12.912431,-454.407,58.785,419.959,-0.168193,0.744986,-0.592622,0.255944,-0.456535,2.022155,-1.608586,-0.454407,0.058785,0.419959,0.98451,2.354043,0.045681
1163,1776147900866,12.923543,-454.391,58.849,419.95,-0.168234,0.745005,-0.592558,0.256008,-0.456631,2.022143,-1.608359,-0.454391,0.058849,0.41995,0.984619,2.353985,0.045177
1164,1776147900877,12.934654,-454.377,58.882,419.97,-0.168072,0.745248,-0.592445,0.255667,-0.456271,2.023157,-1.608336,-0.454377,0.058882,0.41997,0.984775,2.354012,0.044699
1165,1776147900888,12.945765,-454.365,58.97,419.939,-0.168392,0.744986,-0.592642,0.255765,-0.457118,2.022343,-1.608788,-0.454365,0.05897,0.419939,0.984986,2.353822,0.043795
1166,1776147900899,12.956876,-454.363,58.996,419.936,-0.168326,0.744466,-0.593151,0.256143,-0.45685,2.020538,-1.609857,-0.454363,0.058996,0.419936,0.985053,2.353836,0.043272
1167,1776147900910,12.967987,-454.349,59.083,419.901,-0.168494,0.744395,-0.593097,0.256363,-0.457255,2.020116,-1.60953,-0.454349,0.059083,0.419901,0.985167,2.35366,0.042352
1168,1776147900922,12.979099,-454.343,59.131,419.893,-0.168181,0.744406,-0.593201,0.256297,-0.456419,2.020214,-1.609865,-0.454343,0.059131,0.419893,0.985298,2.353592,0.041862
1169,1776147900933,12.99021,-454.329,59.156,419.896,-0.168334,0.744647,-0.592972,0.256026,-0.456898,2.021151,-1.60947,-0.454329,0.059156,0.419896,0.98537,2.353564,0.041411
