FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1101,1776148690318,12.240746,-578.2649,114.1874,-359.9502,-0.202931,0.749031,-0.576641,0.255454,-0.550967,2.033648,-1.565605,-0.453085,0.057787,0.414775,0.902377,2.324189,0.059545
1102,1776148690329,12.251857,-578.1917,114.1692,-359.8821,-0.202804,0.749133,-0.576592,0.255366,-0.550645,2.034019,-1.56554,-0.453084,0.057803,0.414789,0.902494,2.324133,0.059117
1103,1776148690340,12.262969,-578.2654,114.2392,-360.1387,-0.202963,0.74884,-0.576779,0.255678,-0.550989,2.032896,-1.565797,-0.453071,0.057834,0.414777,0.90271,2.323902,0.058177
1104,1776148690352,12.27408,-578.1859,114.1842,-360.084,-0.20273,0.74907,-0.576739,0.255279,-0.550469,2.033939,-1.56601,-0.453065,0.057876,0.414798,0.902958,2.323886,0.057699
1105,1776148690363,12.285191,-578.2665,114.1512,-360.3727,-0.203053,0.748462,-0.577056,0.256088,-0.551117,2.031441,-1.566219,-0.453072,0.057887,0.414761,0.903074,2.323613,0.057281
1106,1776148690374,12.296303,-578.4207,114.2048,-360.2857,-0.202927,0.748284,-0.57739,0.255954,-0.550813,2.031098,-1.567234,-0.453059,0.057933,0.414749,0.903201,2.323463,0.056303
1107,1776148690385,12.307414,-578.3931,114.1136,-360.5123,-0.203421,0.748426,-0.577005,0.256016,-0.552136,2.031418,-1.566139,-0.453057,0.057957,0.414738,0.90335,2.323305,0.055853
1108,1776148690396,12.318525,-578.3054,114.1468,-360.6283,-0.202971,0.747875,-0.577733,0.256342,-0.550822,2.029582,-1.567851,-0.453038,0.05801,0.414761,0.903604,2.323223,0.054852
1109,1776148690407,12.329636,-578.2639,114.1212,-360.4355,-0.203429,0.748386,-0.577013,0.256108,-0.552133,2.031213,-1.566087,-0.453037,0.058035,0.414757,0.903821,2.32305,0.054485
1110,1776148690418,12.340747,-578.3456,114.0336,-360.4205,-0.203082,0.748013,-0.577637,0.256066,-0.551202,2.030246,-1.567814,-0.453026,0.058067,0.41472,0.9039,2.322879,0.053991
1111,1776148690429,12.351859,-578.4688,114.176,-360.7391,-0.203156,0.747752,-0.577844,0.256303,-0.551335,2.029289,-1.568184,-0.453031,0.058093,0.414695,0.904,2.322673,0.053143
1112,1776148690440,12.36297,-578.4762,114.1991,-360.4998,-0.202974,0.747918,-0.577865,0.255916,-0.550951,2.030143,-1.568552,-0.453012,0.058108,0.414718,0.904093,2.322675,0.052689
1113,1776148690452,12.374081,-578.4672,113.9854,-360.7913,-0.203027,0.747427,-0.578199,0.256553,-0.550915,2.028146,-1.568947,-0.452986,0.058146,0.414745,0.904424,2.322561,0.051796
1114,1776148690463,12.385192,-578.4144,113.9869,-360.5852,-0.203075,0.747333,-0.578271,0.256626,-0.551023,2.027815,-1.569082,-0.452987,0.058183,0.414718,0.904584,2.322409,0.051386
1115,1776148690474,12.396304,-578.487,114.2806,-360.4984,-0.203557,0.746869,-0.578368,0.257375,-0.552119,2.025777,-1.568741,-0.452992,0.058214,0.414683,0.904727,2.322251,0.050941
1116,1776148690485,12.407415,-578.4753,114.0669,-360.5658,-0.203577,0.746567,-0.57863,0.257648,-0.552095,2.024672,-1.569232,-0.452976,0.058265,0.414659,0.904862,2.322082,0.049998
1117,1776148690496,12.418526,-578.5141,114.1474,-360.666,-0.203458,0.746708,-0.578687,0.257203,-0.551898,2.025519,-1.569744,-0.452973,0.058292,0.414643,0.904939,2.322011,0.049576
1118,1776148690507,12.429637,-578.5958,114.0654,-360.7388,-0.203412,0.746351,-0.579007,0.257556,-0.551674,2.024182,-1.570329,-0.452942,0.058362,0.414647,0.905228,2.321946,0.048713
