FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776147503322,0.000000,-568.4972,104.5122,-364.1072,-0.154960,0.760473,-0.580109,0.247269,-0.422506,2.073460,-1.581689,-0.454647,0.058811,0.420488,0.997755,2.367972,0.106447
1,1776147503333,0.011111,-568.4948,104.5313,-364.0579,-0.154993,0.760461,-0.580124,0.247251,-0.422597,2.073447,-1.581745,-0.454643,0.058815,0.420495,0.997765,2.367993,0.106438
2,1776147503344,0.022223,-568.4510,104.4519,-364.1902,-0.154992,0.760465,-0.580129,0.247225,-0.422602,2.073485,-1.581780,-0.454649,0.058818,0.420479,0.997717,2.367961,0.106427
3,1776147503355,0.033334,-568.4952,104.4840,-364.2073,-0.154951,0.760453,-0.580138,0.247267,-0.422480,2.073408,-1.581772,-0.454641,0.058823,0.420488,0.997770,2.367978,0.106397
4,1776147503366,0.044445,-568.5586,104.4526,-364.2558,-0.154980,0.760461,-0.580105,0.247304,-0.422550,2.073388,-1.581650,-0.454643,0.058810,0.420502,0.997772,2.368031,0.106387
5,1776147503377,0.055556,-568.5038,104.4172,-364.2657,-0.154912,0.760467,-0.580115,0.247302,-0.422366,2.073407,-1.581679,-0.454640,0.058799,0.420517,0.997768,2.368056,0.106484
6,1776147503388,0.066668,-568.5201,104.4277,-364.2797,-0.154965,0.760479,-0.580097,0.247276,-0.422517,2.073469,-1.581651,-0.454643,0.058813,0.420511,0.997806,2.368053,0.106460
7,1776147503399,0.077779,-568.4725,104.4955,-364.2770,-0.154900,0.760462,-0.580120,0.247315,-0.422331,2.073379,-1.581681,-0.454644,0.058815,0.420487,0.997784,2.367959,0.106447
8,1776147503410,0.088890,-568.5272,104.4856,-364.1978,-0.154909,0.760476,-0.580090,0.247337,-0.422350,2.073393,-1.581583,-0.454647,0.058816,0.420486,0.997779,2.367948,0.106447
9,1776147503422,0.100001,-568.5085,104.4265,-364.1917,-0.154901,0.760460,-0.580117,0.247327,-0.422331,2.073361,-1.581664,-0.454646,0.058813,0.420500,0.997733,2.368018,0.106459
10,1776147503433,0.111113,-568.5411,104.3876,-364.1629,-0.154928,0.760477,-0.580113,0.247268,-0.422417,2.073471,-1.581701,-0.454645,0.058804,0.420501,0.997782,2.368026,0.106458
11,1776147503444,0.122224,-568.5576,104.5182,-364.0918,-0.154898,0.760448,-0.580149,0.247289,-0.422332,2.073371,-1.581783,-0.454655,0.058805,0.420485,0.997714,2.368014,0.106472
12,1776147503455,0.133335,-568.5389,104.3501,-363.9925,-0.154941,0.760484,-0.580109,0.247247,-0.422459,2.073511,-1.581709,-0.454647,0.058821,0.420500,0.997795,2.368020,0.106393
13,1776147503466,0.144446,-568.4985,104.4803,-364.0890,-0.154935,0.760490,-0.580120,0.247206,-0.422450,2.073574,-1.581771,-0.454644,0.058800,0.420495,0.997742,2.368004,0.106441
14,1776147503477,0.155558,-568.5480,104.5223,-364.2013,-0.154904,0.760495,-0.580121,0.247206,-0.422366,2.073588,-1.581774,-0.454649,0.058827,0.420474,0.997749,2.367934,0.106438
15,1776147503488,0.166669,-568.4201,104.4662,-364.3299,-0.154904,0.760473,-0.580176,0.247145,-0.422378,2.073593,-1.581974,-0.454643,0.058808,0.420494,0.997752,2.368012,0.106458
16,1776147503499,0.177780,-568.4133,104.4732,-364.3674,-0.154908,0.760486,-0.580146,0.247176,-0.422384,2.073595,-1.581866,-0.454645,0.058819,0.420497,0.997771,2.368017,0.106403
17,1776147503510,0.188891,-568.4019,104.2893,-364.3147,-0.154931,0.760456,-0.580203,0.247119,-0.422457,2.073573,-1.582070,-0.454643,0.058805,0.420504,0.997738,2.368031,0.106427
18,1776147503522,0.200003,-568.3528,104.2593,-364.1928,-0.154930,0.760470,-0.580171,0.247153,-0.422449,2.073574,-1.581954,-0.454640,0.058799,0.420507,0.997720,2.368052,0.106412
19,1776147503533,0.211114,-568.3539,104.2577,-364.1448,-0.154898,0.760470,-0.580197,0.247111,-0.422370,2.073619,-1.582059,-0.454645,0.058822,0.420498,0.997796,2.368019,0.106434
20,1776147503544,0.222225,-568.4328,104.3535,-364.2645,-0.154894,0.760424,-0.580264,0.247100,-0.422360,2.073506,-1.582250,-0.454652,0.058804,0.420476,0.997721,2.367959,0.106481
21,1776147503555,0.233336,-568.5296,104.5055,-364.1996,-0.154932,0.760436,-0.580246,0.247078,-0.422469,2.073563,-1.582220,-0.454637,0.058808,0.420516,0.997816,2.368051,0.106439
22,1776147503566,0.244447,-568.5417,104.5206,-364.1729,-0.154932,0.760425,-0.580284,0.247024,-0.422483,2.073590,-1.582368,-0.454653,0.058803,0.420494,0.997723,2.368010,0.106493
23,1776147503577,0.255559,-568.4089,104.3799,-364.0853,-0.154935,0.760451,-0.580239,0.247048,-0.422483,2.073636,-1.582227,-0.454644,0.058798,0.420505,0.997763,2.368059,0.106458
24,1776147503588,0.266670,-568.3905,104.4130,-364.0417,-0.154925,0.760476,-0.580237,0.246980,-0.422473,2.073777,-1.582276,-0.454639,0.058802,0.420510,0.997749,2.368065,0.106443
25,1776147503599,0.277781,-568.3200,104.3680,-364.0652,-0.154949,0.760481,-0.580200,0.247038,-0.422524,2.073729,-1.582126,-0.454645,0.058811,0.420491,0.997732,2.367992,0.106478
26,1776147503610,0.288892,-568.3442,104.2405,-364.0271,-0.154963,0.760454,-0.580262,0.246965,-0.422578,2.073734,-1.582356,-0.454650,0.058810,0.420489,0.997804,2.367979,0.106436
27,1776147503622,0.300003,-568.3997,104.2334,-364.1870,-0.155036,0.760477,-0.580231,0.246921,-0.422788,2.073844,-1.582308,-0.454641,0.058803,0.420498,0.997743,2.368016,0.106447
28,1776147503633,0.311115,-568.4625,104.2669,-364.1766,-0.155062,0.760486,-0.580192,0.246970,-0.422847,2.073815,-1.582161,-0.454640,0.058820,0.420503,0.997796,2.368019,0.106434
29,1776147503644,0.322226,-568.4246,104.3580,-364.2321,-0.155032,0.760472,-0.580180,0.247060,-0.422746,2.073681,-1.582055,-0.454646,0.058826,0.420497,0.997794,2.367992,0.106444
30,1776147503655,0.333337,-568.5102,104.2654,-364.2442,-0.155047,0.760487,-0.580169,0.247030,-0.422795,2.073753,-1.582050,-0.454643,0.058813,0.420511,0.997792,2.368059,0.106455
31,1776147503666,0.344448,-568.5865,104.2858,-364.2014,-0.155041,0.760499,-0.580147,0.247050,-0.422772,2.073763,-1.581973,-0.454648,0.058820,0.420489,0.997751,2.367984,0.106458
32,1776147503677,0.355560,-568.6143,104.3501,-364.2136,-0.155021,0.760493,-0.580152,0.247069,-0.422714,2.073728,-1.581972,-0.454640,0.058812,0.420506,0.997801,2.368043,0.106459
33,1776147503688,0.366671,-568.5494,104.4387,-364.1962,-0.155024,0.760485,-0.580154,0.247087,-0.422719,2.073689,-1.581961,-0.454637,0.058811,0.420515,0.997811,2.368064,0.106460
34,1776147503699,0.377782,-568.5424,104.3813,-364.2198,-0.155020,0.760483,-0.580144,0.247117,-0.422702,2.073650,-1.581909,-0.454639,0.058826,0.420510,0.997820,2.368022,0.106414
35,1776147503710,0.388893,-568.3981,104.4649,-364.2768,-0.155007,0.760481,-0.580163,0.247087,-0.422673,2.073677,-1.581984,-0.454641,0.058818,0.420503,0.997800,2.368004,0.106454
36,1776147503722,0.400005,-568.4161,104.4503,-364.2350,-0.155017,0.760473,-0.580146,0.247147,-0.422687,2.073591,-1.581890,-0.454640,0.058817,0.420503,0.997762,2.368033,0.106398
37,1776147503733,0.411116,-568.4172,104.3922,-364.2632,-0.154979,0.760464,-0.580172,0.247136,-0.422586,2.073578,-1.581971,-0.454649,0.058806,0.420489,0.997746,2.367989,0.106451
38,1776147503744,0.422227,-568.3594,104.4133,-364.1310,-0.154970,0.760503,-0.580115,0.247157,-0.422555,2.073660,-1.581797,-0.454659,0.058804,0.420477,0.997736,2.367967,0.106461
39,1776147503755,0.433338,-568.4377,104.3446,-364.0955,-0.154996,0.760488,-0.580120,0.247173,-0.422625,2.073604,-1.581798,-0.454650,0.058814,0.420487,0.997742,2.368003,0.106422
40,1776147503766,0.444449,-568.4465,104.3900,-364.0610,-0.155042,0.760486,-0.580123,0.247142,-0.422756,2.073632,-1.581833,-0.454644,0.058818,0.420509,0.997787,2.368049,0.106404
41,1776147503777,0.455560,-568.5172,104.4575,-364.0459,-0.155029,0.760501,-0.580090,0.247184,-0.422711,2.073627,-1.581707,-0.454650,0.058818,0.420494,0.997780,2.367987,0.106443
42,1776147503788,0.466671,-568.5141,104.2837,-364.1413,-0.155055,0.760482,-0.580105,0.247192,-0.422779,2.073565,-1.581741,-0.454642,0.058801,0.420496,0.997747,2.368001,0.106467
43,1776147503799,0.477783,-568.3773,104.2525,-364.1282,-0.154977,0.760506,-0.580114,0.247143,-0.422578,2.073685,-1.581808,-0.454640,0.058827,0.420493,0.997813,2.367973,0.106418
44,1776147503810,0.488894,-568.3889,104.2913,-364.0350,-0.155013,0.760503,-0.580115,0.247131,-0.422679,2.073689,-1.581818,-0.454653,0.058804,0.420490,0.997752,2.367986,0.106487
45,1776147503822,0.500005,-568.4649,104.4409,-364.1511,-0.155021,0.760498,-0.580091,0.247197,-0.422686,2.073603,-1.581699,-0.454641,0.058833,0.420508,0.997847,2.368009,0.106415
46,1776147503833,0.511117,-568.4988,104.3785,-364.2629,-0.155056,0.760478,-0.580116,0.247175,-0.422785,2.073575,-1.581787,-0.454648,0.058823,0.420486,0.997771,2.368003,0.106428
47,1776147503844,0.522228,-568.5162,104.4077,-364.2287,-0.155066,0.760470,-0.580145,0.247128,-0.422825,2.073601,-1.581904,-0.454648,0.058808,0.420481,0.997726,2.367969,0.106472
48,1776147503855,0.533339,-568.4286,104.4078,-364.1923,-0.155020,0.760511,-0.580096,0.247145,-0.422694,2.073697,-1.581756,-0.454642,0.058803,0.420512,0.997772,2.368042,0.106453
49,1776147503866,0.544450,-568.4379,104.4010,-364.1932,-0.155042,0.760512,-0.580086,0.247150,-0.422755,2.073694,-1.581726,-0.454646,0.058813,0.420498,0.997775,2.368001,0.106473
50,1776147503877,0.555561,-568.4633,104.4679,-364.2315,-0.155026,0.760500,-0.580098,0.247169,-0.422706,2.073640,-1.581743,-0.454649,0.058803,0.420496,0.997781,2.368013,0.106493
51,1776147503888,0.566673,-568.4686,104.4521,-364.2339,-0.155041,0.760493,-0.580095,0.247192,-0.422742,2.073595,-1.581714,-0.454643,0.058810,0.420507,0.997753,2.368035,0.106479
52,1776147503899,0.577784,-568.5336,104.4003,-364.2203,-0.155051,0.760500,-0.580097,0.247158,-0.422775,2.073651,-1.581748,-0.454643,0.058816,0.420499,0.997800,2.368018,0.106428
53,1776147503910,0.588895,-568.5082,104.3574,-364.2555,-0.155061,0.760515,-0.580049,0.247217,-0.422791,2.073631,-1.581568,-0.454647,0.058823,0.420489,0.997789,2.367970,0.106438
54,1776147503922,0.600006,-568.4745,104.3829,-364.2454,-0.155013,0.760528,-0.580047,0.247211,-0.422661,2.073672,-1.581569,-0.454656,0.058823,0.420467,0.997747,2.367897,0.106410
55,1776147503933,0.611117,-568.4918,104.4320,-364.2123,-0.155068,0.760526,-0.580035,0.247212,-0.422810,2.073664,-1.581534,-0.454643,0.058809,0.420512,0.997768,2.368069,0.106439
56,1776147503944,0.622229,-568.4014,104.3838,-364.2209,-0.155046,0.760502,-0.580067,0.247224,-0.422748,2.073586,-1.581613,-0.454642,0.058806,0.420495,0.997752,2.368013,0.106416
57,1776147503955,0.633340,-568.4995,104.4127,-364.2275,-0.155061,0.760538,-0.580014,0.247230,-0.422789,2.073678,-1.581461,-0.454650,0.058813,0.420491,0.997746,2.367987,0.106483
58,1776147503966,0.644451,-568.4402,104.3555,-364.3157,-0.155065,0.760513,-0.580041,0.247240,-0.422797,2.073599,-1.581529,-0.454652,0.058811,0.420492,0.997713,2.368001,0.106448
59,1776147503977,0.655562,-568.5228,104.3260,-364.3282,-0.155086,0.760522,-0.580014,0.247264,-0.422848,2.073597,-1.581434,-0.454647,0.058815,0.420486,0.997717,2.367973,0.106442
