FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776147887943,0.000000,-568.4148,104.8156,-363.6621,-0.155091,0.760252,-0.580490,0.246973,-0.422926,2.073175,-1.582971,-0.454690,0.058788,0.420436,0.997669,2.367944,0.106549
1,1776147887954,0.011111,-568.5324,104.7935,-363.8318,-0.155172,0.760258,-0.580479,0.246928,-0.423157,2.073240,-1.582978,-0.454690,0.058807,0.420429,0.997739,2.367902,0.106530
2,1776147887965,0.022223,-568.5546,104.8102,-363.8375,-0.155167,0.760228,-0.580512,0.246949,-0.423139,2.073133,-1.583049,-0.454690,0.058804,0.420424,0.997728,2.367867,0.106565
3,1776147887976,0.033334,-568.5513,104.8471,-363.7790,-0.155161,0.760230,-0.580501,0.246971,-0.423118,2.073116,-1.583001,-0.454689,0.058793,0.420426,0.997691,2.367884,0.106553
4,1776147887987,0.044445,-568.5690,104.8195,-363.9065,-0.155166,0.760236,-0.580507,0.246934,-0.423138,2.073172,-1.583050,-0.454690,0.058802,0.420431,0.997686,2.367896,0.106565
5,1776147887998,0.055557,-568.4811,104.7511,-363.9368,-0.155164,0.760246,-0.580475,0.246980,-0.423124,2.073152,-1.582924,-0.454691,0.058794,0.420438,0.997673,2.367916,0.106544
6,1776147888009,0.066668,-568.4802,104.7724,-363.9285,-0.155169,0.760236,-0.580498,0.246952,-0.423143,2.073153,-1.583011,-0.454691,0.058797,0.420423,0.997638,2.367892,0.106503
7,1776147888020,0.077779,-568.2728,104.5998,-363.8463,-0.155178,0.760263,-0.580475,0.246920,-0.423174,2.073261,-1.582973,-0.454687,0.058784,0.420450,0.997675,2.367980,0.106580
8,1776147888031,0.088890,-568.2554,104.6908,-363.9078,-0.155156,0.760253,-0.580483,0.246943,-0.423111,2.073209,-1.582977,-0.454690,0.058792,0.420439,0.997707,2.367928,0.106570
9,1776147888043,0.100002,-568.2965,104.5848,-363.7799,-0.155160,0.760272,-0.580460,0.246937,-0.423122,2.073269,-1.582919,-0.454687,0.058792,0.420440,0.997655,2.367949,0.106535
10,1776147888054,0.111113,-568.2966,104.5715,-363.7675,-0.155145,0.760245,-0.580480,0.246982,-0.423073,2.073146,-1.582937,-0.454678,0.058800,0.420463,0.997737,2.367979,0.106537
11,1776147888065,0.122224,-568.4393,104.5119,-363.7847,-0.155172,0.760201,-0.580511,0.247029,-0.423136,2.072974,-1.582982,-0.454682,0.058787,0.420446,0.997679,2.367952,0.106575
12,1776147888076,0.133335,-568.5677,104.6550,-363.7220,-0.155178,0.760260,-0.580432,0.247030,-0.423152,2.073136,-1.582765,-0.454693,0.058790,0.420437,0.997646,2.367965,0.106581
13,1776147888087,0.144447,-568.5947,104.6592,-363.7050,-0.155200,0.760250,-0.580430,0.247051,-0.423207,2.073085,-1.582745,-0.454695,0.058806,0.420417,0.997685,2.367884,0.106550
14,1776147888098,0.155558,-568.5759,104.6647,-363.7095,-0.155176,0.760275,-0.580406,0.247046,-0.423143,2.073159,-1.582681,-0.454687,0.058777,0.420446,0.997712,2.367954,0.106563
15,1776147888109,0.166669,-568.4636,104.6970,-363.6327,-0.155150,0.760269,-0.580426,0.247033,-0.423073,2.073156,-1.582748,-0.454695,0.058794,0.420431,0.997692,2.367934,0.106565
16,1776147888120,0.177780,-568.4081,104.5243,-363.5956,-0.155163,0.760270,-0.580428,0.247015,-0.423114,2.073179,-1.582769,-0.454696,0.058795,0.420409,0.997651,2.367848,0.106563
17,1776147888131,0.188891,-568.2804,104.6450,-363.6259,-0.155151,0.760262,-0.580437,0.247029,-0.423077,2.073140,-1.582780,-0.454679,0.058805,0.420452,0.997779,2.367936,0.106562
18,1776147888143,0.200002,-568.2917,104.6377,-363.7242,-0.155189,0.760265,-0.580409,0.247062,-0.423174,2.073114,-1.582676,-0.454691,0.058781,0.420427,0.997673,2.367930,0.106579
19,1776147888154,0.211114,-568.3392,104.6757,-363.7615,-0.155172,0.760272,-0.580415,0.247036,-0.423134,2.073161,-1.582714,-0.454689,0.058796,0.420431,0.997688,2.367935,0.106571
20,1776147888165,0.222225,-568.4080,104.7416,-364.0363,-0.155193,0.760258,-0.580435,0.247019,-0.423195,2.073141,-1.582783,-0.454683,0.058801,0.420438,0.997692,2.367933,0.106546
21,1776147888176,0.233336,-568.5626,104.8373,-363.9955,-0.155187,0.760270,-0.580410,0.247042,-0.423174,2.073149,-1.582697,-0.454693,0.058776,0.420433,0.997597,2.367948,0.106563
22,1776147888187,0.244448,-568.5153,104.8151,-364.1414,-0.155165,0.760282,-0.580411,0.247018,-0.423119,2.073210,-1.582719,-0.454680,0.058790,0.420455,0.997699,2.367970,0.106545
23,1776147888198,0.255559,-568.4238,104.6736,-363.9036,-0.155190,0.760319,-0.580345,0.247047,-0.423180,2.073277,-1.582514,-0.454692,0.058793,0.420427,0.997672,2.367891,0.106564
24,1776147888209,0.266670,-568.3385,104.5827,-363.7907,-0.155187,0.760325,-0.580323,0.247080,-0.423165,2.073259,-1.582427,-0.454678,0.058807,0.420455,0.997745,2.367950,0.106517
25,1776147888220,0.277782,-568.3378,104.5554,-363.7639,-0.155185,0.760353,-0.580299,0.247051,-0.423167,2.073366,-1.582387,-0.454681,0.058787,0.420452,0.997675,2.367979,0.106571
26,1776147888231,0.288893,-568.4338,104.6586,-363.8178,-0.155186,0.760344,-0.580309,0.247055,-0.423167,2.073336,-1.582411,-0.454688,0.058791,0.420431,0.997682,2.367912,0.106564
27,1776147888243,0.300004,-568.4872,104.6310,-363.8115,-0.155183,0.760334,-0.580312,0.247082,-0.423154,2.073281,-1.582395,-0.454692,0.058791,0.420428,0.997672,2.367903,0.106579
28,1776147888254,0.311115,-568.5382,104.6621,-363.7975,-0.155170,0.760356,-0.580288,0.247077,-0.423119,2.073345,-1.582335,-0.454695,0.058819,0.420404,0.997731,2.367826,0.106535
29,1776147888265,0.322227,-568.5115,104.5760,-363.6987,-0.155194,0.760362,-0.580295,0.247028,-0.423195,2.073415,-1.582394,-0.454691,0.058792,0.420430,0.997711,2.367901,0.106574
30,1776147888276,0.333338,-568.5028,104.5725,-363.6733,-0.155237,0.760349,-0.580291,0.247052,-0.423306,2.073354,-1.582363,-0.454687,0.058781,0.420432,0.997658,2.367924,0.106558
31,1776147888287,0.344449,-568.3887,104.5419,-363.7322,-0.155225,0.760348,-0.580304,0.247029,-0.423278,2.073377,-1.582418,-0.454683,0.058802,0.420441,0.997697,2.367931,0.106530
32,1776147888298,0.355560,-568.3591,104.6286,-363.7312,-0.155213,0.760367,-0.580301,0.246985,-0.423257,2.073477,-1.582446,-0.454689,0.058788,0.420435,0.997692,2.367921,0.106600
33,1776147888309,0.366672,-568.3681,104.6528,-363.7697,-0.155224,0.760340,-0.580314,0.247032,-0.423277,2.073349,-1.582443,-0.454683,0.058806,0.420441,0.997720,2.367921,0.106546
34,1776147888320,0.377783,-568.4037,104.6575,-363.7120,-0.155244,0.760336,-0.580308,0.247047,-0.423329,2.073322,-1.582413,-0.454692,0.058792,0.420427,0.997696,2.367881,0.106589
35,1776147888331,0.388894,-568.4340,104.7385,-363.6886,-0.155254,0.760348,-0.580293,0.247036,-0.423358,2.073369,-1.582382,-0.454686,0.058799,0.420433,0.997711,2.367914,0.106529
36,1776147888343,0.400005,-568.4712,104.7301,-363.7600,-0.155266,0.760326,-0.580311,0.247055,-0.423385,2.073289,-1.582415,-0.454692,0.058781,0.420423,0.997648,2.367914,0.106573
37,1776147888354,0.411116,-568.5245,104.8203,-363.7277,-0.155234,0.760333,-0.580304,0.247071,-0.423295,2.073290,-1.582382,-0.454689,0.058799,0.420430,0.997701,2.367905,0.106544
38,1776147888365,0.422227,-568.4254,104.7168,-363.7548,-0.155244,0.760337,-0.580289,0.247087,-0.423320,2.073285,-1.582329,-0.454684,0.058776,0.420446,0.997693,2.367948,0.106599
39,1776147888376,0.433339,-568.3909,104.7344,-363.7742,-0.155240,0.760326,-0.580312,0.247070,-0.423312,2.073272,-1.582406,-0.454684,0.058791,0.420443,0.997717,2.367937,0.106555
40,1776147888387,0.444450,-568.4523,104.7505,-363.8275,-0.155276,0.760338,-0.580279,0.247087,-0.423405,2.073286,-1.582303,-0.454688,0.058781,0.420445,0.997646,2.367978,0.106606
41,1776147888398,0.455561,-568.4168,104.7148,-363.8734,-0.155221,0.760332,-0.580295,0.247103,-0.423253,2.073252,-1.582334,-0.454690,0.058802,0.420430,0.997705,2.367902,0.106570
42,1776147888409,0.466673,-568.4646,104.6083,-363.7771,-0.155227,0.760343,-0.580276,0.247108,-0.423269,2.073279,-1.582277,-0.454686,0.058778,0.420455,0.997680,2.367990,0.106632
43,1776147888420,0.477784,-568.4461,104.5982,-363.7649,-0.155251,0.760353,-0.580272,0.247072,-0.423341,2.073344,-1.582294,-0.454685,0.058797,0.420436,0.997644,2.367938,0.106582
44,1776147888431,0.488895,-568.3589,104.7637,-363.7095,-0.155262,0.760334,-0.580283,0.247099,-0.423364,2.073262,-1.582303,-0.454684,0.058795,0.420441,0.997735,2.367916,0.106570
45,1776147888443,0.500007,-568.4296,104.7242,-363.6441,-0.155244,0.760343,-0.580279,0.247091,-0.423317,2.073296,-1.582300,-0.454686,0.058775,0.420451,0.997670,2.367982,0.106606
46,1776147888454,0.511118,-568.3776,104.6666,-363.7140,-0.155252,0.760315,-0.580311,0.247097,-0.423338,2.073214,-1.582380,-0.454687,0.058792,0.420442,0.997697,2.367932,0.106549
47,1776147888465,0.522229,-568.3332,104.6171,-363.7060,-0.155254,0.760315,-0.580313,0.247092,-0.423344,2.073217,-1.582390,-0.454691,0.058802,0.420429,0.997706,2.367903,0.106529
48,1776147888476,0.533340,-568.3228,104.5839,-363.7854,-0.155240,0.760325,-0.580312,0.247072,-0.423310,2.073267,-1.582405,-0.454696,0.058806,0.420411,0.997718,2.367845,0.106564
49,1776147888487,0.544452,-568.4612,104.5769,-363.7925,-0.155244,0.760273,-0.580341,0.247160,-0.423304,2.073031,-1.582412,-0.454692,0.058800,0.420435,0.997735,2.367915,0.106612
50,1776147888498,0.555563,-568.4513,104.5532,-363.7867,-0.155253,0.760276,-0.580345,0.247136,-0.423334,2.073066,-1.582443,-0.454682,0.058802,0.420439,0.997715,2.367898,0.106540
51,1776147888509,0.566674,-568.2526,104.5190,-363.6907,-0.155242,0.760264,-0.580352,0.247165,-0.423297,2.073000,-1.582437,-0.454687,0.058802,0.420429,0.997696,2.367906,0.106550
52,1776147888520,0.577786,-568.2597,104.4322,-363.7276,-0.155230,0.760274,-0.580350,0.247144,-0.423269,2.073052,-1.582450,-0.454688,0.058794,0.420440,0.997683,2.367937,0.106586
53,1776147888531,0.588897,-568.2675,104.5399,-363.9141,-0.155223,0.760213,-0.580423,0.247167,-0.423243,2.072859,-1.582629,-0.454682,0.058788,0.420449,0.997694,2.367974,0.106519
54,1776147888543,0.600008,-568.5223,104.5675,-363.9179,-0.155186,0.760205,-0.580430,0.247196,-0.423137,2.072808,-1.582626,-0.454688,0.058785,0.420444,0.997698,2.367945,0.106575
55,1776147888554,0.611120,-568.4261,104.6206,-363.8905,-0.155190,0.760225,-0.580425,0.247147,-0.423157,2.072914,-1.582651,-0.454694,0.058787,0.420412,0.997623,2.367872,0.106578
56,1776147888565,0.622231,-568.5767,104.5568,-363.8393,-0.155190,0.760238,-0.580419,0.247121,-0.423164,2.072976,-1.582656,-0.454691,0.058804,0.420420,0.997681,2.367873,0.106549
57,1776147888576,0.633342,-568.5470,104.5755,-363.7635,-0.155154,0.760221,-0.580414,0.247205,-0.423047,2.072841,-1.582574,-0.454686,0.058791,0.420434,0.997687,2.367922,0.106606
58,1776147888587,0.644454,-568.5027,104.5166,-363.7146,-0.155151,0.760230,-0.580411,0.247187,-0.423044,2.072885,-1.582581,-0.454689,0.058799,0.420422,0.997694,2.367856,0.106548
59,1776147888598,0.655565,-568.5308,104.4633,-363.6649,-0.155130,0.760235,-0.580410,0.247187,-0.422986,2.072898,-1.582578,-0.454692,0.058790,0.420435,0.997660,2.367948,0.106529
60,1776147888609,0.666676,-568.3201,104.5133,-363.6680,-0.155147,0.760230,-0.580404,0.247207,-0.423027,2.072863,-1.582546,-0.454685,0.058797,0.420441,0.997693,2.367959,0.106536
61,1776147888620,0.677787,-568.2335,104.5243,-363.6590,-0.155132,0.760238,-0.580408,0.247180,-0.422993,2.072915,-1.582579,-0.454681,0.058797,0.420438,0.997697,2.367919,0.106524
62,1776147888631,0.688898,-568.2175,104.5052,-363.7113,-0.155149,0.760227,-0.580413,0.247192,-0.423037,2.072873,-1.582582,-0.454690,0.058790,0.420440,0.997707,2.367941,0.106585
63,1776147888643,0.700009,-568.2606,104.4091,-363.6167,-0.155110,0.760240,-0.580418,0.247165,-0.422937,2.072936,-1.582618,-0.454684,0.058801,0.420440,0.997736,2.367954,0.106557
64,1776147888654,0.711121,-568.3674,104.5684,-363.6873,-0.155144,0.760235,-0.580408,0.247183,-0.423025,2.072903,-1.582575,-0.454689,0.058790,0.420430,0.997672,2.367903,0.106579
65,1776147888665,0.722232,-568.4261,104.6554,-363.6776,-0.155160,0.760232,-0.580403,0.247197,-0.423065,2.072878,-1.582549,-0.454696,0.058783,0.420424,0.997659,2.367935,0.106574
66,1776147888676,0.733343,-568.5347,104.6848,-363.7258,-0.155214,0.760258,-0.580343,0.247223,-0.423208,2.072921,-1.582364,-0.454685,0.058790,0.420442,0.997708,2.367967,0.106566
67,1776147888687,0.744454,-568.5874,104.6978,-363.6738,-0.155211,0.760236,-0.580368,0.247234,-0.423197,2.072850,-1.582425,-0.454688,0.058798,0.420430,0.997710,2.367888,0.106549
68,1776147888698,0.755565,-568.5361,104.7523,-363.8401,-0.155218,0.760191,-0.580439,0.247202,-0.423221,2.072761,-1.582643,-0.454698,0.058780,0.420429,0.997649,2.367939,0.106605
