XToGlobal1	YToGlobal1	ZToGlobal1
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.526855	-1128.170288	1266.084229
229.476456	-1127.98999	1266.061646
229.353394	-1127.935425	1266.048706
229.353394	-1127.935425	1266.048706
229.251175	-1127.928345	1266.009644
229.157059	-1127.913696	1266.087158
229.031128	-1127.834961	1266.093384
229.031128	-1127.834961	1266.093384
229.031128	-1127.834961	1266.093384
229.031128	-1127.834961	1266.093384
228.970901	-1127.822754	1266.051392
228.804779	-1127.85144	1265.955078
228.804779	-1127.85144	1265.955078
228.671402	-1127.768066	1265.961548
228.671402	-1127.768066	1265.961548
228.671402	-1127.768066	1265.961548
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.440109	-1127.827637	1266.040527
228.428711	-1127.720703	1265.984741
228.428711	-1127.720703	1265.984741
228.428711	-1127.720703	1265.984741
228.428711	-1127.720703	1265.984741
228.265198	-1127.737549	1265.898804
228.265198	-1127.737549	1265.898804
228.265198	-1127.737549	1265.898804
228.027161	-1127.441772	1266.026611
227.914352	-1127.210815	1265.983643
227.914352	-1127.210815	1265.983643
227.914352	-1127.210815	1265.983643
227.99202	-1127.158569	1266.028442
227.99202	-1127.158569	1266.028442
227.99202	-1127.158569	1266.028442
227.851974	-1126.973877	1265.971802
227.718079	-1126.813599	1265.903564
227.56813	-1126.542358	1265.949341
227.582596	-1126.569214	1265.924683
227.419876	-1126.276245	1265.966187
227.251328	-1126.066284	1265.91394
227.255447	-1126.073853	1266.009399
227.079865	-1125.838135	1266.050293
226.934921	-1125.471069	1265.920776
226.845642	-1125.38269	1265.992676
226.703522	-1125.295044	1265.998657
226.44313	-1124.69873	1265.800659
226.445877	-1124.703735	1265.704956
226.144577	-1124.549805	1265.841064
225.949722	-1124.069946	1265.884399
225.64328	-1123.911987	1265.87146
225.544495	-1123.895508	1265.951172
225.257721	-1123.448853	1265.811646
225.113586	-1123.117188	1265.860596
225.055298	-1123.117798	1266.006226
224.763565	-1122.820435	1265.980835
224.463989	-1122.50293	1265.894775
224.125	-1122.47644	1266.024902
223.899261	-1121.90625	1265.964722
223.459717	-1121.803223	1266.040405
223.475388	-1121.710449	1265.908447
222.853928	-1121.161133	1265.861816
222.768066	-1121.046143	1266.064575
222.243866	-1120.90979	1266.203735
222.061249	-1120.477295	1266.043579
221.549728	-1120.259155	1266.054565
221.117065	-1119.982422	1266.088745
220.638885	-1119.585449	1266.265015
220.430817	-1119.380493	1266.220825
219.784439	-1118.914185	1266.152954
219.621567	-1118.784546	1266.234497
219.126678	-1118.374512	1266.33728
218.571945	-1118.022217	1266.306641
218.349915	-1117.781494	1266.299805
217.823349	-1117.605957	1266.344849
217.493362	-1117.38501	1266.084961
217.019501	-1117.174438	1266.233765
216.502792	-1116.681763	1266.165771
216.353027	-1116.769653	1266.425415
215.776825	-1116.536377	1266.803833
215.390518	-1116.467163	1266.876343
214.931931	-1116.258911	1266.824097
214.540756	-1115.967041	1266.856567
214.070984	-1116.042603	1266.774414
213.722656	-1115.708984	1266.820801
213.504578	-1115.801514	1267.084229
213.10643	-1115.529419	1267.232788
212.845383	-1115.368042	1267.217773
212.463486	-1115.229004	1267.25061
212.155426	-1115.163208	1267.358765
211.987457	-1114.932129	1267.235352
211.627899	-1114.874878	1267.366333
211.38974	-1114.758301	1267.309326
211.066772	-1114.381836	1267.373169
210.772766	-1114.344482	1267.317383
210.680878	-1114.344116	1267.275757
210.391037	-1114.133423	1267.188843
210.391037	-1114.133423	1267.188843
210.391037	-1114.133423	1267.188843
210.029114	-1113.993286	1267.140747
209.874969	-1113.79834	1267.198242
209.834183	-1113.637085	1267.248779
209.834183	-1113.637085	1267.248779
209.789795	-1113.707275	1267.178345
209.789795	-1113.707275	1267.178345
209.660522	-1113.650146	1267.169067
209.660522	-1113.650146	1267.169067
209.660522	-1113.650146	1267.169067
209.59761	-1113.633545	1267.119751
209.59761	-1113.633545	1267.119751
209.59761	-1113.633545	1267.119751
209.59761	-1113.633545	1267.119751
209.588913	-1113.711304	1267.133179
209.555435	-1113.756348	1267.136108
209.593216	-1113.905029	1267.0896
209.742462	-1114.085205	1267.167358
209.806244	-1114.296387	1267.191284
209.972595	-1114.236694	1267.184082
210.059982	-1114.236572	1267.223511
210.212692	-1114.325195	1267.221558
210.374527	-1114.300781	1267.192139
210.374527	-1114.300781	1267.192139
210.639099	-1114.556274	1267.174805
210.823013	-1114.515381	1267.132935
211.119766	-1114.666016	1267.142578
211.309036	-1114.815674	1267.163208
211.554916	-1114.894775	1267.084229
211.731033	-1115.104614	1267.145874
211.924759	-1114.961304	1267.111572
212.080048	-1115.029907	1267.122803
212.473511	-1115.140991	1267.10022
212.629517	-1115.114136	1267.070435
212.892593	-1115.365112	1267.171143
213.139709	-1115.393188	1267.101196
213.459671	-1115.715942	1267.053223
213.508148	-1115.618896	1267.005859
214.059479	-1115.709106	1267.036255
214.059479	-1115.709106	1267.036255
214.221344	-1115.627686	1266.900879
214.653397	-1115.805298	1266.95166
214.789261	-1116.063965	1266.998779
215.242645	-1116.138306	1266.782959
215.358017	-1116.11853	1266.532227
215.656738	-1116.214844	1266.69519
215.915939	-1116.312744	1266.734985
216.084534	-1116.231812	1266.486938
216.396179	-1116.470825	1266.510254
216.50029	-1116.582886	1266.6073
216.874161	-1116.744629	1266.533203
217.050262	-1116.930542	1266.567871
217.236267	-1116.934937	1266.525757
217.574799	-1117.073486	1266.560547
217.718033	-1117.245728	1266.539551
217.718033	-1117.245728	1266.539551
218.258072	-1117.258301	1266.348999
218.403946	-1117.182617	1266.468262
218.403946	-1117.182617	1266.468262
218.680908	-1117.296021	1266.367554
218.806473	-1117.33667	1266.102173
218.953903	-1117.259155	1266.109497
219.000046	-1117.186646	1266.181885
219.207809	-1117.444824	1266.131104
219.493652	-1117.703491	1266.079834
219.493759	-1117.705078	1266.006836
219.578583	-1117.702515	1266.140015
219.809433	-1117.801514	1266.063477
219.935776	-1117.8573	1266.074341
219.935776	-1117.8573	1266.074341
219.989075	-1117.874756	1266.088867
219.989075	-1117.874756	1266.088867
220.156982	-1117.818848	1266.073975
220.293091	-1117.900269	1266.071411
220.498306	-1117.953247	1266.119995
220.488251	-1117.93396	1266.043213
220.488251	-1117.93396	1266.043213
220.546509	-1117.951172	1266.088745
220.546509	-1117.951172	1266.088745
220.546509	-1117.951172	1266.088745
220.546509	-1117.951172	1266.088745
220.546509	-1117.951172	1266.088745
220.686722	-1118.0354	1266.085938
220.786316	-1118.053589	1266.007446
220.786316	-1118.053589	1266.007446
220.847778	-1118.072021	1266.05542
220.847778	-1118.072021	1266.05542
221.05162	-1118.126587	1266.102417
221.041306	-1118.020996	1266.045044
221.041306	-1118.020996	1266.045044
221.041306	-1118.020996	1266.045044
221.069611	-1117.977661	1266.041748
221.069611	-1117.977661	1266.041748
221.079514	-1117.89917	1266.029297
221.14624	-1117.919434	1266.081665
221.135849	-1117.899414	1265.796021
221.135849	-1117.899414	1265.796021
221.125107	-1117.790405	1265.736816
221.125107	-1117.790405	1265.736816
221.125107	-1117.790405	1265.736816
221.125107	-1117.790405	1265.736816
221.108856	-1117.504272	1265.703125
221.167694	-1117.521973	1265.749268
221.045135	-1117.371704	1265.756836
221.045135	-1117.371704	1265.756836
220.986511	-1117.335327	1265.622437
220.986511	-1117.335327	1265.622437
220.769638	-1117.174683	1265.631226
220.658188	-1117.154053	1265.719482
220.658188	-1117.154053	1265.719482
220.518311	-1117.069702	1265.722046
220.518311	-1117.069702	1265.722046
220.518311	-1117.069702	1265.722046
220.527802	-1116.994019	1265.709839
220.527802	-1116.994019	1265.709839
220.296738	-1116.930542	1265.622559
220.299683	-1116.935669	1265.526489
220.299683	-1116.935669	1265.526489
220.297256	-1116.931396	1265.383789
220.297256	-1116.931396	1265.383789
220.202393	-1116.913452	1265.45874
220.169846	-1116.773438	1265.501587
220.169846	-1116.773438	1265.501587
220.169846	-1116.773438	1265.501587
220.030746	-1116.767334	1265.515869
220.030746	-1116.767334	1265.515869
220.030746	-1116.767334	1265.515869
220.030746	-1116.767334	1265.515869
220.030746	-1116.767334	1265.515869
220.030746	-1116.767334	1265.515869
220.030746	-1116.767334	1265.515869
219.983917	-1116.840698	1265.442871
219.855789	-1116.784058	1265.43103
219.765686	-1116.781982	1265.392822
219.765686	-1116.781982	1265.392822
219.765686	-1116.781982	1265.392822
219.66188	-1116.762451	1265.474731
219.66188	-1116.762451	1265.474731
219.698029	-1116.917725	1265.427124
219.698029	-1116.917725	1265.427124
219.698029	-1116.917725	1265.427124
219.698029	-1116.917725	1265.427124
219.698029	-1116.917725	1265.427124
219.624252	-1117.037842	1265.450806
219.561691	-1117.019653	1265.402222
219.561691	-1117.019653	1265.402222
219.50827	-1117.178589	1265.458252
219.50827	-1117.178589	1265.458252
219.50827	-1117.178589	1265.458252
219.518677	-1117.283569	1265.515503
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.472748	-1117.355347	1265.444092
219.606735	-1117.436035	1265.441772
219.645538	-1117.201538	1265.197144
219.879166	-1117.276245	1265.120117
219.944809	-1117.001831	1265.146606
220.127167	-1117.004517	1265.103149
220.269348	-1116.952148	1265.096802
220.569199	-1117.032104	1265.16626
220.877045	-1116.934814	1264.963989
221.086227	-1116.764404	1265.083008
221.601807	-1116.843018	1265.06958
221.785004	-1116.723267	1265.211914
222.353851	-1116.65564	1265.006836
222.651108	-1116.325562	1265.093018
223.097076	-1116.393311	1264.721924
223.68074	-1116.319824	1264.549316
224.348099	-1116.22998	1264.566162
225.019089	-1116.294434	1264.460083
225.565735	-1115.927124	1263.980957
226.371674	-1115.948608	1263.810425
227.14798	-1115.833252	1263.75293
227.925644	-1115.848633	1263.347534
228.918549	-1115.777588	1263.322266
229.865372	-1115.800659	1262.744507
230.976059	-1115.786621	1262.616211
231.994858	-1115.770264	1262.01062
233.269211	-1115.835205	1261.821777
234.495056	-1115.870361	1261.266602
235.778076	-1115.880737	1261.108032
237.069763	-1115.803955	1260.140747
238.464996	-1115.890259	1260.040894
239.901306	-1115.8125	1258.970703
241.434204	-1115.820557	1258.420654
242.991623	-1115.884521	1257.71936
244.625259	-1115.949463	1257.478394
246.318985	-1115.918091	1256.524902
247.920471	-1116.05603	1255.953857
249.665268	-1116.076172	1255.196411
251.435883	-1116.324341	1254.682861
253.21756	-1116.321533	1253.779297
255.050156	-1116.534546	1253.341064
257.038116	-1116.861084	1252.415039
258.990479	-1117.075562	1251.819946
261.006805	-1117.688965	1250.710083
262.963043	-1117.853149	1250.099854
264.982849	-1118.203125	1249.119385
267.065582	-1118.660889	1248.634644
269.1745	-1118.84668	1247.659668
271.147491	-1119.292725	1246.977539
273.315735	-1119.725342	1246.07373
275.3237	-1119.735718	1245.296509
277.464081	-1120.421875	1244.628662
279.625122	-1120.602661	1243.736816
281.804138	-1120.89624	1242.785645
283.994415	-1121.509888	1241.991699
286.182892	-1121.581421	1240.905884
288.305145	-1121.785645	1239.816772
290.584015	-1122.362793	1238.890747
292.831451	-1122.888916	1238.015259
295.035217	-1123.014404	1237.060913
297.260681	-1123.407349	1235.963135
299.484192	-1123.757568	1234.773926
301.793335	-1124.280029	1233.797485
304.056305	-1124.411377	1232.688965
306.394104	-1124.934814	1231.563721
308.651215	-1125.17395	1230.416626
310.937683	-1125.718384	1229.111938
313.253448	-1125.992065	1228.115112
315.636627	-1126.662476	1227.153809
317.815308	-1126.892456	1225.733643
320.157623	-1127.685913	1224.686279
322.437592	-1128.002441	1223.497681
324.88147	-1128.756348	1222.361206
327.091278	-1129.310913	1220.981567
329.550354	-1130.136841	1219.960571
331.8013	-1130.849121	1218.758667
334.085602	-1131.569458	1217.542847
336.400269	-1132.54541	1216.483887
338.79953	-1133.576782	1215.802979
340.91626	-1134.382324	1214.672974
342.980743	-1135.680176	1213.575317
345.251709	-1136.389282	1212.859619
347.421417	-1137.586792	1212.051025
349.272308	-1139.036499	1211.34436
351.49942	-1139.960938	1210.700439
353.547852	-1141.160522	1210.47876
355.425842	-1142.289551	1209.725342
357.447479	-1143.387817	1209.763306
359.439178	-1144.862305	1209.852051
361.071533	-1146.117676	1209.414062
362.896637	-1147.399658	1209.437744
364.396576	-1148.807495	1209.083252
366.01712	-1150.229492	1209.167969
367.79248	-1151.456055	1209.133423
369.237457	-1152.972168	1209.330688
370.699097	-1154.320679	1209.167603
372.272491	-1155.78418	1209.414551
373.65625	-1157.447266	1209.304321
375.198486	-1158.789917	1209.641357
376.681335	-1160.721802	1209.788086
378.019989	-1162.27417	1210.044556
379.697571	-1163.982178	1210.013306
381.033539	-1165.709839	1210.276978
382.239838	-1167.360596	1210.539062
383.455261	-1168.811401	1210.527222
384.831299	-1170.39917	1210.93103
385.925232	-1171.955933	1211.028076
387.058777	-1173.649292	1211.333984
388.274445	-1175.128906	1211.348145
389.360809	-1176.699707	1211.848022
390.38913	-1178.292358	1211.950195
391.422363	-1179.795898	1212.455078
392.29837	-1181.347534	1212.497314
393.19751	-1182.85498	1212.589111
393.766541	-1184.65332	1212.998779
394.568756	-1186.159546	1213.287598
394.985657	-1188.153687	1213.840698
395.670898	-1189.528442	1214.014282
396.136658	-1191.088013	1214.924683
396.689331	-1192.603516	1215.177856
397.125763	-1194.090332	1215.953003
397.541962	-1195.577393	1216.557495
397.83667	-1197.218994	1217.634888
397.986572	-1198.717896	1218.069214
398.000305	-1200.18103	1219.063843
397.934509	-1201.58667	1219.733398
397.868774	-1202.763062	1220.448853
397.846344	-1204.242798	1221.0354
397.784821	-1205.562988	1222.286255
397.700043	-1206.628174	1223.012207
397.555969	-1207.99646	1223.937866
397.081635	-1209.030273	1224.949097
396.842102	-1210.354736	1225.679321
