FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776232013396,5.344521,-420.5277,-126.7449,473.5263,0.129408,-0.702888,0.695606,0.073041,0.388664,-2.111055,2.089186,-0.420021,-0.128698,0.472248,0.505048,3.064153,-0.061478
2,1776232013407,5.355632,-420.5317,-126.7387,473.5225,0.129429,-0.702849,0.695638,0.073072,0.388719,-2.110901,2.089242,-0.420025,-0.128692,0.472244,0.505030,3.064153,-0.061498
3,1776232013418,5.366743,-420.5391,-126.7541,473.5062,0.129438,-0.702873,0.695615,0.073050,0.388752,-2.110998,2.089199,-0.420033,-0.128707,0.472228,0.505040,3.064101,-0.061419
4,1776232013429,5.377855,-420.5365,-126.7748,473.4956,0.129400,-0.702890,0.695606,0.073034,0.388641,-2.111070,2.089194,-0.420031,-0.128727,0.472218,0.505002,3.064094,-0.061412
5,1776232013440,5.388966,-420.5286,-126.7790,473.5075,0.129312,-0.702902,0.695605,0.073084,0.388365,-2.111044,2.089127,-0.420023,-0.128731,0.472230,0.505132,3.064080,-0.061427
6,1776232013452,5.400077,-420.5042,-126.8517,473.5157,0.129444,-0.702878,0.695605,0.073081,0.388764,-2.110976,2.089131,-0.420000,-0.128801,0.472240,0.505023,3.064127,-0.061371
7,1776232013463,5.411188,-420.4755,-126.9163,473.5130,0.129392,-0.702884,0.695616,0.073010,0.388622,-2.111083,2.089254,-0.419973,-0.128863,0.472239,0.505023,3.064116,-0.061392
8,1776232013474,5.422299,-420.4535,-126.9785,473.5274,0.129446,-0.702945,0.695529,0.073153,0.388752,-2.111086,2.088815,-0.419952,-0.128923,0.472255,0.504955,3.064169,-0.061398
9,1776232013485,5.433411,-420.4022,-127.1540,473.5100,0.129480,-0.702952,0.695526,0.073055,0.388878,-2.111230,2.088927,-0.419905,-0.129092,0.472242,0.504880,3.064175,-0.061326
10,1776232013496,5.444522,-420.3612,-127.2527,473.5245,0.129485,-0.702934,0.695540,0.073082,0.388887,-2.111143,2.088937,-0.419866,-0.129187,0.472259,0.504808,3.064204,-0.061316
11,1776232013507,5.455633,-420.2809,-127.4752,473.5178,0.129498,-0.702954,0.695520,0.073065,0.388928,-2.111223,2.088898,-0.419791,-0.129401,0.472258,0.504884,3.064195,-0.061289
12,1776232013518,5.466744,-420.2488,-127.5967,473.5007,0.129357,-0.702919,0.695587,0.073018,0.388518,-2.111176,2.089155,-0.419762,-0.129518,0.472244,0.504961,3.064198,-0.061324
13,1776232013529,5.477856,-420.1917,-127.7691,473.4943,0.129380,-0.702886,0.695612,0.073047,0.388580,-2.111042,2.089196,-0.419709,-0.129684,0.472242,0.504939,3.064165,-0.061278
14,1776232013540,5.488967,-420.0559,-128.1083,473.5015,0.129330,-0.702896,0.695614,0.073025,0.388435,-2.111099,2.089229,-0.419581,-0.130010,0.472258,0.504982,3.064182,-0.061275
15,1776232013552,5.500078,-419.9858,-128.3110,473.4872,0.129331,-0.702838,0.695667,0.073067,0.388426,-2.110873,2.089336,-0.419516,-0.130205,0.472249,0.504984,3.064223,-0.061193
16,1776232013563,5.511189,-419.9247,-128.5126,473.4630,0.129510,-0.702923,0.695563,0.072934,0.388995,-2.111295,2.089188,-0.419460,-0.130399,0.472230,0.504920,3.064121,-0.061210
17,1776232013574,5.522300,-419.7485,-128.9527,473.4765,0.129452,-0.702842,0.695653,0.072951,0.388819,-2.111032,2.089437,-0.419294,-0.130822,0.472255,0.504938,3.064234,-0.061260
18,1776232013585,5.533412,-419.6623,-129.1909,473.4532,0.129492,-0.702883,0.695602,0.072980,0.388931,-2.111117,2.089249,-0.419214,-0.131051,0.472238,0.504915,3.064193,-0.061217
19,1776232013596,5.544523,-419.4656,-129.6750,473.4514,0.129496,-0.702849,0.695635,0.072984,0.388942,-2.111010,2.089341,-0.419029,-0.131516,0.472249,0.504941,3.064235,-0.061138
20,1776232013607,5.555634,-419.3760,-129.9339,473.4315,0.129409,-0.702862,0.695629,0.073071,0.388662,-2.110939,2.089216,-0.418946,-0.131765,0.472236,0.504995,3.064214,-0.061099
21,1776232013618,5.566746,-419.2526,-130.2089,473.4461,0.129720,-0.702943,0.695518,0.072800,0.389657,-2.111523,2.089220,-0.418829,-0.132029,0.472258,0.504874,3.064240,-0.061185
22,1776232013629,5.577857,-419.0463,-130.7636,473.4062,0.129763,-0.702885,0.695572,0.072764,0.389795,-2.111395,2.089427,-0.418637,-0.132562,0.472233,0.504799,3.064207,-0.061158
