FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
701,1776157397657,7.78908,-454.8102,59.4933,420.4926,-0.168235,0.748727,-0.588826,0.253752,-0.457164,2.034605,-1.600087,-0.4544378042702508,0.0582172828195588,0.4202179369491716,0.980188,2.357875,0.056937
702,1776157397668,7.800191,-454.8138,59.5173,420.4523,-0.168173,0.748479,-0.589074,0.253949,-0.456950,2.033725,-1.600600,-0.454440,0.058240,0.420174,0.980597,2.357486,0.056227
703,1776157397679,7.811302,-454.8051,59.5132,420.4905,-0.168053,0.748390,-0.589186,0.254029,-0.456607,2.033401,-1.600838,-0.454432,0.058236,0.420215,0.980876,2.357389,0.056012
704,1776157397690,7.822413,-454.8012,59.5110,420.4795,-0.168272,0.748311,-0.589136,0.254230,-0.457153,2.032976,-1.600537,-0.454428,0.058234,0.420203,0.981030,2.357278,0.055721
705,1776157397701,7.833525,-454.8161,59.5291,420.4445,-0.168268,0.748005,-0.589326,0.254696,-0.457034,2.031656,-1.600667,-0.454441,0.058251,0.420166,0.981331,2.356892,0.055195
706,1776157397712,7.844636,-454.8206,59.5550,420.4466,-0.168044,0.748337,-0.589180,0.254205,-0.456539,2.033073,-1.600675,-0.454445,0.058276,0.420168,0.981490,2.356815,0.055018
707,1776157397736,7.868508,-454.8216,59.6232,420.4276,-0.168157,0.747837,-0.589587,0.254657,-0.456742,2.031242,-1.601409,-0.454444,0.058341,0.420146,0.981974,2.356392,0.054160
708,1776157397747,7.879619,-454.8091,59.6434,420.4481,-0.168143,0.747780,-0.589575,0.254864,-0.456652,2.030869,-1.601205,-0.454432,0.058360,0.420168,0.982327,2.356225,0.053707
709,1776157397758,7.890730,-454.8126,59.6598,420.4297,-0.168170,0.747683,-0.589688,0.254867,-0.456726,2.030603,-1.601510,-0.454435,0.058376,0.420148,0.982346,2.356091,0.053423
710,1776157397769,7.901842,-454.8249,59.6890,420.4006,-0.168124,0.747799,-0.589605,0.254747,-0.456631,2.031044,-1.601384,-0.454445,0.058403,0.420116,0.982472,2.355950,0.053170
711,1776157397780,7.912953,-454.8106,59.7056,420.4274,-0.168217,0.747532,-0.589778,0.255071,-0.456806,2.029980,-1.601586,-0.454431,0.058420,0.420145,0.982746,2.355869,0.052651
712,1776157397792,7.924064,-454.8177,59.7488,420.4111,-0.168215,0.747295,-0.590042,0.255157,-0.456779,2.029245,-1.602231,-0.454437,0.058461,0.420127,0.982770,2.355807,0.052343
713,1776157397803,7.935176,-454.8145,59.7609,420.3911,-0.168248,0.747293,-0.589994,0.255251,-0.456848,2.029144,-1.602024,-0.454433,0.058472,0.420105,0.982863,2.355618,0.051833
714,1776157397814,7.946287,-454.8145,59.7609,420.3911,-0.168268,0.747222,-0.590021,0.255382,-0.456871,2.028813,-1.601989,-0.454433,0.058472,0.420105,0.982863,2.355618,0.051833
715,1776157397825,7.957398,-454.8229,59.8124,420.3833,-0.168292,0.747139,-0.590123,0.255374,-0.456938,2.028596,-1.602274,-0.454440,0.058521,0.420096,0.983126,2.355461,0.051297
716,1776157397836,7.968509,-454.8019,59.8149,420.4059,-0.168301,0.746907,-0.590365,0.255489,-0.456934,2.027845,-1.602836,-0.454420,0.058524,0.420120,0.983245,2.355468,0.050803
