FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
701,1776157397657,7.78908,-457.11355289413365,61.67132470485567,430.34206478427615,-0.168235,0.748727,-0.588826,0.253752,-0.457164,2.034605,-1.600087,-0.4544378042702508,0.0582172828195588,0.4202179369491716,0.980188,2.357875,0.056937
702,1776157397668,7.800191,-457.11734530378845,61.69857927046531,430.30392177527995,-0.168173,0.748479,-0.589074,0.253949,-0.45695,2.033725,-1.6006,-0.4544396705576093,0.0582399443118643,0.4201741528258937,0.980597,2.357486,0.056227
703,1776157397679,7.811302,-457.1066508567909,61.69081133066335,430.3410644078641,-0.168053,0.74839,-0.589186,0.254029,-0.456607,2.033401,-1.600838,-0.4544321034892426,0.058236351584506,0.420215371357073,0.980876,2.357389,0.056012
704,1776157397690,7.822413,-457.103714665327,61.68914724121897,430.3296815375892,-0.168272,0.748311,-0.589136,0.25423,-0.457153,2.032976,-1.600537,-0.4544279680856363,0.0582342559367792,0.4202033925010249,0.98103,2.357278,0.055721
705,1776157397701,7.833525,-457.118982083708,61.711096901871315,430.29719251454725,-0.168268,0.748005,-0.589326,0.254696,-0.457034,2.031656,-1.600667,-0.4544414672417549,0.0582511393871983,0.4201656732755324,0.981331,2.356892,0.055195
706,1776157397712,7.844636,-457.12084367703227,61.73703296391897,430.3014039871189,-0.168044,0.748337,-0.58918,0.254205,-0.456539,2.033073,-1.600675,-0.4544454227420644,0.0582757966387979,0.4201677334563922,0.98149,2.356815,0.055018
707,1776157397736,7.868508,-457.1165137445361,61.80633325925493,430.2873930376677,-0.168157,0.747837,-0.589587,0.254657,-0.456742,2.031242,-1.601409,-0.4544442779184796,0.0583408071209654,0.4201464367312568,0.981974,2.356392,0.05416
708,1776157397747,7.879619,-457.10099301074433,61.823740152001335,430.3083916815931,-0.168143,0.74778,-0.589575,0.254864,-0.456652,2.030869,-1.601205,-0.4544319840522072,0.0583603657781684,0.420168154735083,0.982327,2.356225,0.053707
709,1776157397758,7.89073,-457.10400382565564,61.84171192386174,430.2914941649945,-0.16817,0.747683,-0.589688,0.254867,-0.456726,2.030603,-1.60151,-0.4544345218587978,0.0583758512112284,0.4201481542745199,0.982346,2.356091,0.053423
710,1776157397769,7.901842,-457.11523583961065,61.87403454706419,430.26534641810997,-0.168124,0.747799,-0.589605,0.254747,-0.456631,2.031044,-1.601384,-0.4544452920040872,0.0584034169165883,0.42011649261702,0.982472,2.35595,0.05317
711,1776157397780,7.912953,-457.09779530107255,61.887226286356025,430.29230866815703,-0.168217,0.747532,-0.589778,0.255071,-0.456806,2.02998,-1.601586,-0.4544313874546213,0.0584196107590593,0.4201451117041122,0.982746,2.355869,0.052651
712,1776157397792,7.924064,-457.1018182476107,61.931965882537796,430.27956965680164,-0.168215,0.747295,-0.590042,0.255157,-0.456779,2.029245,-1.602231,-0.4544370840823087,0.0584606234714988,0.4201270766060134,0.98277,2.355807,0.052343
713,1776157397803,7.935176,-457.09870021614233,61.94527934410141,430.26038461514736,-0.168248,0.747293,-0.589994,0.255251,-0.456848,2.029144,-1.602024,-0.4544329906709586,0.0584721585480297,0.4201053176572305,0.982863,2.355618,0.051833
714,1776157397814,7.946287,-457.09870021614233,61.94527934410141,430.26038461514736,-0.168268,0.747222,-0.590021,0.255382,-0.456871,2.028813,-1.601989,-0.4544329906709586,0.0584721585480297,0.4201053176572305,0.982863,2.355618,0.051833
715,1776157397825,7.957398,-457.1026348247365,61.99770158288886,430.2568095849078,-0.168292,0.747139,-0.590123,0.255374,-0.456938,2.028596,-1.602274,-0.4544399879872133,0.0585211099636603,0.420096451867428,0.983126,2.355461,0.051297
716,1776157397836,7.968509,-457.08021431025134,61.996625445057504,430.2780118594987,-0.168301,0.746907,-0.590365,0.255489,-0.456934,2.027845,-1.602836,-0.4544196331486143,0.0585238932326438,0.4201204058041176,0.983245,2.355468,0.050803
717,1776157397847,7.97962,-457.0878342674135,62.03253658228971,430.2670780786267,-0.1683,0.746824,-0.590434,0.255572,-0.456913,2.027532,-1.602955,-0.4544285117076606,0.0585563164507956,0.4201049687639727,0.983273,2.355354,0.05049
