FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
701,1776157463982,7.789374,-454.8323,58.5258,420.0496,-0.205027,0.742796,-0.582011,0.259771,-0.555423,2.012252,-1.57668,-0.45817,0.061852,0.421818,0.906673,2.319451,0.034141
702,1776157463993,7.800485,-454.8225,58.5609,420.0444,-0.204955,0.742765,-0.582070,0.259786,-0.555224,2.012152,-1.576828,-0.458160,0.061887,0.421813,0.906983,2.319339,0.033843
703,1776157464004,7.811596,-454.8137,58.5819,420.0414,-0.205182,0.742548,-0.582112,0.260132,-0.555741,2.011207,-1.576661,-0.458151,0.061908,0.421810,0.907092,2.319191,0.033338
704,1776157464015,7.822708,-454.8017,58.6030,420.0623,-0.204978,0.742544,-0.582246,0.260002,-0.555224,2.011331,-1.577131,-0.458139,0.061929,0.421831,0.907256,2.319185,0.033071
705,1776157464026,7.833819,-454.8052,58.6319,420.0152,-0.205040,0.742381,-0.582384,0.260112,-0.555362,2.010775,-1.577414,-0.458142,0.061958,0.421784,0.907429,2.318898,0.032612
706,1776157464037,7.844930,-454.8073,58.6499,420.0222,-0.205085,0.742303,-0.582449,0.260155,-0.555470,2.010519,-1.577556,-0.458144,0.061976,0.421791,0.907508,2.318873,0.032361
707,1776157464049,7.856041,-454.7954,58.6780,420.0291,-0.205026,0.742134,-0.582629,0.260279,-0.555275,2.009934,-1.577945,-0.458132,0.062004,0.421798,0.907636,2.318842,0.032057
708,1776157464060,7.867153,-454.7995,58.6920,420.0281,-0.205068,0.742083,-0.582646,0.260355,-0.555367,2.009717,-1.577928,-0.458136,0.062018,0.421797,0.907817,2.318692,0.031657
709,1776157464071,7.878264,-454.7998,58.7220,420.0131,-0.205019,0.741971,-0.582806,0.260353,-0.555234,2.009417,-1.578362,-0.458136,0.062048,0.421782,0.907932,2.318602,0.031331
710,1776157464082,7.889375,-454.8059,58.7389,420.0061,-0.204971,0.741805,-0.583020,0.260385,-0.555096,2.008932,-1.578917,-0.458142,0.062065,0.421775,0.907982,2.318530,0.030803
711,1776157464093,7.900486,-454.8031,58.7609,420.0000,-0.204988,0.741796,-0.582993,0.260456,-0.555121,2.008837,-1.578786,-0.458139,0.062087,0.421769,0.908152,2.318455,0.030619
712,1776157464104,7.911601,-454.8024,58.7869,419.9810,-0.205002,0.741671,-0.583084,0.260597,-0.555119,2.008354,-1.578920,-0.458138,0.062113,0.421750,0.908184,2.318384,0.030256
713,1776157464115,7.922712,-454.7951,58.8689,419.9618,-0.205019,0.741453,-0.583298,0.260725,-0.555131,2.007630,-1.579394,-0.458130,0.062195,0.421731,0.908488,2.318251,0.029680
714,1776157464126,7.933823,-454.7831,58.8790,419.9747,-0.205014,0.741351,-0.583392,0.260811,-0.555093,2.007265,-1.579580,-0.458118,0.062205,0.421744,0.908504,2.318275,0.029378
715,1776157464137,7.944935,-454.7865,58.9229,419.9476,-0.204995,0.741412,-0.583377,0.260684,-0.555077,2.007563,-1.579643,-0.458121,0.062249,0.421717,0.908703,2.318158,0.028798
716,1776157464149,7.956046,-454.7767,58.9490,419.9425,-0.205036,0.741306,-0.583435,0.260824,-0.555147,2.007131,-1.579684,-0.458111,0.062275,0.421712,0.908811,2.318031,0.028532
717,1776157464160,7.967157,-454.7808,58.9640,419.9415,-0.205070,0.741206,-0.583489,0.260962,-0.555199,2.006717,-1.579719,-0.458115,0.062290,0.421711,0.908857,2.318007,0.028206
718,1776157464171,7.978269,-454.7642,59.0151,419.9404,-0.204950,0.740961,-0.583741,0.261188,-0.554810,2.005823,-1.580218,-0.458098,0.062341,0.421710,0.909209,2.317882,0.027626
719,1776157464182,7.989380,-454.7554,59.0512,419.9473,-0.205053,0.740854,-0.583816,0.261244,-0.555074,2.005474,-1.580375,-0.458089,0.062377,0.421717,0.909348,2.317860,0.027257
720,1776157464193,8.000491,-454.7710,59.1029,419.8822,-0.205043,0.740764,-0.583867,0.261394,-0.555005,2.005076,-1.580392,-0.458104,0.062429,0.421652,0.909438,2.317617,0.026635
721,1776157464204,8.011603,-454.7622,59.1380,419.8911,-0.205121,0.740699,-0.583914,0.261408,-0.555212,2.004888,-1.580510,-0.458095,0.062464,0.421661,0.909511,2.317568,0.026303
722,1776157464215,8.022714,-454.7544,59.1761,419.9030,-0.204965,0.740479,-0.584221,0.261468,-0.554771,2.004230,-1.581292,-0.458087,0.062502,0.421673,0.909677,2.317560,0.025925
723,1776157464226,8.033825,-454.7366,59.2222,419.9219,-0.205107,0.740432,-0.584219,0.261495,-0.555148,2.004075,-1.581264,-0.458069,0.062548,0.421692,0.909899,2.317486,0.025246
724,1776157464237,8.044936,-454.7280,59.2783,419.9237,-0.205098,0.740224,-0.584407,0.261672,-0.555075,2.003329,-1.581628,-0.458060,0.062604,0.421694,0.910057,2.317443,0.024822
725,1776157464249,8.056048,-454.7381,59.2752,419.9008,-0.205190,0.740190,-0.584425,0.261657,-0.555326,2.003253,-1.581690,-0.458070,0.062601,0.421671,0.910096,2.317395,0.024562
726,1776157464260,8.067159,-454.7277,59.3542,419.8846,-0.205261,0.739870,-0.584688,0.261918,-0.555444,2.002120,-1.582190,-0.458059,0.062680,0.421655,0.910280,2.317195,0.023759
727,1776157464271,8.078270,-454.7319,59.3682,419.8676,-0.205248,0.739833,-0.584798,0.261784,-0.555448,2.002157,-1.582597,-0.458063,0.062694,0.421638,0.910345,2.317138,0.023405
728,1776157464282,8.089381,-454.7153,59.4233,419.8664,-0.205260,0.739695,-0.584909,0.261919,-0.555442,2.001644,-1.582786,-0.458046,0.062749,0.421637,0.910558,2.317053,0.022680
729,1776157464293,8.100493,-454.7158,59.4662,419.8323,-0.205395,0.739551,-0.584983,0.262054,-0.555768,2.001118,-1.582877,-0.458046,0.062792,0.421603,0.910629,2.316916,0.022267
730,1776157464304,8.111604,-454.7158,59.4662,419.8323,-0.205392,0.739376,-0.585114,0.262257,-0.555702,2.000435,-1.583067,-0.458046,0.062792,0.421603,0.910629,2.316916,0.022267
731,1776157464315,8.122715,-454.7117,59.5571,419.7662,-0.205322,0.739228,-0.585327,0.262253,-0.555515,2.000039,-1.583648,-0.458041,0.062883,0.421537,0.910913,2.316554,0.021071
732,1776157464326,8.133827,-454.6968,59.5863,419.7880,-0.205405,0.739069,-0.585429,0.262409,-0.555694,1.999450,-1.583797,-0.458026,0.062912,0.421559,0.911045,2.316600,0.020629
733,1776157464337,8.144938,-454.6943,59.6302,419.7399,-0.205409,0.738892,-0.585609,0.262503,-0.555680,1.998873,-1.584208,-0.458023,0.062956,0.421511,0.911173,2.316408,0.019863
734,1776157464349,8.156049,-454.6735,59.6654,419.7578,-0.205376,0.738762,-0.585786,0.262500,-0.555591,1.998525,-1.584688,-0.458002,0.062991,0.421529,0.911301,2.316429,0.019394
735,1776157464360,8.167160,-454.6648,59.7044,419.7477,-0.205410,0.738643,-0.585877,0.262605,-0.555652,1.998095,-1.584851,-0.457993,0.063030,0.421519,0.911446,2.316352,0.019000
736,1776157464371,8.178272,-454.6402,59.7596,419.7494,-0.205459,0.738416,-0.586089,0.262734,-0.555749,1.997349,-1.585319,-0.457968,0.063085,0.421521,0.911627,2.316279,0.018229
737,1776157464382,8.189383,-454.6273,59.7827,419.7603,-0.205461,0.738265,-0.586254,0.262786,-0.555739,1.996890,-1.585724,-0.457955,0.063108,0.421532,0.911719,2.316276,0.017766
738,1776157464393,8.200494,-454.6120,59.8587,419.7191,-0.205525,0.738167,-0.586282,0.262949,-0.555867,1.996457,-1.585667,-0.457939,0.063184,0.421491,0.911876,2.316046,0.016917
