FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
0,1776233078616,0,-387.3980,46.9192,335.3996,0.662945,-0.295597,0.306563,0.615749,1.527005,-0.680868,0.706126,-0.385475,0.046297,0.335756,-2.253475,2.090805,-0.146092
1,1776233078627,0.011111,-387.3880,46.9314,335.3929,0.663014,-0.295403,0.306770,0.615664,1.527216,-0.680444,0.706628,-0.385465,0.046309,0.335749,-2.253475,2.090779,-0.146224
2,1776233078638,0.022223,-387.3880,46.9314,335.3929,0.663144,-0.295504,0.306656,0.615532,1.527599,-0.680714,0.706403,-0.385465,0.046309,0.335749,-2.253475,2.090779,-0.146224
3,1776233078649,0.033334,-387.3658,46.9278,335.3790,0.663056,-0.295342,0.306779,0.615643,1.527328,-0.680310,0.706655,-0.385443,0.046305,0.335735,-2.253457,2.090735,-0.146303
4,1776233078660,0.044445,-387.3340,46.9582,335.3708,0.662979,-0.295330,0.306791,0.615726,1.527097,-0.680260,0.706658,-0.385411,0.046335,0.335726,-2.253408,2.090817,-0.146399
5,1776233078671,0.055556,-387.3297,46.9516,335.3497,0.663040,-0.295465,0.306748,0.615617,1.527306,-0.680601,0.706592,-0.385407,0.046328,0.335705,-2.253372,2.090780,-0.146449
6,1776233078682,0.066667,-387.3208,46.9512,335.3687,0.663059,-0.295393,0.306670,0.615670,1.527317,-0.680421,0.706395,-0.385398,0.046328,0.335724,-2.253440,2.090797,-0.146366
7,1776233078693,0.077779,-387.3207,46.9401,335.3775,0.663025,-0.295385,0.306759,0.615666,1.527243,-0.680403,0.706602,-0.385398,0.046317,0.335733,-2.253479,2.090731,-0.146377
8,1776233078704,0.088890,-387.3227,46.9390,335.3785,0.663096,-0.295374,0.306652,0.615648,1.527417,-0.680382,0.706360,-0.385400,0.046316,0.335734,-2.253475,2.090753,-0.146284
9,1776233078716,0.100001,-387.3226,46.9381,335.3745,0.663091,-0.295416,0.306668,0.615626,1.527418,-0.680486,0.706405,-0.385400,0.046315,0.335730,-2.253470,2.090722,-0.146330
