FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776231666346,2.333381,-422.4490,-80.3809,458.6060,0.35135,-0.610452,0.617302,0.350486,0.909885,-1.580875,1.598615,-0.422002,-0.079911,0.459442,0.658598,-3.041235,0.079231
2,1776231666357,2.344493,-422.4462,-80.5859,458.5842,0.351247,-0.610497,0.617227,0.350643,0.909549,-1.580873,1.598301,-0.422005,-0.080102,0.459429,0.658698,-3.041257,0.079170
3,1776231666368,2.355604,-422.4326,-80.7781,458.6014,0.351261,-0.610570,0.617146,0.350644,0.909586,-1.581061,1.598090,-0.421996,-0.080282,0.459454,0.658753,-3.041141,0.079196
4,1776231666379,2.366715,-422.4089,-81.2318,458.6026,0.351301,-0.610443,0.617251,0.350639,0.909692,-1.580736,1.598367,-0.421984,-0.080706,0.459474,0.658845,-3.041108,0.079142
5,1776231666390,2.377827,-422.4125,-81.4530,458.5719,0.351310,-0.610410,0.617279,0.350637,0.909715,-1.580653,1.598441,-0.421994,-0.080912,0.459453,0.658794,-3.041142,0.079186
6,1776231666401,2.388938,-422.4080,-81.9545,458.5445,0.351306,-0.610326,0.617360,0.350648,0.909699,-1.580426,1.598640,-0.422003,-0.081380,0.459447,0.658853,-3.041133,0.079138
7,1776231666413,2.400050,-422.3831,-82.2251,458.5535,0.351429,-0.610516,0.617200,0.350474,0.910094,-1.581051,1.598360,-0.421985,-0.081633,0.459467,0.658897,-3.041056,0.079082
8,1776231666424,2.411161,-422.3825,-82.5059,458.5374,0.351237,-0.610385,0.617298,0.350722,0.909488,-1.580523,1.598424,-0.421992,-0.081895,0.459463,0.658984,-3.041110,0.079091
9,1776231666435,2.422272,-422.3565,-83.0444,458.5339,0.351038,-0.610365,0.617335,0.350890,0.908899,-1.580344,1.598391,-0.421980,-0.082398,0.459482,0.658891,-3.040995,0.079055
10,1776231666446,2.433383,-422.3552,-83.3550,458.5195,0.351266,-0.610454,0.617257,0.350646,0.909596,-1.580759,1.598376,-0.421987,-0.082688,0.459481,0.658952,-3.041020,0.079066
11,1776231666457,2.444495,-422.3150,-83.9435,458.5311,0.351241,-0.610433,0.617288,0.350654,0.909528,-1.580699,1.598449,-0.421962,-0.083238,0.459517,0.658952,-3.040889,0.078956
12,1776231666468,2.455606,-422.3185,-84.2514,458.5037,0.351275,-0.610400,0.617314,0.350629,0.909627,-1.580634,1.598537,-0.421974,-0.083525,0.459503,0.659041,-3.040970,0.079035
13,1776231666479,2.466717,-422.3158,-84.5605,458.4723,0.351147,-0.610386,0.617347,0.350724,0.909255,-1.580524,1.598549,-0.421980,-0.083813,0.459485,0.659022,-3.040950,0.078978
14,1776231666490,2.477828,-422.3028,-85.1686,458.4613,0.351361,-0.610540,0.617190,0.350519,0.909898,-1.581079,1.598300,-0.421983,-0.084381,0.459500,0.659051,-3.040998,0.078971
15,1776231666501,2.488940,-422.2982,-85.4839,458.4397,0.351265,-0.610420,0.617278,0.350669,0.909584,-1.580654,1.598412,-0.421987,-0.084675,0.459492,0.659067,-3.040971,0.078973
16,1776231666513,2.500051,-422.2793,-86.1087,458.4150,0.351233,-0.610404,0.617259,0.350762,0.909462,-1.580541,1.598291,-0.421985,-0.085258,0.459494,0.659181,-3.040968,0.079010
17,1776231666524,2.511162,-422.2595,-86.4356,458.4052,0.351180,-0.610439,0.617185,0.350884,0.909269,-1.580541,1.598006,-0.421974,-0.085563,0.459498,0.659267,-3.040913,0.079008
