FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1,1776231666346,2.333381,-421.89534902208595,-80.27499443718418,459.7046579185323,0.35135,-0.610452,0.617302,0.350486,0.909885,-1.580875,1.598615,-0.422002,-0.079911,0.459442,0.658598,-3.041235,0.079231
2,1776231666357,2.344493,-421.67580234926305,-80.78486231602885,458.97323717259815,0.351247,-0.610497,0.617227,0.350643,0.909549,-1.580873,1.598301,-0.422005,-0.080102,0.459429,0.658698,-3.041257,0.07917
3,1776231666368,2.355604,-421.95125585889144,-80.39268490732024,459.4481195948735,0.351261,-0.61057,0.617146,0.350644,0.909586,-1.581061,1.59809,-0.421996,-0.0802819999999999,0.459454,0.658753,-3.041141,0.079196
4,1776231666379,2.366715,-422.28256537465074,-80.39821070879802,459.7462271774001,0.351301,-0.610443,0.617251,0.350639,0.909692,-1.580736,1.598367,-0.4219839999999999,-0.080706,0.459474,0.658845,-3.041108,0.079142
5,1776231666390,2.377827,-421.9708892558536,-80.5174655775612,459.6166282697882,0.35131,-0.61041,0.617279,0.350637,0.909715,-1.580653,1.598441,-0.421994,-0.080912,0.459453,0.658794,-3.041142,0.079186
6,1776231666401,2.388938,-422.3037523620091,-81.25093722557112,459.11139108970985,0.351306,-0.610326,0.61736,0.350648,0.909699,-1.580426,1.59864,-0.4220029999999999,-0.08138,0.459447,0.658853,-3.041133,0.079138
7,1776231666413,2.40005,-421.67754239454246,-81.65047406884518,459.4022981727591,0.351429,-0.610516,0.6172,0.350474,0.910094,-1.581051,1.59836,-0.421985,-0.081633,0.4594669999999999,0.658897,-3.041056,0.079082
8,1776231666424,2.411161,-422.2303253405414,-81.46711053146409,459.4089146812759,0.351237,-0.610385,0.617298,0.350722,0.909488,-1.580523,1.598424,-0.421992,-0.081895,0.459463,0.658984,-3.04111,0.079091
9,1776231666435,2.422272,-422.12991473775713,-82.52124674267088,459.6683082149437,0.351038,-0.610365,0.617335,0.35089,0.908899,-1.580344,1.598391,-0.42198,-0.082398,0.459482,0.658891,-3.040995,0.079055
10,1776231666446,2.433383,-421.8590945774726,-82.5435435859414,459.63178735105276,0.351266,-0.610454,0.617257,0.350646,0.909596,-1.580759,1.598376,-0.421987,-0.082688,0.459481,0.658952,-3.04102,0.079066
11,1776231666457,2.444495,-421.2124233396953,-83.38024525573462,459.33771504482496,0.351241,-0.610433,0.617288,0.350654,0.909528,-1.580699,1.598449,-0.421962,-0.083238,0.459517,0.658952,-3.040889,0.078956
12,1776231666468,2.455606,-422.25882045488675,-83.30940720209858,459.8981403024523,0.351275,-0.6104,0.617314,0.350629,0.909627,-1.580634,1.598537,-0.421974,-0.083525,0.459503,0.659041,-3.04097,0.079035
13,1776231666479,2.466717,-422.0198816101792,-84.10705476693688,459.1964315745081,0.351147,-0.610386,0.617347,0.350724,0.909255,-1.580524,1.598549,-0.42198,-0.083813,0.459485,0.659022,-3.04095,0.078978
14,1776231666490,2.477828,-421.75529252426134,-84.1208610400788,459.6901039939068,0.351361,-0.61054,0.61719,0.350519,0.909898,-1.581079,1.5983,-0.421983,-0.084381,0.4595,0.659051,-3.040998,0.078971
15,1776231666501,2.48894,-422.2199283975511,-84.59374353692664,459.53284003319925,0.351265,-0.61042,0.617278,0.350669,0.909584,-1.580654,1.598412,-0.421987,-0.084675,0.459492,0.659067,-3.040971,0.078973
