FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
201,1776231720677,2.23336,-423.0366673289209,-80.4489766389671,459.646696493349,0.37773,-0.611496,0.596415,0.357327,0.974994,-1.578391,1.539463,-0.42303666732892087,-0.08044897663896709,0.459646696493349,-0.74611,3.04471,-0.049654
202,1776231720688,2.244471,-423.36482835566846,-80.84533858875768,459.734947375901,0.37759,-0.611332,0.59657,0.357495,0.974556,-1.577842,1.539741,-0.42336482835566847,-0.08084533858875768,0.45973494737590104,-0.746051,3.044774,-0.049598
203,1776231720699,2.255582,-423.3801688416173,-81.34867989303444,459.68118491911383,0.377605,-0.61136,0.596551,0.357463,0.97461,-1.577937,1.539716,-0.42338016884161733,-0.08134867989303445,0.4596811849191138,-0.746142,3.044682,-0.049626
204,1776231720710,2.266693,-423.37215866447866,-81.57905483136989,459.69130418120216,0.377634,-0.611495,0.596408,0.357441,0.974694,-1.578303,1.539361,-0.42337215866447864,-0.08157905483136989,0.45969130418120213,-0.746168,3.044704,-0.049598
205,1776231720721,2.277805,-423.383774577754,-82.11278701145156,459.68166564639125,0.377548,-0.611376,0.596564,0.357474,0.974458,-1.57797,1.539741,-0.423383774577754,-0.08211278701145155,0.45968166564639124,-0.746052,3.0447,-0.049542
206,1776231720732,2.288916,-423.3875730996643,-82.37382349245509,459.6768151914219,0.377614,-0.611374,0.596541,0.357447,0.97464,-1.577985,1.539701,-0.4233875730996643,-0.08237382349245509,0.4596768151914219,-0.7461,3.044666,-0.049595
207,1776231720744,2.300027,-423.39246261221814,-82.62551522404999,459.66036162412473,0.377579,-0.611365,0.596501,0.357567,0.974493,-1.577871,1.53951,-0.42339246261221813,-0.08262551522405,0.4596603616241247,-0.746004,3.044675,-0.049604
208,1776231720755,2.311139,-423.38282521558244,-83.14154517168947,459.66711627667627,0.377858,-0.61151,0.596371,0.357239,0.975367,-1.578495,1.539416,-0.42338282521558246,-0.08314154517168947,0.4596671162766763,-0.745978,3.044722,-0.049591
209,1776231720766,2.32225,-423.38943899944456,-83.45840597671355,459.6527559507231,0.377656,-0.611481,0.596413,0.357435,0.974754,-1.57827,1.539379,-0.4233894389994446,-0.08345840597671356,0.4596527559507231,-0.746033,3.04464,-0.049605
210,1776231720777,2.333361,-423.38904184898416,-84.00299629720591,459.67799850933847,0.377601,-0.611456,0.596451,0.357471,0.974596,-1.57818,1.539451,-0.4233890418489842,-0.08400299629720591,0.4596779985093385,-0.745896,3.04478,-0.049536
211,1776231720788,2.344472,-423.39595042511723,-84.30653964885569,459.6711018783073,0.377792,-0.611511,0.596344,0.357354,0.975142,-1.578408,1.539261,-0.42339595042511724,-0.08430653964885569,0.4596711018783073,-0.745929,3.044703,-0.049684
212,1776231720799,2.355583,-423.40237423238233,-84.59676931043057,459.66183427451375,0.377733,-0.611436,0.596381,0.357482,0.97493,-1.578119,1.539262,-0.4234023742323823,-0.08459676931043057,0.45966183427451374,-0.745909,3.044689,-0.049613
213,1776231720810,2.366695,-423.4017217491773,-84.87857787846644,459.66312017620737,0.377765,-0.611437,0.596388,0.357435,0.975035,-1.578158,1.539316,-0.4234017217491773,-0.08487857787846645,0.45966312017620736,-0.745929,3.044697,-0.04957
